药品名称,适应症,参考价
阿咖酚胶囊,用于普通感冒或流行性感冒引起...,￥6
三黄片,清热解毒，泻火通便。用于三焦...,￥9
风湿寒痛片,祛风散寒，除湿活络，滋补肝肾...,￥245.7
对乙酰氨基酚片,适用于缓解轻至中度疼痛，如头...,
清血八味胶囊,清讧血。用于血热头痛，口渴目...,￥28.9
金骨莲片,中医：祛风除湿，消肿止痛。用...,￥35.3
关通舒胶囊,祛风除湿，散寒通络。用于风寒...,￥61.7
独圣活血片,活血化瘀，消肿止痛，理气解郁...,￥43.2
斧标正红花油,温经散寒，活血止痛。用于风湿...,￥10
金骨莲胶囊,苗医：抬奥，抬蒙：僵见风。中...,￥50.8
对乙酰氨基酚咀嚼片,用于儿童普通感冒或流行性感冒...,￥13.8
尼美舒利分散片,本品为非甾体抗炎药，仅在至少...,￥15.6
复方氨酚烷胺胶囊,适用于缓解普通感冒及流行性感...,￥25
追风透骨丸,本品祛风除湿，通经活络，散寒...,￥35
消炎镇痛膏,消炎镇痛。用于神经痛、风湿痛...,￥8.5
麝香追风膏,祛风散寒，活血止痛。用于风湿...,￥5.4
元胡止痛片,理气，活血，止痛。用于行经腹...,￥12.5
金鸡虎补丸,补气补血，舒筋活络，健肾固精...,￥15.2
吡罗昔康搽剂,用于缓解局部疼痛，如肌肉痛、...,￥16.1
铁棒锤止痛膏,祛风除湿，活血止痛。用于风寒...,￥23.5
麝香壮骨膏,镇痛，消炎。用于风湿痛，关节...,￥18
精氨酸布洛芬颗粒,治疗不同原因引起的疼痛，如肌...,￥22.5
和兴白花油,消炎止痛药。用于头晕头痛，伤...,￥26
萘普生胶囊,用于治疗风湿性和类风湿性关节...,￥3.2
独活止痛搽剂,止痛，消肿，散瘀。用于小关节...,￥14.3
复方热敷散,祛风散寒，温筋通脉，活血化瘀...,￥8
双氯芬酸钠栓,消炎镇痛类药。用于类风湿性关...,￥9.4
路盖克,可广泛用于各种疼痛：创伤性疼...,￥45
苯溴马隆片,原发性高尿酸血症，痛风性关节...,￥21
独一味胶囊,活血止痛，化瘀止血。用于多种...,￥27.2
云南白药胶囊,化瘀止血，活血止痛，解毒消肿...,￥26.4
开喉剑喷雾剂,中医：清热解毒，消肿止痛。用...,￥43.7
湿润烧伤膏,清热解毒，止痛，生肌。用于各...,￥59.3
京万红软膏,活血解毒，消肿止痛，去腐生肌...,￥29.2
双氯芬酸钠肠溶片,① 缓解类风湿关节炎、骨关节...,￥18.1
三七胶囊,散瘀止血，消肿定痛。用于外伤...,￥12.7
盐酸乙哌立松片,1.改善下列疾病的肌紧张状态：...,￥33.2
芎菊上清丸,清热解毒，散风止痛。用于外感...,￥13.8
十二味痹通搽剂,"苗医：抬奥，抬强腿。
中医：...",￥28.9
麝香祛风湿膏,祛风湿，活血，镇痛，消肿。用...,￥9.1
伤湿止痛膏,祛风湿，活血止痛，用于风湿性...,￥12.8
和兴白花油,头晕头痛、伤风鼻塞、感冒不适...,￥21
氨酚双氢可待因片,可广泛用于各种疼痛：创伤性疼...,￥43.7
壮骨麝香止痛膏,祛风湿，活血止痛。用于风湿关...,￥11.5
中华跌打丸,清肿止痛，舒筋活络，止血生肌...,￥14.9
新癀片,清热解毒，活血化瘀消肿止痛。...,￥29.3
正清风痛宁片,祛风除湿，活血通络，消肿止痛...,￥12.5
万通筋骨片,祛风散寒，通络止痛。用于痹症...,￥42
通痹胶囊,调补气血，祛风胜湿，活血通络...,￥30
汉桃叶片,祛风止痛，舒筋活络。用于三叉...,￥5.6
康复新液,通利血脉，养阴生肌。内服：用...,￥28.6
祖师麻片,祛风除湿，活血止痛。用于风湿...,￥24.5
盐酸氨基葡萄糖片,全身所有部位骨关节炎的治疗和...,￥106.8
复方南星止痛膏,散寒除湿，活血止痛。用于骨性...,￥34.8
虎力散胶囊,驱风除湿，舒筋活络，行瘀，消...,￥26.9
伸筋丹胶囊,舒筋通络，活血祛瘀，消肿止痛...,￥19
复方磺胺嘧啶锌凝胶,局部用于烧、烫伤所致的Ⅰ、Ⅱ...,￥46.5
硫酸氨基葡萄糖胶囊,原发性及继发性骨关节炎。,￥35.7
抗骨增生胶囊,补腰肾，强筋骨，活血止痛。用...,￥21.5
辣椒碱乳膏,适用于缓解由风湿病引起的肌肉...,￥23
复方独活吲哚美辛胶囊,用于：1.关节炎，可缓解疼痛和...,￥25
小金丸,散结消肿，化瘀止痛。用于痰气...,￥18.5
阿司匹林肠溶片,抑制血小板聚成，防止血栓形成...,￥9.5
安乃近片,用于高热时的解热，也可用于头...,￥27
复方夏天无片,驱风逐湿，舒筋活络，行血止痛...,￥35.3
活血止痛胶囊,活血散瘀，消肿止痛。用于跌打...,￥6.2
麝香祛痛搽剂,活血祛瘀，疏通经络，消肿止痛...,￥51.1
双氯芬酸二乙胺乳胶剂,用于缓解肌肉、软组织和关节的...,￥23
注射用骨肽,用于增生性骨关节疾病及风湿、...,￥24.8
颈腰康胶囊,舒筋活络，活血祛瘀，消肿止痛...,￥36.9
伸筋活络丸,舒筋活络、祛风除湿、温经止痛...,￥92.2
筋骨丸,舒筋活血，散瘀止痛。用于跌打...,￥398
罗浮山风湿膏药,驱风除湿，消肿止痛。用于风湿...,￥45.5
复方伤痛胶囊,活血化瘀，行气止痛。用于急性...,￥34.6
依托度酸片,用以缓解下列疾病的症状和体征...,￥18.5
对乙酰氨基酚片,用于普通感冒或流行性感冒引起...,￥15.6
对乙酰氨基酚片,必理通用于缓解轻中度疼痛，如...,￥6
布洛芬混悬液,用于感冒或流感引起的发热、头...,￥11.5
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,￥25
散风活络丸(浓缩丸),祛风化痰，舒筋活络。用于风痰...,￥31.9
布洛芬混悬液,用于感冒或流感引起的发热、头...,￥11.8
布洛芬混悬液,用于感冒或流感引起的发热、头...,￥14
丹郁骨康丸,活血化瘀，通络止痛，补肾健骨...,
对乙酰氨基酚片,用于缓解轻至中度疼痛如头痛、...,￥4.8
双藤筋骨片,祛风除湿，散寒止痛，活血通络...,￥69
甲硝唑芬布芬胶囊,用于牙龈炎，牙周炎等疾患。对...,￥7
麝香祛痛搽剂,活血祛瘀，疏通经络，消肿止痛...,￥20.4
玉龙油,驱风袪寒，止痛消瘀。用于风湿...,￥50.2
硫酸氨基葡萄糖颗粒,原发性及继发性骨关节炎。,￥44.5
盐酸氨基葡萄糖胶囊,用于治疗和预防全身各种关节的...,
布洛芬片,本品为非甾体抗炎药。适用于 1...,￥5.2
氨糖美辛肠溶片,消炎镇痛药，临床用于强直性脊...,￥17.5
氯诺昔康片,急性轻度至中度疼痛和由某些类...,￥20.3
氨麻美敏片Ⅱ,适用于缓解普通感冒及流行性感...,
二十五味驴血丸,祛风、除湿、干黄水。用于关节...,￥42.2
痛肿灵(酊剂),祛风除湿，消肿止痛。用于风湿...,￥28.2
强力天麻杜仲胶囊,散风活血，舒筋止痛。用于中风...,￥27.6
布洛芬混悬液,用于感冒或流感引起的发热、头...,￥13.5
雷公藤多苷片,祛风解毒、除湿消肿、舒筋通络...,￥18.2
当归龙荟胶囊,清肝明目，泻火通便。用于肝胆...,￥53.3
复方骨肽注射液,用于治疗风湿、类风湿关节炎、...,￥22.5
夏天无胶囊,活血通络，行气止痛。用于淤血...,￥9
通窍救心油,芳香开窍，理气止痛。用于胸痹...,￥168
正清风痛宁注射液,祛风除湿、活血通络，消肿止痛...,￥137.1
强筋健骨片,祛风散寒，化痰通络。用于痹症...,￥29.6
活络油,祛风活络，消肿止痛。用于风湿...,￥49.8
对乙酰氨基酚滴剂,用于儿童普通感冒或流行性感冒...,￥18
茶苯海明片,用于防治晕动病，如晕车、晕船...,￥1.1
对乙酰氨基酚缓释片,适用于感冒引起的发热、头痛以...,￥7.4
苯溴马隆胶囊,单纯原发性高尿酸血症以及痛风...,￥24.5
科洛曲片,主要用于晚期癌症疼痛、手术后...,￥24.4
二十五味儿茶丸,祛风除痹，消炎止痛，干黄水。...,￥129.5
美洛昔康片,适用于类风湿性关节炎的症状治...,￥14
安乃近片,用于高热时的解热，也可用于头...,￥7
美洛昔康分散片,适用于：类风湿性关节炎、疼痛...,￥8.6
强力天麻杜仲胶囊,散风活血，舒筋止痛。用于中风...,￥14.2
通滞苏润江胶囊,开通阻滞，消肿止痛。用于关节...,￥22.3
复方骨肽注射液,用于治疗风湿、类风湿关节炎、...,￥10.6
附桂骨痛颗粒,温阳散寒，益气活血，消肿止痛...,￥50.5
烧伤止痛膏,清热解毒，消肿止痛。用于热毒...,￥14.5
痹克片,清热除湿，活血止痛。用于痹病...,￥21.5
三花接骨散,活血化瘀，消肿止痛，接骨续筋...,￥334.3
依托度酸片,（1）骨关节炎（退行性关节病...,￥29
对乙酰氨基酚干混悬剂,用于儿童普通感冒或流行性感冒...,￥29
秋水仙碱片,治疗痛风性关节炎的急性发作，...,￥30.2
精制狗皮膏,舒筋、活血、散寒、止痛。用于...,￥16.8
美洛昔康片,适用于类风湿性关节炎的症状治...,￥8
百宝丹胶囊,散瘀消肿，止血止痛，用于刀枪...,￥28.4
复方蒲芩胶囊,清热消炎。用于急、慢性支气管...,￥14
秋水仙碱片,治疗痛风性关节炎的急性发作，...,￥24.9
安乃近片,用于高热时的解热，也可用于头...,￥52.7
去痛片,本品用于感冒引起的发热、关节...,￥51.5
一清颗粒,清热泻火解毒。用于火毒血热所...,￥13
安阳精制膏,消积化块，逐瘀止痛，舒筋活血...,￥49.2
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,￥1.9
壮骨麝香止痛膏,祛风湿，活血止痛。用于风湿关...,￥3.5
山海丹片,活血通络。用于心脉瘀阻，胸痹,￥26.5
跌打生骨片,活血祛瘀、消肿止痛、强筋健骨...,￥36.6
盐酸苯环壬酯片,本品用于预防晕车、晕船及晕机...,￥15.9
布洛芬缓释片,用于减轻中度疼痛，如关节痛、...,￥10.5
对乙酰氨基酚混悬滴剂,用于儿童普通感冒或流行性感冒...,￥15.8
布洛芬缓释片,本品系非甾体抗炎药。适用于①...,￥12.6
对乙酰氨基酚泡腾片,用于普通感冒或流行性感冒引起...,￥29.8
阿司匹林泡腾片,该药品能抑制前列腺素合成，具...,￥11
氨咖黄敏胶囊,适用于缓解普通感冒及流行性感...,￥3.8
茶苯海明片,用于防治晕动病，如晕车、晕船...,￥1.5
氨麻美敏片,用于普通感冒或流行性感冒引起...,￥10.5
烧烫伤膏,清热解毒，消肿止痛。用于轻度...,￥22.4
对乙酰氨基酚滴剂（百服咛）,用于儿童普通感冒或流行性感冒...,￥13.5
对乙酰氨基酚片,用于普通感冒或流行性感冒引起...,￥9.4
桂附地黄丸,温补肾阳。用于肾阳不足，腰膝...,￥22.4
布洛芬缓释片,用于缓解轻至中度疼痛如头痛、...,￥13.1
布洛芬颗粒,用于减轻中度疼痛，如关节痛、...,￥8
感冒清热颗粒,疏风散寒，解表清热。用于风寒...,￥19.9
氨酚曲麻片,用于感冒引起的各种症状：发热...,
贝敏伪麻片,用于感冒引起的发热，头疼，关...,￥16.7
布洛芬乳膏,用于缓解局部软组织疼痛，如肌...,￥15.8
布洛芬缓释胶囊,本品系非甾体抗炎药。适用于①...,￥40
对乙酰氨基酚口服混悬液,用于儿童普通感冒或流行性感冒...,￥18.7
麝香追风膏,祛风散寒，活血止痛。用于风湿...,￥59.5
正红花油,适应症：本品祛风止痛。可用于...,￥6.4
沈阳红药,活血止痛，祛瘀生新。用于跌打...,￥8
红花油,属驱风外用药，用于风湿骨痛，...,￥2.2
跌打丸,活血散瘀，消肿止痛。用于跌打...,￥6.7
跌打万花油,消肿散瘀，舒筋活络止痛。用于...,￥8
口腔溃疡散,消溃止痛。用于复以性口腔溃疡...,￥11.6
齿痛消炎灵颗粒,疏风清热，凉血止痛。用于脾胃...,￥16.4
齿痛消炎灵颗粒,疏风清热，凉血止痛。用于脾胃...,￥19
狗皮膏,祛风散寒，活血止痛。用于风寒...,￥145
丁细牙痛胶囊,清热解毒，疏风止痛。用于风火...,￥18.2
正红花油,适应症：本品祛风止痛。可用于...,￥11.4
雪山金罗汉止痛涂膜剂,活血，消肿，止痛。用于急慢性...,￥137.5
三七片,用于外伤出血，跌扑肿痛。,￥20.9
通络祛痛膏,活血通络，散寒除湿、消肿止痛...,￥23.6
阿咖酚散,用于感冒或流感引起的发热、头...,￥1
复方金银花颗粒,清热解毒，凉血消肿。用于风热...,￥6.8
参附注射液,回阳救逆，益气固脱。主要用于...,￥66.5
地喹氯铵含片,用于急、慢性咽喉炎，口腔黏膜...,￥17.2
双虎肿痛宁喷雾剂,化瘀行气，消肿止痛，舒筋活络...,￥31.8
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,￥5
酚咖麻敏胶囊,缓解感冒或流行性感冒引起的发...,￥31.6
林可霉素利多卡因凝胶,用于轻度烧伤、创伤及蚊虫叮咬...,￥0.9
对乙酰氨基酚栓,用于儿童普通感冒或流行性感冒...,￥2.5
复方氨酚烷胺片,适用于缓解普通感冒及流行性感...,￥4.8
牙痛药水,止痛杀菌，防蛀。用于风火牙痛...,￥5.1
黄道益,舒筋活络、祛风散瘀，肌肉酸痛...,￥55
布洛伪麻片,用于缓解由感冒或过敏性鼻炎引...,￥11.2
对乙酰氨基酚颗粒,用于儿童普通感冒或流行性感冒...,￥5.9
去痛片,本品用于感冒引起的发热、关节...,￥4.4
附桂骨痛胶囊,用于阳虚寒湿型颈椎及膝关节增...,￥25.6
天和追风膏,温经通络，袪风除湿，活血止痛...,￥17.2
根痛平片,活血、通络、止痛。用于风寒阻...,￥8
祖师麻注射液,祛风除湿，活血止痛。用于肢体...,￥32
阿司匹林泡腾片,用于普通感冒或流行性感冒引起...,￥5.8
萘丁美酮片,类风湿性关节炎、骨关节炎。,￥28.6
双氯芬酸钠气雾剂,用于缓解肌肉、软组织和关节的...,￥16.7
对乙酰氨基酚片,用于儿童普通感冒或流行性感冒...,￥2.6
壮骨麝香止痛膏,祛风湿，活血止痛。用于风湿关...,￥18.9
复方氨酚烷胺片,适用于缓解普通感冒及流行性感...,￥3
扎冲十三味丸,祛风通窍，舒筋活血，镇静安神...,￥32.6
消炎镇痛膏,消炎镇痛。用于神经痛、风湿痛...,￥12
牛黄化毒片,解毒消肿，散结止痛。用于疮疡...,￥22.6
盐酸苯海拉明片,主要用于皮肤粘膜的过敏，如荨...,￥3.8
复方对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,￥12
对乙酰氨基酚栓,用于普通感冒或流行性感冒引起...,￥1.3
萘丁美酮片,类风湿性关节炎、骨关节炎。,
对乙酰氨基酚颗粒,解热镇痛类药，用于发热，头痛...,￥10
萘丁美酮片,类风湿性关节炎、骨关节炎。,
伤湿止痛膏,祛风湿，活血止痛，用于风湿性...,
萘普生肠溶微丸胶囊,用于缓解轻度至中度疼痛，如关...,￥25
五味麝香丸,消炎，止痛，祛风。用于扁桃体...,￥14.2
伤科跌打片,活血散瘀，消肿止痛。用于跌打...,￥4.4
玄七通痹胶囊,滋补肝肾，活血化瘀，消肿止痛...,￥46.5
汉桃叶片,祛风止痛，舒筋活络。用于三叉...,￥12
骨筋丸胶囊,活血化瘀，舒筋通络，祛风止痛...,￥17.9
复方三七胶囊,化瘀止血，消肿止痛。用于跌打...,￥15.5
盐酸氨基葡萄糖胶囊,用于治疗和预防全身各种关节的...,￥44.8
那如三味丸,消“粘”，除“协日乌素”，祛...,￥15.8
阿咖酚散,用于感冒或流感引起的发热、头...,￥6.1
双氯芬酸钾片,本品适用于下列急性疼痛的短期...,￥35.2
双氯芬酸钠乳膏,用于缓解局部轻至中度疼痛，如...,￥13
氨酚伪麻那敏分散片(Ⅲ),适用于缓解儿童普通感冒及流行...,￥13.8
复方金银花颗粒,清热解毒，凉血消肿。用于风热...,￥16.8
肾骨胶囊,促进骨质形成，维持神经传导。...,￥27
麝香风湿片,祛风除湿，活络镇痛。用于风湿...,￥35.1
麝香壮骨膏,镇痛，消炎。用于风湿痛，关节...,￥13
清凉油,驱风镇痛，消炎止痒，清凉。主...,￥15.5
活络油,舒筋活络、祛风散瘀，肌肉酸痛...,￥48
对乙酰氨基酚滴剂,用于儿童普通感冒或流行性感冒...,￥9.3
对乙酰氨基酚片,用于小孩普通感冒或流行性感冒...,￥1.1
复方对乙酰氨基酚片,用于普通感冒或流行性感冒引起...,￥3.9
桂龙药膏,祛风除湿，舒筋活络，温肾补血...,￥395
复方滇鸡血藤膏,活血养血，益肾。用于瘀血阻络...,￥145
复方感冒灵片,辛凉解表，清热解毒。用于风热...,￥7.9
布洛芬混悬液,用于感冒或流感引起的发热、头...,
复方水杨酸甲酯乳膏,本品用于局部软组织炎症或损失...,￥23
云香祛风止痛酊(云香精),祛风除湿，活血止痛。用于风湿...,￥20.8
愈伤灵胶囊,活血散瘀，消肿止痛。用于跌打...,￥20.9
活血止痛散,活血散瘀，消肿止痛。用于跌打...,￥17.8
代温灸膏,温通经脉，散寒镇痛。用于风寒...,￥25.4
布洛伪麻分散片,用于缓解普通感冒、流行性感冒...,￥10.4
钻山风合剂,祛风除湿，散瘀镇痛，舒筋活络...,￥78
腰肾膏,温肾助阳，强筋壮骨，祛风止痛...,￥21.7
茶苯海明片,防治晕动病，适用于防治晕动时...,￥27.6
金栀洁龈含漱液,清热解毒，消肿止痛。适用于缓...,￥20
麝香壮骨膏,镇痛，消炎。用于风湿痛，关节...,￥24.8
去痛片,本品用于感冒引起的发热、关节...,￥11.4
长春红药片,活血化瘀，消肿止痛。用于跌打...,￥28.1
温经止痛膏,暂无数据,￥41
对乙酰氨基酚滴剂,用于儿童普通感冒或流行性感冒...,￥16.6
复方愈创蓝油烃软膏,用于烫伤、灼伤、皲裂、冻疮、...,￥7.8
双氯芬酸钠凝胶,用于缓解肌肉、软组织和关节的...,￥11.6
酚咖片,适用于普通感冒或流行性感冒引...,￥8
新清宁片,清热解毒，泻火通便。用于内结...,￥10
复方氨酚肾素片,有效迅速消除伤风感冒或枯草热...,￥19.3
舒筋活络丸,驱风祛湿，舒筋活络。用于一般...,￥8.7
龋齿宁含片,苗医：蒙岗比，勒嘎里品，木嘎...,￥15
桂附地黄丸,温补肾阳。用于肾阳不足，腰膝...,￥20.4
阿司匹林片,1．镇痛、解热：缓解轻度或中...,
对乙酰氨基酚片,用于普通感冒或流行性感冒引起...,￥19.8
三七伤药片,舒筋活血，散瘀止痛。用于跌打...,￥9.8
对乙酰氨基酚栓,用于普通感冒或流行性感冒引起...,￥1.7
复方金银花颗粒,清热解毒，凉血消肿。用于风热...,￥8.5
清火栀麦片,清热解毒，凉血消肿。用于肺胃...,￥1.8
麝香追风止痛膏,祛风除湿，散寒止痛。用于寒湿...,￥12
大风丸,舒筋活血，补虚祛风。用于腰腿...,￥40
茶苯海明含片,用于防治晕动病，如晕车、晕船...,￥10.4
对乙酰氨基酚分散片,用于儿童普通感冒或流行性感冒...,￥21.9
对乙酰氨基酚颗粒,解热镇痛类药，用于发热、头痛...,￥5.9
复方水杨酸甲酯乳膏,本品用于局部软组织炎症或损失...,￥23
布洛芬糖浆,用于缓解轻至中度疼痛如头痛、...,￥13.8
无敌止痛搽剂,消肿止痛，活血化瘀。用于急、...,￥158
咽炎清片,清热解毒，消肿止痛，用于喉痹...,￥17.4
紫花烧伤软膏(紫花烧伤膏),清热凉血，化瘀解毒，止痛生肌...,￥22.5
贝诺酯片,用于发热、头痛、神经痛、牙痛...,￥10.5
复方牙痛酊,苗医：蒙岗比、勒勒果里品。中...,￥16
清肺抑火片,清肺止嗽，降火生津。用于肺热...,￥5
双氯芬酸钠凝胶,用于缓解肌肉、软组织和关节的...,￥14.2
复方骨肽注射液,适用于促进骨折愈合。,￥10.4
葡萄糖酸氯己定软膏,用于轻度小面积烧伤、烫伤、外...,￥19.5
复方氨酚烷胺片,适用于缓解普通感冒及流行性感...,￥4.5
氨酚烷胺那敏胶囊,本品的成分有乙酰氨基酚、盐酸...,￥7
氨麻美敏片(Ⅲ),适用于缓解普通感冒及流行性感...,
对乙酰氨基酚分散片,"适用于感冒引起的发热,头痛及...",
特制狗皮膏,祛风散寒，舒筋活血，和络止痛...,￥18
麝香壮骨膏,镇痛，消炎。用于风湿痛，关节...,￥18
沈阳红药胶囊,活血止痛，去瘀生新。用于跌打...,￥24.6
齿痛消炎灵颗粒,疏风清热，凉血止痛。用于脾胃...,￥14.2
伤湿止痛膏,祛风湿，活血止痛，用于风湿性...,￥22.8
冻疮膏,用于冻疮。,￥12.8
齿痛消炎灵颗粒,疏风清热，凉血止痛。用于脾胃...,
水杨酸苯甲酸松油搽剂,用于足癣。,￥5.2
