名称,简介,药性,功效,适应症
葛根,为豆科植物野葛，其味甘凉可口,性凉，味甘、辛。入脾、胃经。,解表退热，生津，透疹，升阳止泻。用于外感发热头痛、高血压颈项强痛、口渴、消渴、麻疹不透、热痢、泄泻。对高血压、高血脂、高血糖和心脑血管疾病有一定疗效。,老少皆宜：高血压、高血脂、高血糖及偏头痛等心脑血管病患者、更年期妇女、易上火人群(包括孕妇和婴儿)、常期饮酒者、女性滋容养颜，中老年人日常饮食调理等…
人参,又名 黄参、血参、人衔、鬼盖、神草、土精。,性平、味甘、微苦，微温。归脾、肺经、心经。,具有大补元气，复脉固脱，补脾益肺，生津止渴，安神益智的功效。主治：劳伤虚损、食少、倦怠、反胃吐食、大便滑泄、虚咳喘促、自汗暴脱、惊悸、健忘、眩晕头痛、阳痿、尿频、消渴、妇女崩漏、小儿慢惊及久虚不复，一切气血津液不足之症。,内服：煎汤，3-10克，大剂量10-30克，宜另煎兑入;或研末，1-2克;或敷膏;或泡酒;或入丸、散…
淡豆豉,别名杜豆豉、淡豆瓣、豆豉、香豉、豉、淡豉。为豆科植物大豆的成熟种子(黑色者)经发酵加工而成的制品。,辛、甘、微苦，凉，归肺、胃经。,具有发汗解表，宣郁除烦，和胃消食，清热止痢，安胎，解毒的功效。,用于感冒发热，头痛，虚烦，失眠。外用捣敷或炒焦研来调敷，治小儿丹毒破作疮，黄水出，治小儿丹毒破作疮，黄水出，治阴茎上疮痛烂…
香椿,：别名红椿、椿芽树、椿花、香铃子。,：苦、涩，温。,：香椿中含维生素E和性激素物质，具有抗衰老和补阳滋阴作用；含香椿素等挥发性芳香族有机物，可健脾开胃，增加食欲；香椿的挥发气味能透过蛔虫的表皮，使蛔虫不能附着在肠壁上而被排出体外，可用治蛔虫病。香椿还有助于增强机体免疫功能，并有润滑肌肤的作用。,：祛风利湿，止血止痛。根皮：用于痢疾，肠炎，泌尿道感染，便血，血崩，白带，风湿腰腿痛。叶及嫩枝：痢疾…
浮萍,又称青萍、田萍、浮萍草、水浮萍。,味辛，性寒。,发汗透疹，清热利水，祛风，解毒。,治时行热痈，斑疹不透，风热痛疹，皮肤瘙痒，水肿，经闭，疮癣，丹毒，烫伤。水浸膏对奎宁引起衰竭的蛙心有强心作用，钙可增强之，大剂量使心脏停止于舒张期，并能收缩血管使血压上升；在实验室及现场对库蚊幼虫及蚊蛹有杀灭作用…
仙人球,俗称草球，又名长盛丸、短毛丸，为仙人科多年生多肉类草本植物，是外形呈球状的仙人掌科植物的统称，有很多品种。,性淡平，味甘。归肺，胃经。,清热解毒，消肿止痛。仙人球是天然的空气清新器，还具有吸附尘土，净化空气的作用。,用于肺热咳嗽，痰中带血，衄血，吐血，胃溃疡，痈肿，痔疮，外用治蛇虫咬伤，烫伤。它对于人体的癌症、高血压、冠心病、肺结核、胃病、糖尿病、各种炎热症、妇科疾病等都具有一定的防治效果…[详细]
木贼,别名锉草、笔头草、笔筒草、节骨草,甘、苦，平。归肺、肝经。,疏风清热；凉血止血；明目退翳。主风热目赤；目生云翳；迎风流泪；肠风下血；痔血；血痢；妇人月水不断；脱肛,1、目昏多泪；2、急喉痹塞；3、血痢不止；4、泻血不止；5、肠痔下血；6、大肠脱肛；7、妇女血崩；8、月经不净；9、胎动不安；10、小肠疝气…
茵陈蒿,为菊科植物茵陈蒿的幼嫩茎叶。春季幼苗高约三寸时采收，除去杂质，去净泥土，晒干。别名：因尘、马先、茵蔯蒿、茵陈、因陈蒿。,苦辛，凉。,清热利湿。治湿热黄疸，小便不利，风痒疮疥。配栀子、大黄治阳黄；配附子、干姜治阴黄。,1、青蒿气味芳香，与一般苦寒药又伤脾胃者不同，但有泄泻者仍不宜用。出汗多者也要慎用。2、青蒿虽可用全草，但主要靠其叶，清透解肌。青蒿子无退热功能，但可治便秘…
文竹,文竹又称云片松、刺天冬、云竹，为多年生常绿藤本观叶植物，著名的观赏植物。文竹根部稍肉质，茎柔软丛生，伸长的茎呈攀援状；平常见到绿色的叶其实不是真正的叶，而是叶状枝，真正的叶退化成鳞片状，淡褐色，着生于叶状枝的基部；叶状枝纤细而丛生，呈三角形水平展开羽毛状；叶状枝每片有6-13枚小枝，小枝长3-6毫米，绿色。润肺止咳；凉血通林。主阴虚肺燥；咳嗽；咯血；小便淋沥文竹原产南非，现世界各地多有栽培。其性喜温暖湿润和半阴环境，不耐严寒，不耐干旱，忌阳光直射。适生于排水良好、富含腐殖质的砂质壤土。生长适温为15-25℃，越冬温度为5℃…,,,
光慈菇,光慈菇，又名老鸦头、棉花包、毛地梨，双子叶植物纲，被子植物门。干燥的鳞茎，呈卵圆形或圆锥形，高约0.7～1.5cm，直径约0.5～1cm。底部圆而凹陷，有根痕，上端急尖，一侧有纵沟自基部伸向顶端。表面黄白色，光滑。质硬而脆，横断面黄白色，粉质。无香气，味淡。散结，化瘀。治咽喉肿痛，瘰疬，痈疽，疮肿，产后淤滞。生于山坡草地或路边。分布于辽宁、陕西、河南、山东、江苏、浙江、安徽、湖北、湖南、江西；朝鲜，日本也有…,,,
荔枝,又称丹荔、丽枝、离枝、火山荔、勒荔、荔支。,味甘、酸、性温，入心、脾、肝经。属双子叶植物。,补充能量，益智补脑，改善失眠、健忘、神疲;增强免疫功能，提高抗病能力；降血糖，消肿解毒，止血止痛；甘温健脾，止呃逆，止腹泻；治胃痛，小肠气痛、妇女血气刺痛；治水痘，疔疮恶肿，疝气，腰腹背痛，痢疾，鼻塞，痛风，口臭；防雀斑，补血、壮阳。,治瘰疬溃烂；止外伤出血，并防止疮口感染溃烂，得以迅速愈合；治老人五更泻；治疔疮恶肿；治风火牙痛；治妇女虚弱贫血…
荠菜花,又名地米菜、地米花、护生草、净肠草、清明草。,性暖，无毒。为十字花科植物荠菜的花序。,荠菜花具有凉血止血作用，兴奋子宫、气管与小肠平滑肌，缩短出血时间，用于血热妄行所致的咯血、呕血、便血、肾炎血尿及妇女崩漏、月经过多;降压作用，扩张冠状动脉，降压;清热利湿的作用，用于肾炎、乳糜尿等湿热症;利尿，退热，抗应激性溃疡。,花梗细，易断;花小，直径约2.5mm，花瓣4片，色白或淡黄棕;花序轴下常有小倒三角形角果，色绿或黄绿。气微清香，味淡…
铁苋菜,又名海蚌念珠、血见愁、叶里藏珠。各地均有栽培。,性凉，味苦、涩。作为中草药，取其地上部分。,全草含铁苋菜碱，有止血、抗菌、止痢、解毒等功能。外用治痈疖疮疡，外伤出血，湿疹，皮炎，毒蛇咬伤；止血，活血。治月经不调，崩漏，咯血，衄血，尿血，疮痈肿毒;清热解毒，消积，止痢。用于肠炎，细菌性痢疾，阿米巴痢疾，小儿疳积，肝炎，疟疾。,全草黄绿色。茎粗壮，具深纵棱。叶多皱缩破碎。小花成团。灰绿色，顶端5裂。种子扁圆形，黑色，无光泽。气微，味微苦…
莲藕,别名 菡萏、芙蕖,生藕甘，寒。熟藕甘，温，皆无毒,主治热渴，散瘀血，生肌。久食使人心欢。可以治郁怒止泄，消食解酒毒，及病后干渴。捣汁服，能解胸闷心烦，开胃治腹泻，排产后瘀血。捣膏，掩金属外伤及骨折。止暴痛。蒸食，滋补五脏，实下焦开胃口，与蜜同食，生寄生虫，也可耐饥饿。藕汁解蟹毒。,捣汁饮服，治吐血不止，及止鼻出血，消瘀血及产后血闷，解热毒。和地黄研汁，加入热酒、小便饮服，可治愈咳血，吐血等症…
川贝,又称松贝母、乌花贝母。为百合科植物。,川贝味苦、甘、凉，入肺经。取其地下鳞茎用药。,清热润肺，化痰止咳，平喘虚劳咳嗽、吐痰咯血、心胸郁街、肺痿、肺痈、喉痹、乳痈。清热散结、润肺;降压，抗菌，前列腺肥大，婴幼儿消化不良，肝硬化腹水，慢性扁桃体炎，腺样体肥大，乳腺癌;中风窍闭，惊痫等;注：脾胃虚寒及湿痰者应忌用。,"用于热症咳嗽，如风热咳嗽、燥热咳嗽、肺火咳嗽;艾滋病患者的综合征，阴虚外感发热,宜养阴清热,治宜宣肺化痰,益气软坚…"
红参,红参是参的熟用品，伞形目、五加科植物,甘、微苦，温。归经：归脾、肺、心经。,有能大补元气，复脉固脱，益气摄血，生津安神等功效。红参俱有补气、滋阴、益血、生津、强心、健胃、镇静等作用。,用于体虚欲脱，肢冷脉微，气不摄血，崩漏下血;心力衰竭，心原性休克。固脱治劳伤虚损，食少，倦怠，反胃吐食，大便滑泄，虚咳喘促，自汗暴脱，惊悸，健忘，眩晕头痛，阳痿，尿频，消渴，妇女崩漏，小儿慢惊，及久虚不复，一切气血津液不足之证…
螺旋藻,螺旋藻是一类低等植物，属于蓝藻门，颤藻科。,在显微镜下可见其形态为螺旋丝状，故而得名。,减轻癌症放疗、化疗的毒副反应;降低胆固醇、解肾毒、提高免疫机能，促进前列腺素合成、抑癌防癌、加速创口愈合等多种药用和保健功能。但不能代替药品治疗疾病。,"螺旋藻含丰富的蛋白质，高达60-70&#xFF05;，比大豆、牛肉、鸡蛋等也高出数倍。蛋白质是维持生命的基本元素。含丰富的β胡萝卜素，维生素B1,B2,B5,B6,B11,B12,C,E，含多种人体必需的微量元素…"
北芪,别名 黄芪，棉芪，绵芪，黄蓍，黄耆，王孙,补虚药，甘，微温。归脾、肺经。,具有补气升阳，益卫固表，托毒生肌，利水退肿的功效。是常用的补益气血之佳品。能补脾健胃、补肺益气、补气固气、补气消肿、补气生血、补气通络、补气升提、补气托毒、排脓生肌等。,脾肺气虚所致的食少便溏、气短乏力等证;中气下陷所致的久泻脱肛、子宫脱垂、脏器下垂(胃下垂等)等证;便血、崩漏、表虚自汗;浮肿尿少、肢体麻木、关节痹痛、半身不遂;消渴证等证…
鹿角胶,别名白胶(《本经》)、鹿胶(《本经逢原》)。,甘、咸，温。归肾、肝经。,鹿角胶具有滋补肝肾，添精止血的功效，补血，益精。可用于治疗虚劳羸弱，腰膝酸痛，夜梦遗精，崩漏带下等症。近年来发现鹿角胶有增加白细胞，治疗大脑水肿等作用。,治肾气不足，虚劳羸瘦，腰痛，阴疽，男子阳痿、滑精，妇女子宫虚冷，崩漏，带下。治肾气不足，虚劳羸瘦，腰痛，阴疽，男子阳痿、滑精，妇女子宫虚冷，崩漏，带下…
西瓜皮,本品为葫芦科西瓜属植物西瓜的中果皮，削去外果皮及残留的果肉，洗净，晒干。别名：西瓜翠、西瓜翠衣、碎秋,甘、淡，寒。,清热解暑，泻热除烦，利尿。用于暑热烦渴、小便短赤、咽喉肿痛，或口舌生疮，浮肿等症。,本品味甘性凉，善清暑热，能解烦渴，故适用于暑热烦渴、小便短赤等症；而对秋冬之际，气候干燥，咽喉肿痛，或口舌生疮等症，也可应用，有泻火泄热之效…
地黄,药材上分为：鲜地黄、干地黄与熟地黄。,甘苦，寒。入心、肝、肾经。,地黄具有滋阴，养血的功效。适用于发热，消渴，吐血，血崩，月经不调，胎动不安等症。治阴虚发热，消渴，吐血，衄血，血崩，月经不调，胎动不安，阴伤便秘等症。,“四大怀药”之一。从周朝开始，被历代列为贡品;唐宋时已久负盛名，经丝绸之路传入亚欧各国;明代郑和将怀药带入东南亚、中东、非洲诸国;近代四大怀药被海外人士誉为华药…
荷叶,别名 荷叶、莲叶、鲜荷叶、干荷叶,味苦辛微涩、性凉;归心、肝、脾经,清香升散;具有消暑利湿，健脾升阳，散瘀止血的功效，清热解暑，升发清阳，凉血止血。用于暑热烦渴，暑湿泄泻，脾虚泄泻，血热吐衄，便血崩漏。荷叶炭收涩化瘀止血。,主治暑热烦渴，头痛眩晕，水肿，食少腹胀，泻痢，白带，脱肛，吐血，衄血，咯血，便血，崩漏，产后恶露不净，损伤瘀血。用于夏季暑热泄泻等症。用于多种出血症及产后血晕…
扁豆,别名 南扁豆、沿篱豆、峨眉豆、羊眼豆、藤豆,味甘，性温，无毒，入脾、胃经。,健脾和中，消暑化湿。长久服食，有健脾、和中、益气、化湿、消暑之功效。可使头发不白。可解一切草木之毒。使人体内的风气通行，又可解酒毒，河豚鱼之毒。,主治脾虚兼湿，食少便溏，湿浊下注，妇女带下过多，暑湿伤中，吐泻转筋等证。治暑湿吐泻，脾虚呕逆，食少久泄，水停消渴，赤白带下，小儿疳积。主治补养五脏，止呕吐…
桂圆肉,为无患子科植物龙眼的假种皮，气香，味浓甜而特殊。,桂圆肉味甘，性温，无毒;入心、脾经。,贫血、心悸怔忡、自汗盗汗、神经衰弱，肝癌术后恢复，脑肿瘤贫血、低烧不退，气血两虚、头晕眼花、神疲乏力，妊娠水肿，巨幼红细胞性贫血，护肤养颜、抗衰老、增强人体免疫力调节功能，补脾生血，养心增智，恢复疲劳，减肥，失眠，丰胸，补血，改善虚冷等。,用于小孩常感冒体质虚冷常尿床、记忆力不佳;丰胸的补方;治疗病后体弱，妇女在产后调补也很适宜;安神补血，充实脑力等…
莲子心,睡莲科植物莲的成熟种子的绿色胚芽,性味苦，寒;入心、肺、肾三经,有清热、固精、安神、强心、止血、涩精之效，可治高烧引起的烦躁不安、神智不清和梦遗滑精等症。莲心中含生物碱，还可以降血压。经常喝莲心茶还能减肥、治疗便秘。,常用以泡茶饮，有清心火，止遗精的作用，对心肾不交、阴虚火旺的失眠患者，食之最宜。如不见效，可适当使用安定控制，但长期服用安定对身体有较大伤害…
木棉花,别名 斑芝树，英雄树，攀枝花，吉贝，烽火,味苦，性平。淡、涩，平。,清热，利湿，解毒。功能祛风湿，通经络，杀虫。木棉的根、茎抽取物可用做收敛剂、镇痛剂等，它的汁液可用以治疗痢疾，它的根皮、茎皮和刺，磨成粉制成药膏可用来治疗粉刺。,用于泄泻，痢疾，血崩，疮毒。治风湿痹痛，痢疾，牙痛，疥癣。主腰脚不遂，顽痹腿膝疼痛，霍乱，赤白泻痢，血痢，疥癣。主霍乱中恶，赤白久痢，除甘匿、疥癣。牙齿虫痛，并煮服及含之…
生地,别名 地黄、地髓、阳精、苄根,甘，寒。归心、肝、肾经,鲜地黄：清热、生津、凉血;生地黄：清热凉血、益阴生津;清热、生津、润燥、滑肠、破瘀、生新、止痛、调经、金疮瘀、凉血、止血;熟地黄：滋阴补肾、调经补血、血虚头痛、肝痛。,鲜地黄用于热病伤阴，舌绛烦渴，发斑发疹，吐血，衄血，咽喉肿痛。生地黄用于热病舌绛烦渴，阴虚内热，骨蒸劳热，内热消渴，吐血，衄血，发斑发疹。脾虚湿滞腹满便溏者不宜使用…
葛粉,别名 葛粉，葛根淀粉。,清凉下火，开胃下食，利尿解酒,具有清热解毒、生津止渴、补肾健脾、益胃安神、清心明目、润肠道便及醒酒等功能。有解肌退热、透疹、升阳止泻、通经活络、滋补营养、防暑降温、养颜护肤、清除体内垃圾之功效。,对风火牙疼、口腔溃疡、咽喉肿痛、热咳、高热、头痛、疱疹、皮肤瘙痒、痔疮、热痢、泄泻、醉酒、前列腺炎等有疗效，预防和治疗高血压、高血脂、冠心病、心绞痛、糖尿病、癌症、大皮肤肉瘤等…
沙参,又名南沙参、泡参、泡沙参、识美、虎须、白参等。,沙参味苦，性微寒，无毒;入肺、肝、胆经。,"清肺化痰，养阴润燥，益胃生津，慢性支气管炎，慢性咽炎，百日咳，肺结核，肺气肿，肺脓疡，咳嗽气短，午后发热，咯血，食道炎、胸骨刺痛、吞咽困难，小儿口疮，虚火牙痛，产后无乳，赤白带下，鼻咽癌 
，肺癌，祛痰，强心，抗真菌，口渴咽干，胃脘隐痛等。",用于肺热燥咳，阴虚劳嗽，干咳痰黏，气阴不足，烦热口干;晚期肿瘤病人血枯阴亏、肺阴虚之肺癌、消化道肿瘤术后气阴两虚…
龙胆草,又名龙胆，草龙胆，苦龙胆草、地胆草，山龙胆等。,龙胆草味苦，涩，大寒，无毒。归肝、胆经。,保肝、利胆，利尿，脱发，脚气，定惊，顽固性偏头痛、湿疹、高血压、急性结膜炎、外耳道疖肿、鼻炎、急性黄疸性肝炎、急性胆囊炎，以及泌尿生殖系统炎症、急性肾盂肾炎、急性膀胱炎、尿道炎、外阴炎、睾丸炎、带状疱疹等。,用于湿热黄疸，阴肿阴痒，带下，强中，湿疹瘙痒，目赤，耳聋，胁痛，口苦，惊风抽搐，用于肝火上冲所致的鼻衄等…
茴香,又名茴香、谷茴香、香子。为伞形科草本植物小茴香果实,茴香味辛，性温，无毒;归肝、肾、脾、胃经,温肝肾，暖胃气、散塞结，散寒止痛，理气和胃，胃痛，寒疝腹痛，睾丸偏坠，少腹冷痛，脘腹胀痛，食少吐泻，头晕眼花，腹胀，跌打肿痛，腰痛，腹痛，乳胀积滞，月经不调，痛经，乳汁不下，咳喘，水肿，肺炎，肺结核，健忘，癫痫，心悸失眠，风湿关节炎等。,用于医药、调味、食用、化妆;作药物用于寒疝腹痛，妇女痛经，脘腹胀痛，食少吐泻;作香料用于肉类、海鲜及烧饼等的烹调等…
人参花,又名“神草花”，是采撷名贵的人参含苞待放的蓓蕾。,味甘、微苦，性温;被称为免疫保健的万能养生品。,增强免疫力，肿瘤，防动脉粥样硬化，心血管疾病，老年痴呆症，脑血栓，安神，改善记忆力，糖尿病，改善胃肠功能，肝癌，乳腺癌，肺癌，肺腺癌，冠心病，心脏病，抗疲劳，心律失常，抗炎，过敏，休克，调整血液系统，美容养颜，抗衰老，更年期综合征等。,用于节人体细胞的阴阳平衡，提高免疫力，提神、降压、降糖、降血脂、抗癌、调理胃肠功能、缓解更年期综合征等保健效果等…
明矾,又名白矾，矾石、羽涅，涅石，白君、云母矾、生矾等。,明矾味酸、涩，性寒，有毒;归肺、脾、肝、大肠经。,内痔，脱肛，子宫脱垂，控制烧伤创面绿脓杆菌感染，慢性中耳炎，头癣，睾丸鞘膜水肿，传染性肝炎，慢性细菌性痢疾，肺结核咯血，胃、十二指肠溃疡，狂躁型精神病，癫痫，阴道滴虫，利胆，凝固蛋白，抗菌，止汗，止血，白带过多、溃疡，消炎、防腐等。,用于抑制多种革兰阴性、阳性球菌和杆菌;解毒杀虫，爆湿止痒，止血止泻，清热消痰;高脂血症、十二指肠溃疡、肺结核咯血等…
白蒿,别名 蘩、皤蒿、由胡、莓母、旁勃,"味苦,微甘,性凉,解毒药,补益药","清热利湿;凉血止血，""主五藏邪气，风寒湿痹，补中益气，长毛发令黑。疗心悬少食常饥。"",治风寒湿痹，黄疸，热痢，疥癞恶疮。肿热咳嗽;咽喉肿痛;湿热黄疸;热痢;淋病;风湿痹痛;吐血;咯血;外伤出血;疥瘌恶疮。主治：风湿寒热邪气。",取白蒿鲜草2两或干品1两，水煎。分2～3次服，每日1剂，5～7日为一疗程;或制成冲剂及片剂服用…
车前草,又名车前实、虾蟆衣子、猪耳朵穗子、凤眼前仁。,车前草味甘、淡，性微寒。归肺、肝、肾、膀胱经。,利尿，膀胱炎，尿道炎，前列腺炎，外因瘙痒，白带，小便不通，尿血;热痢，泄泻，黄疸，疮疡溃烂，高血压;清热、消炎，胃炎，目赤肿痛，鼻血不止，火眼;百日咳，痰嗽喘促，咳血，金疮血出不止，惊风，小儿痫病，肝肾俱虚，眼常昏暗;小产，迎风有泪等。,用于小便赤涩，或癃闭不通，及热淋血淋;禁忌：内伤劳倦、阳气下陷之病，皆不当用，肾气虚脱者，车前草忌与淡渗药同用…
茉莉花,别名 茉莉，香魂，莫利花，没丽，没利,味辛、甘，性平。能化湿和中，理气解郁,理气和中，开郁辟秽。茉莉花所含的挥发油性物质，具有行气止痛，解郁散结的作用。抗菌消炎。茉莉花对多种细菌有抑制作用。有着良好的保健和美容功效，可以用来饮食。,用于脾胃湿浊不化，少食脘闷，腹泻或下痢腹痛。主治下痢腹痛，目赤肿痛，疮疡肿毒等病症。可缓解胸腹胀痛，下痢里急后重等病状，可治疗目赤，疮疡，皮肤溃烂等炎性病症…
银杏叶,又名飞蛾叶、鸭脚子、白果叶等，为银杏的干燥叶。,银杏叶味甘、苦、涩，性平;归心、肺经。,高血压，降血压、血脂，降血液粘稠，糖尿病，动脉硬化，肺虚咳喘，止痛，冠心病，心绞痛，活血化瘀，泻痢，小儿肠炎，通便，利尿，排毒，减肥，更年期综合症，经期腹痛，支气管哮喘，头昏眼花，祛斑，美白，除皱，提高记忆力，抗氧化，灰指甲，鸡眼等。,用于肺虚咳喘;冠心病，心绞痛，高血脂，抗凝固，提高记忆力;人体美容，抑制黑色素生长，保持皮肤光泽弹性;老年痴呆等…
茵陈蒿,为菊科植物茵陈蒿的幼嫩茎叶。春季幼苗高约三寸时采收，除去杂质，去净泥土，晒干。别名：因尘、马先、茵蔯蒿、茵陈、因陈蒿。,苦辛，凉。,清热利湿。治湿热黄疸，小便不利，风痒疮疥。配栀子、大黄治阳黄；配附子、干姜治阴黄。,1、青蒿气味芳香，与一般苦寒药又伤脾胃者不同，但有泄泻者仍不宜用。出汗多者也要慎用。2、青蒿虽可用全草，但主要靠其叶，清透解肌。青蒿子无退热功能，但可治便秘…
薰衣草,别名 香水植物，灵香草，香草，黄香草,味辛、甘，性平。能化湿和中，理气解郁,有健胃、发汗、止痛之功效，花汁有助皮肤调节，可促进上皮细胞组织的更新，平衡皮脂分泌;提神醒脑、杀菌、排菌、排毒，减少失眠，愉悦心情。家居柜橱驱虫;净化空气。,能促进细胞再生、加速伤口愈合，改善粉刺、脓肿、湿疹、平衡皮脂分泌，对烧烫灼晒伤有奇效，可抑制细菌、减少疤痕。是治疗伤风感冒、腹痛、湿疹的良药，改善失眠…
松花粉,又名松花、松黄;为松科植物油松或同属植物的花粉。,松花粉味甘、性温、无毒。手捻有滑润感，不沉于水。,祛风止血，爽身消炎，湿疹，汗疹，黄水疮，皮肤糜烂，浓水淋漓，外伤出血，尿布性皮炎，对皮肤无刺激、过敏等副作用;抗疲劳，延缓衰老，美容，保护心血管，慢性便秘;护肝益气，润心肺，中虚胃疼，胃脘痛;疗久痢，解酒毒，清血热，产后壮热，头痛等。,用于高血压，高血脂，冠状动脉心脏疾病和脑血管血栓形成的患者;癌症病者;肝脏疾病者;有助于生长发育和智力的发展等…
五指毛桃,别名 潘芪、南芪、五指榕、五指牛奶、牛奶树,性平，味甘、辛,健脾化湿，行气化痰，舒筋活络。具有益气补虚、行气解郁、壮筋活络、止咳化痰、平肝明目，滋阴降火，健脾开胃，溢气生津，祛湿化滞，健脾化湿、清肝润肺等功效。,用于肺结核咳嗽，慢性支气管炎，风湿性关节炎，腰腿疼，脾虚浮肿，病后盗汗，白带，用于食少无力、肺痨咳嗽、盗汗、带下、产后无乳、月经不调、风湿痹痛、水肿等症…
