名称,简介,药性,功效,适应症
葫芦,属于葫芦科葫芦属的一种植物，它是爬藤植物，其果实也被称为葫芦。新鲜的葫芦皮嫩绿，果肉白色。葫芦各栽培类型藤蔓的长短，叶片、花朵的大小，果实的大小形状各不相同。果有棒状、瓢状、海豚状、壶状等，类型的名称亦视果形而定。葫芦的果实可以在未成熟的时候收割作为蔬菜食用，也可以在成熟后收割加工为容器或者烟斗。葫芦除了能盛药，本身也可为药。葫芦味甘，性平滑无毒，其蔓、须、叶、花、子、壳均可入药，医治多种疾病。一般人群均可食用。特别适合免疫力低下、高血糖者…,,,
香加皮,别名北五加皮、羊奶藤、羊桃梢、羊奶子、杠柳皮、臭五加、山五加皮、香五加皮、五加皮。,性温，味辛、苦。归心经、肝经、肾经。,祛风湿，强筋骨。本品呈卷筒状或槽状，少数呈不规则的块片状，长3～10cm，直径1～2cm，厚0.2～0.4cm。外表面灰棕色或黄棕色，栓皮松软常呈鳞片状，易剥落。内表面淡黄色或淡黄棕色，较平滑，有细纵纹。体轻，质脆，易折断，断面不整齐，黄白色。有特异香气，味苦。,用于风寒湿痹、腰膝酸软、心悸气短、下肢浮肿…
枳椇子,别名拐枣、鸡爪梨、万寿果、结肉子、结肉籽、桔扭子、鸡爪树、鸡爪果、鸡脚爪、万字果、梨爪子等，我国大部份省区均有零星分布，野生。,味甘酸，性平，无毒。,具有医疗价值，其子可清热利尿，止咳除烦，解酒毒。其皮可活血，舒筋解毒。其果梗可健胃，补血。,树皮用于治疗腓肠肌痉挛，食积，铁棒锤中毒。其子治酒醉，烦热，口渴，呕吐，二便不利。果梗健胃补血，蒸熟浸酒，作滋养补血用…
泽漆,双子叶植物大戟科泽漆的干燥全草，又名五朵云、猫眼草、五凤草、灯台草辛、苦，微寒；有毒。归肺、小肠、大肠经。该物种为中国植物图谱数据库收录的有毒植物，其毒性为全株有毒，乳汁对口腔粘膜有刺激作用，如入眼内有失明危险。内服过量引起腹痛、腹泻、呕吐、严重者脱水。利水消肿，化痰散结，杀虫。用于水肿，肝硬化腹水，细菌性痢疾；外用治淋巴结结核，结核性瘘管，神经性皮炎。并可灭蛆、孑孓。1～3钱；外用适量，熬膏外涂…,,,
蝼蛄,拉拉蛄、土狗、梧鼠、蝼蝈、螜、天蝼、蟪蛄、蝼窒、蟓蛉、杜狗、蛞蝼、炙鼠、津姑、蝼蜮、硕鼠、蜗蛄、地狗、拉拉古、土狗崽、地牯牛、拉拉狗、拉蛄、蝚、蟪姑、仙姑、石鼠、蛄。,咸，寒。有小毒。归膀胱、大肠、小肠经。,利水消肿。用于水肿、腹水、小便不利等症。,蝼蛄的药用部分为蝼蛄的干燥成虫。体形较大的若虫也可以入药。当采到或用光诱捕到虫体后，应尽快用沸水烫死，晒干或烘干备用，但应防发霉虫蛀…
荠菜,十字花科荠菜属植物荠菜以全草入药。春末夏初采集，晒干。别名：枕头草、粽子菜、三角草、荠荠菜、菱角菜、地菜、上巳菜,甘，平。,凉血止血，清热利尿。用于肾结核尿血，产后子宫出血，月经过多，肺结核咯血，高血压病，感冒发热，肾炎水肿，泌尿系结石，乳糜尿，肠炎。,荠菜不宜久烧久煮，时间过长会破坏其营养成分，也会使颜色变黄。荠菜可宽肠通便，故便溏者慎食；体质虚寒者不能食用荠菜…
车前子,又名独摇草、独滑、长生草、川独活、肉独活、玉活等。,车前子味甘、淡，性微寒，归肺、肝、肾、膀胱经。,感冒，祛痰、镇咳、平喘，慢性气管炎，清热利尿，小便不通，白带，热痢，黄疸，目赤肿痛，火眼，百日咳，惊风，小儿痫病，金疮血出不止，疮疡溃烂，泄泻，急慢性细菌性痢疾，小儿单纯性消化不良，转正胎位，促进关节囊滑膜结缔组织增生，颞下颌扰乱症。,常用于清热利尿，渗湿止泻，明目，祛痰。主治：主小便不利，水肿胀满，暑湿泻痢，痰热咳喘…
滑石,滑石是一种常见的硅酸盐矿物，别名为画石、液石、共石等。本品多为块状集合体。呈不规则的块状。白色、黄白色或淡蓝灰色，有蜡样光泽。质软细腻，手摸有滑润感，无吸湿性，置水中不崩散。无臭，无味。利尿通淋，清热解暑，祛湿敛疮。用于热淋，石淋，尿热涩痛，暑湿烦渴，湿热水泻；外治湿疹，湿疮，痱子。用于小便不利、淋沥涩痛等症，可配车前子、木通等品；用于湿热引起的水泻，可配合茯苓、薏苡仁、车前子等同用。滑石在直肠、阴道或创面等处可引起肉芽肿，滑石粉又常用作避孕器具及会阴的撒布剂，常如此应用，其卵巢癌发生率比不用者高约3倍…,,,
木通,别名通草、附支、丁翁、丁父、葍藤、王翁、万年、万年藤、燕蕧、乌蕧、活血藤。,苦，凉。入心、小肠、膀胱经。,《纲目》:上能通心清肺，治头痛，利九窍，下能泄湿热，利小便，通大肠，治遍身拘痛;《药品化义》:导脾胃积热下行，主治火泻、热泻，盖为利小肠火郁，行膀胱水闭，使水火分，则脾气自实也;《本经》:主除脾胃寒热者，以其通气利湿热也。,治小便赤涩，淋浊，水肿，胸中烦热，喉痹咽痛，遍身拘痛，妇女经闭，乳汁不通…
通草,别称寇脱、离南、活莌、倚商、通脱木、葱草、白通草。,味甘、淡、性微寒。入肺、胃经。,,明目，退热，催生，下胞，下乳。除水肿癃闭，治五淋。治目昏耳聋，鼻塞失音。通经闭，疗黄疸，消痈疽，利鼻痈，除心烦…
瞿麦,别名：巨句麦、大兰、山瞿麦、竹节草,茎圆柱形，上部有分枝，长30～60cm;表面淡绿色或黄绿色，光滑无毛，节明显，略膨大，断面中空。叶对生，多皱缩，展平叶片呈条形至条状披针形。种子细小，多数。无臭，味淡。,利尿通淋，破血通经。用于热淋，血淋，石淋，小便不通，淋沥涩痛，月经闭止。,利尿作用；对肠管的作用；对心血管的影响；对血吸虫的影响；对血吸虫的影响；免疫作用；抑菌；杀虫；抗脂质过氧化；兴奋子宫；溶血作用…
茵陈,为菊科植物茵陈蒿的幼苗，又名绵茵陈、茵陈蒿、白蒿、绒蒿、猴子毛、松毛艾多卷曲成团状，灰白色或灰绿色，全体密被白色茸毛，绵软如绒。茎细小，长1。5～2。5cm，直径0。1～0。2cm，除去表面白色茸毛后可见明显纵纹；质脆，易折断。叶具柄；展平后叶片呈一至三回羽状分裂，叶片长1～3cm，宽约1cm；小裂片卵形或稍呈倒披针形、条形，先端尖锐。气清香，味微苦。清湿热，退黄疸。用于黄疸尿少、湿疮瘙痒、传染性黄疸型肝炎。6～15g。外用适量，煎汤熏洗…,,,
金钱草,又名蜈蚣草、铜钱草、大金钱草、对坐草、一串钱等。,金钱草味甘、微苦，性凉。归肝、胆、肾、膀胱经。,可清利湿热，通淋，消肿。抗炎，热淋，沙淋，排石;治尿涩作痛，黄疸尿赤，痈肿疔疮，毒蛇咬伤;慢性胆囊炎，肝胆结石，尿路结石，腹水肿胀，疝气，跌打损伤，疔疮，骨折，肾虚水肿，烧伤，急性乳腺炎，伤风咳嗽，风湿性关节炎，妇科白带，月经不调等。,常用于热淋，沙淋，尿涩作痛，黄疸尿赤，痈肿疔疮，毒蛇咬伤，肝胆结石，尿路结石等症;用于热毒疮疡及毒蛇咬伤…
虎杖,别名花斑竹、酸筒杆、酸桶笋，为蓼科植物虎杖的干燥根茎和根。本品多为圆柱形短段或不规则厚片，长1～7cm，直径0。5～2。5cm。外皮棕褐色，有纵皱纹及须根痕，切面皮部较薄，木部宽广，棕黄色，射线放射状，皮部与木部较易分离。根茎髓中有隔或呈空洞状。质坚硬。气微，味微苦、涩。清热解毒，利胆退黄，祛风利湿，散瘀定痛，止咳化痰。用于关节痹痛，湿热黄疸，经闭，癓瘕，咳嗽痰多，水火烫伤，跌扑损伤，痈肿疮毒。我国大部分地区都有，主要分布于山东、河南、陕西、湖北、江西、福建、台湾、云南、四川、贵州…,,,
地耳草,别名田基黄、田基王、小田基黄、黄花草、黄花仔、对叶草、七寸金、细叶黄、水榴子、香草、斑鸠窝、雀舌草、蛇喳口、合掌草、跌水草、一条香、金锁匙、红孩儿、寸金草、田边菊、刘寄奴、痧子草、光明草、田基苋、荞壳草、小王不留行、观音莲、雷公箭、降龙草、七层塔、土防风、枫草儿、小元宝草、禾霞气。,味苦，性寒，无毒。归肝、胆经。,利湿退黄，清热解毒，活血消肿。,用于黄疸热淋，恶疮，肿毒，毒蛇咬伤，传染性肝炎，泻痢，小儿惊风，疳积，喉蛾，肠痈，疖肿…
垂盆草,别名狗牙半支、石指甲、半支莲、养鸡草、狗牙齿、瓜子草,本品茎纤细，长可达20cm以上，部分节上可见纤细的不定根。叶轮生，叶片倒披针形至矩圆形，绿色，肉质，长1.5～2.8cm，宽0.3～0.7cm，先端近急尖，基部急狭，有距。气微，味微苦。,清热利湿；解毒消肿。主湿热黄疸；淋病；泻痢；肺痈；肠痈；疮疖肿毒；蛇虫咬伤；水火烫伤；咽喉肿痛；口腔溃疡及湿疹；带状疱疹。垂盆草适应症：用于湿热黄疸，小便不利，痈肿疮疡；急、慢性肝炎。,脾胃虚寒者慎服…
鸡骨草,又名红母鸡草、石门坎、黄食草、细叶龙鳞草、大黄草。,鸡骨草味甘、微苦，性凉，无毒;归肝、胃、胆经。,清热解毒，外感风热，舒肝止痛，黄疸，急性肝炎，慢性肝炎，肝硬化腹水，黄疸型肝炎，清肝明目，胁肋不舒，胃脘胀痛，胃痛，乳腺炎，乳痛，瘰疬，小便刺痛，跌打伤瘀血疼痛，风湿骨节疼痛，蛇咬伤，和脾，续折伤，清热利湿，散瘀止痛，跌打瘀血内伤等。,用于清热利湿，舒肝止痛。治急慢性肝炎，肝硬化腹水，胃痛，小便刺痛，蛇咬伤;风湿骨痛，跌打瘀血内伤，作清凉解热药等…
珍珠草,大戟科油柑属植物叶下珠，以全草入药。夏秋采集全草，去杂质，晒干。又名珍珠草、叶下珍珠、叶后珠。味微苦甘，性凉，无毒。内服清热解毒散气去积；外用消毒退肿。入脾肺经。清热利尿，明目，消积。用于肾炎水肿，泌尿系感染、结石，肠炎，痢疾，小二疳积，眼角膜炎，黄疸型肝炎；外用治青竹蛇咬伤。0.5～1两；外用适量，鲜草捣烂敷伤口周围…,,,
积雪草,双子叶植物伞形科积雪草的干燥全草或带根全草，别名崩大碗、马蹄草。本品常卷缩成团状。根圆柱形，长2～4cm，直径1～1.5mm，表面浅黄色或灰黄色。茎细长弯曲，黄棕色，有细纵皱纹，节上常着生须状根。叶片多皱缩、破碎，完整者展平后呈近圆形或肾形。双悬果扁圆形，有明显隆起的纵棱及细网纹，果梗甚短。气微，味淡。清热利湿，解毒消肿。用于湿热黄疸，中暑腹泻，砂淋血淋，痈肿疮毒，跌扑损伤。4-5月采收全草，晒干或鲜用…,,,
萹蓄,别名 扁蓄、大萹蓄、鸟蓼、扁竹、竹节草、猪牙草、道生草、竹、萹竹、萹茿、畜辩、萹蔓、地萹蓄、编竹 。,苦，微寒、归膀胱经。,利尿通淋，杀虫，止痒。用于膀胱热淋，小便短赤，淋沥涩痛，皮肤湿疹，阴痒带下。,《本经》：主浸淫，疥瘙疽痔，杀三虫。《别录》：疗女子阴蚀。 陶弘景：煮汁与小儿饮，疗蛔虫有验。《药性论》：主丹石毒发冲目肿痛，又敷热肿效…
地肤子,别名扫帚苗、地葵、地麦、益明、落帚子、竹帚子、千头子、帚菜子、铁扫把子、独扫子、扫帚子。呈扁球状五角星形，外被宿存花被，表面灰绿色或浅棕色。秋季果实成熟时采收植株，晒干，打下果实，除去杂质，果实干燥成熟后入药。,味辛、苦，性寒。归肾、膀胱经。,清热利湿，祛风止痒。,用于治膀胱湿热，小便涩痛，阴痒带下，风疹，湿疹，皮肤瘙痒，雷头风肿，不省人事，血痢不止…
海金沙,本品为海金沙科植物海金沙的干燥成熟孢子。秋季孢子未脱落时采割藤叶，晒干，搓揉或打下孢子，除去藤叶。别名：金沙藤、左转藤、蛤蟆藤、罗网藤、铁线藤、吐丝草,甘、咸，寒。,清热解毒，利水通淋。治尿路感染，尿路结石，白浊，白带，肝炎，肾炎水肿，咽喉肿痛，痄腮，肠炎，痢疾，皮肤湿疹，带状疱疹。,肾阴亏虚者慎服海金沙；小便不利及诸淋由于肾水真阴不足者勿服海金沙…
石韦,本品为水龙骨科植物庐山石韦、石韦或有柄石韦的干燥叶。全年均可采收，除去根茎及根，晒干或阴干。别名：小石韦、飞刀剑、石皮、石剑、石兰、金茶匙,甘、苦，微寒。,利尿通淋，清热止血。用于热淋，血淋，石淋，小便不通，淋沥涩痛，吐血，衄血，尿血，崩漏，肺热喘咳。,治疗热淋、石淋所常用，可与滑石、海金沙、茅根等同用；用于肺热咳嗽痰多，单用有效。亦可与清肺化痰之品配伍，目前还用于急、慢性支气管炎…
冬葵子,又名葵子、葵菜子。为锦葵科一年生草本植物冬葵的成熟种子。中国各地均产。夏秋季种子成熟时采收。晒干，生用，捣碎入药。甘，寒。①《本经》：“味甘，寒。”②《别录》：“无毒。”③《药性论》：“滑，平。”④《本草再新》：“味甘苦，性微寒，无毒。”利水通淋；滑肠通便；下乳。主淋病；水肿；大便不通；乳汗不行脾虚肠滑者忌服，孕妇慎服。①《本草经集注》：“黄芩为之使。”②《得配本草》：“气虚下陷，脾虚肠滑，二者禁用…,,,
灯芯草,别名秧草、水灯心、野席草、龙须草、灯草、水葱、虎须草、赤须、灯心、碧玉草、铁灯心、猪矢草、洋牌洞、灯芯草、虎酒草、曲屎草、老虎须。呈细圆柱形，表面白色或淡黄白色，有细纵纹。体轻，质软，略有弹性，易拉断，断面白色。夏末至秋季割取茎，晒干，取出茎髓，理直，扎成小把。,味甘、淡，性微寒。归心、肺、小肠经。,清心火，利小便，止血通气，散肿止渴。,用于心烦失眠，尿少涩痛，口舌生疮…
萆薢,别名 粉萆薢、绵萆薢、黄姜 。,苦、平、归肝、胃、膀胱经。,利湿去浊，祛风除痹，用于膏淋，白浊，白带过多，风湿痹痛，关节不利，腰膝疼痛。,为不规则的斜切片，边缘不整齐，大小不一，厚2～5mm。外皮黄棕色至黄褐色，有稀疏的须根残基，呈圆锥状突起。质疏松，略呈海绵状，切面灰白色至浅灰棕色，黄棕色点状维管束散在。气微，味微苦…
猫须草,猫须草为唇形科肾茶属植物，由于其雄蕊酷似猫的胡须，故有此名。,甘淡微苦，性凉。,猫须草可以减少体内水分滞留，净化肾脏、排清毒素，对抗自由基侵害。,猫须草清凉消炎，可入药，主要用于治疗急慢性肾炎、膀胱炎、尿路结石和风湿性关节炎。
