名称,简介,药性,功效,适应症
寻骨风,别名清骨风、猫耳朵、穿地节、毛香、白毛藤、地丁香、黄木香、白面风、兔子耳、清骨凤、毛风草、猴耳草。,多年生缠绕草本，全株密被白黄色绵毛。茎细长，具数条纵沟。叶互生，卵形或卵圆状心形。花单生于叶腋。蒴果椭圆状倒卵形，胞伺开裂。种子扁平。,用于风湿痹痛、筋脉拘挛，可单味浸酒服或与桑枝、络石藤配伍应用。治胃痛可配海螵蛸、陈皮同用；用治睾丸肿痛可与鸡蛋同煮，饮汤食蛋；用治跌打伤痛可配透骨草等同用。此外，本品内服还可用治癌肿，外用可治外伤出血等。,祛风湿，通络止痛。治风湿关节痛，腹痛，疟疾，痈肿…
松节,为松科植物油松、马尾松或云南松的枝干的结节。多于采伐时或木器厂加工时锯取之，经过选择修整，晒干或阴干。别名：黄松木节、油松节、松郎头。,苦，温。,祛风除湿，活络止痛。用于风湿关节痛，腰腿痛，大骨节病，跌打肿痛。,与桑枝比较，两者都能祛风湿，但松节祛风湿偏于寒者，桑枝祛风湿偏于热者，各有所长。适用于筋骨、关节风湿痹痛，配入复方或单用浸酒服，方如风湿二方。阴虚血燥者慎服…
海风藤,本品为胡椒科植物风藤的干燥藤茎。夏、秋二季采割，除去根、叶，晒干。别名：爬岩香、风藤,本品呈扁圆柱形，微弯曲，长15～60cm，直径0.3～2cm。表面灰褐色或褐色，粗糙，有纵向棱状纹理及明显的节。气香，味微苦、辛。,祛风湿；通经络；理气；止痛。主风寒湿痹；肢节疼痛；筋脉拘挛；脘腹冷痛；水肿。治风寒湿痹，关节疼痛，筋脉拘挛，跌打损伤，哮喘，久咳。,服时不可加温，否则失效。心脏病人及孕妇忌服，感冒及月经期暂停服。阴虚火旺者慎服海风藤…
青风藤,青风藤为防己科植物青藤或毛青藤等的藤茎，又名大风藤、吹风散、黑防己、排风藤、青防己、清风藤、青藤、寻风藤呈细长圆柱形，直径5～20mm，外表灰褐色或棕褐色，有纵皱及横向皮孔，节处膨大。体轻，质坚实而脆，易折断，断面灰黄色或淡灰棕色，不平坦。横切面韧皮部很窄，木质部导管与射线呈放射状排列，导管较大。气弱，味苦。祛风湿，利小便。治风湿痹痛，鹤膝风，水肿，脚气。生于山坡灌丛中或山谷林阴下或沟旁。分布于陕西、甘肃、江苏、安徽、河北、广东、贵州…,,,
丁公藤,别名麻辣子、包公藤、麻辣仔藤、斑鱼烈。全年均可采收，切段或片，晒干。,本品为斜切的段或片，直径1～10cm。外皮灰黄色、灰褐色或浅棕褐色，稍粗糙，有浅沟槽及不规则纵裂纹或龟裂纹。质坚硬，纤维较多，不易折断。切面椭圆形。,祛风除湿，消肿止痛。,用于风湿痹痛，半身不遂，跌扑肿痛。治风寒湿痹，半身不遂，可单用酒水各半煎服;或与桂枝、麻黄、当归等制成酒剂，以治风寒湿痹，手足麻木等…
昆明山海棠,火把花、断肠草、紫金皮、紫金藤、雷公藤、掉毛草。,苦、辛、温、有大毒、肝、脾、肾经。该物种为中国植物图谱数据库收录的有毒植物，其毒性为全株有毒。民间称为“断肠草”。,祛风除湿;活血止血;舒筋接骨：解毒杀虫。主风湿痹痛、半身不遂、疝气痛、痛经、月经过多、产后腹痛、出血不止、急性传染性肝炎、慢性肾炎、红斑狼疮、癌肿、跌打骨折、骨髓炎、骨结核、副睾结核、疮毒、银屑病、神经性皮炎。,孕妇禁服。小儿及育龄期妇女慎服。不宜过量或久服。少数患者久服本品可引起闭经、精子减少或缺如，胃部疼痛等。超量服用，可致中毒…
雪上一枝蒿,别名一支蒿。雪上一枝蒿历代本草未见记载，是源于云南。是四川民间广为流传和使用的跌打、疗伤的止痛药。,苦、辛，温。有大毒。归肝经。,诸痛证，本品辛散温通，性猛善走，能祛风湿，活血脉，尤善止痛，为治疗多种疼痛的良药。 疮疡肿毒，虫蛇咬伤，本品能以毒攻毒，活血止痛，可用泡酒外擦，治疮疡肿毒，毒虫及毒蛇咬伤、蜂叮等。,消炎止痛，祛风除湿。治跌打损伤，骨折，风湿骨痛，牙痛，疮疡肿毒，毒蛇咬伤…
路路通,别名九孔子、枫实、枫木上球、枫香果、枫果、聂子、狼目、枫球子、狼眼、枫树球、九空子、枫木球。,本品为聚花果，由多数小蒴果集合而成，呈球形，直径2～3cm。基部有总果梗 。表面灰棕色或棕褐色，有多数尖刺及喙状小钝刺；气微，味淡。,祛风湿，强筋骨，止血。用于风湿痹痛，腰膝无力，月经过多，久咳劳嗽。,用于脘腹胀痛，在临床上用于脘腹胀痛、大便不爽等症;用于风湿痹痛，用经不调，可活血通络;用于水肿、小便不利等症…
枫香脂,别名白胶香、枫脂、白胶、芸香、胶香。,辛、微苦，平。归肺、脾经。本品呈不规则块状，或呈类圆形颗粒状，大小不等，直径多在0.5-1cm之间，少数可达3cm。表面淡黄色至黄棕色，半透明或不透明。质脆易碎，破碎面具玻璃样光泽。气清香，燃烧时香气更浓，味淡。,祛风活血；解毒止痛；止血；生肌。主痈疽；疮疹；瘰疬；齿痛；痹痛；瘫痪；吐血；衄血；咯血；外伤出血；皮肤皲裂,活血止痛，解毒，生肌，凉血。用于跌扑损伤，痈疽肿痛，吐血，衄血，外伤出血。孕妇禁服…
秦艽,麻花艽、小秦艽、大艽、西大艽、左扭、左拧、西秦艽、左秦艽、萝卜艽、辫子艽,辛、苦，平。归胃、肝、胆经。,祛风湿，清湿热，止痹痛。用于风湿痹痛，筋脉拘挛，骨节酸痛，日晡潮热，小儿疳积发热。,药性润而不燥，无论寒湿、湿热、痹证新久，皆可应用。在配伍方面常与防风、羌活、独活、桑枝等同用。此外，本品还常与祛风解表药同用，治疗表证枝体酸痛之症。治疗湿热黄疸，常与茵陈、茯苓、泽泻等配伍…
防己,又名粉防己、粉寸己、汉防己、土防己[浙江]、石蟾蜍、蟾蜍薯、倒地拱、白木香、猪大肠。苦，寒。归膀胱、肺经。,利水消肿，祛风止痛。用于水肿脚气，小便不利，湿疹疮毒，风湿痹痛。,多年生落叶缠绕藤本。根圆柱形。茎纤细，有略扭曲的纵条纹。叶互生，宽三角状卵形，长3.5-6.5厘米，宽5-7厘米，先端钝，具小突尖，基部截形或略呈心形，全缘，上面绿色，下面灰绿色至粉白色。,用于风湿痹痛，水肿脚气，小便不利，湿疹疮毒。本品苦寒较甚，不宜大量使用，以免损伤胃气。食欲不振及阴虚无湿热者忌用…
桑枝,桑枝，为桑树的枝叶、桑枝、桑条、嫩桑枝、的总称。,落叶灌木或小乔木，高3-15m。树皮灰白色，有条状浅裂;根皮黄棕色或红黄色，纤维性强，先端锐尖或渐尖，基部圆形或近心形，边缘有粗锯齿或圆齿，有时有不规则的分裂，上面无毛，有光泽，下面脉上有短毛，腋间有毛。,祛风湿；通经络；行水气。主风湿痹痛；中风半身不遂；水肿脚气；肌体风痒。用于肩臂、关节酸痛麻木。,用于风湿痹痛，常与防己、威灵仙、羌活、独活等配合应用；本品善走上肢，尤以治肩背酸痛，经络不利为常用，可单位熬膏服或与祛风湿药配伍使用…
豨莶草,本品为菊科植物豨莶、腺梗豨莶或毛梗豨莶的干燥地上部分。夏、秋二季花开前及花期均可采割，除去杂质，晒干。别名：肥猪草、肥猪菜、粘苍子、粘糊菜、黄花仔、粘不扎,辛、苦，寒。,祛风湿，利关节，解毒。用于风湿痹痛，筋骨无力，腰膝酸软，四肢麻痹，半身不遂，风疹湿疮。,用于风湿痹痛、筋骨不利等症，常与臭梧桐同用。本品性味苦寒，又有化湿热作用，故痹痛偏于湿热的病症尤为适宜…
臭梧桐,别名桐、八角梧桐、海州常山。为马鞭草科植物臭梧桐的嫩枝及叶，花期8～9月。果期9～10月。,落叶灌木或小乔木，高约3米或3米以上。茎直立，表面灰白色，皮孔细小而多，棕褐色;幼枝带四方形，表面有褐色短柔毛。核果，外围宿萼，果皮呈蓝色而多浆汁。花期8～9月。果期9～10月。,骨节酸痛及风湿痹痛，半身不遂，高血压病，偏头痛，疟疾，痢疾。,《本草纲目拾遗》：能宽筋活血，治一切风湿，止痣肿，风气头风，半边头痛，半支风，两足酸软疼痛，不能步履，两手牵绊，不能仰举…
海桐皮,豆科乔木刺桐的树皮或根皮。四季可采，晒干。别名：刺桐、山芙蓉、空桐树,苦，平。归肝、肾经。,祛风湿，舒筋通络。用于风湿麻木，腰腿筋骨疼痛，跌打损伤；外用治各种顽癣。,适用于下肢关节痹痛以及腰膝疼痛等症，常配合牛膝、薏苡仁、五加皮等药同用。治湿热下注、脚膝疼痛的病症，可配合萆薢、木通等药同用。此外，本品外用治疥癣，可配合川槿皮、蛇床子、大黄，浸酒外搽。血虚者不宜服…
络石藤,别名红对叶肾、白花藤，为夹竹桃科植物络石的带叶藤茎。,本品茎呈圆柱形，弯曲，多分枝，长短不一，直径1～5mm;表面红褐色，有点状皮孔及不定根;质硬，断面淡黄白色，常中空。叶对生，有短柄;展平后叶片呈椭圆形或卵状披针形，长1～8cm，宽0。7～3。5cm。,祛风通络，凉血消肿。用于风湿热痹，筋脉拘挛，腰膝酸痛，喉痹，痈肿，跌扑损伤。,气味平和，其功主筋骨关节风热痈肿，变白耐老，即医家鲜知用者，岂以其近贱而忽之耶。服之当浸酒耳…
雷公藤,黄藤、黄腊藤、菜虫药、红药、水莽草、黄藤根、黄药、断肠草、南蛇根、三棱花、旱禾花、黄藤木、红紫根、黄藤草、震龙根。,单叶互生，亚革质;叶柄长约5mm;叶片椭圆形或宽卵形，先端短尖，基部近圆形或宽楔形、边缘具细锯齿，上面光滑，下面淡绿色。,祛风，解毒，杀虫。外用治风湿性关节炎，皮肤发痒，杀蛆虫、孑孓，灭钉螺，毒鼠。,服药期间要定期查血尿常规，肝肾功能，随时调整用药外，还应该配合其他用药治疗…
老鹳草,老鹳嘴、老鸦嘴、贯筋、老贯筋、老牛筋、五叶草、老官草、五瓣花、老贯草、天罡草。,多年生草本，高35～80厘米。茎伏卧或略倾斜，多分枝。叶对生，叶柄长1.5～4厘米蒴果先端长喙状，成熟时裂开，喙部由下而上卷曲。种子长圆形，黑褐色。,祛风湿，通经络，止泻利。用于风湿痹痛，麻木拘挛，筋骨酸痛，泄泻痢疾。,祛诸风皮肤发痒。治筋骨疼痛，痰火痿软，手足筋挛，麻木，利小便，泻膀胱积热，攻散诸疮肿毒，退痨热发烧，治风火虫牙，痘疹疥癞等症…
穿山龙,别名穿龙薯蓣、野山药、串地龙、地龙骨、鸡骨头、龙萆，生于山地草坡或灌丛中。根呈不规则圆锥形，气微，味辛、麻舌。根茎呈圆柱形、类圆柱形，稍弯曲，有指状分枝，长短不一。表面棕色或黄色，两侧散生须状细根或细根断痕。质坚硬，断面平坦，白色或类白色，粉性。,性温，味甘、苦。,舒筋活血，止咳化痰，祛风止痛。,用于腰腿疼痛、风湿痛、风湿关节痛、筋骨麻木、大骨节病、跌打损伤、闪腰、咳嗽喘息、气管炎、支气管炎…
丝瓜络,又名丝瓜筋、丝瓜布、天萝筋、丝瓜网、丝瓜瓤等。,丝瓜络性凉，味甘。入肺、胃、肝经。葫芦科。,功效通经活络，清热解毒，利尿消肿，止血;治胸胁胀痛，风湿痹痛，筋脉拘挛，风湿性关节痛，中风后半身不遂，经事不行，女子经闭，子宫出血，乳汁不通，乳腺炎，痰热咳嗽，热毒痈肿，痔漏脱肛，水肿，小便不利，便血，崩漏，湿疹，腹水，外感暑湿等。,中药丝瓜络常用于肝郁气滞，经络不畅，症见胸胁胀满疼痛者;肺经热盛，症见咳嗽多痰者;水液内停而致水肿、腹水者…
五加皮,本品为五加科植物细柱五加的干燥根皮。夏、秋二季采挖根部，洗净，剥取根皮，晒干。别名：南五加皮、刺五加、刺五甲,辛、苦，温。,祛风湿，补肝肾，强筋骨。用于风湿痹痛，筋骨痿软，小儿行迟，体虚乏力，水肿，脚气。阴虚火旺者慎服。,用于风湿痹痛、筋骨拘挛、腰膝酸痛等症。治肝肾不足所致腰膝酸疼、下肢痿弱以及小儿行迟等症，在临床应用上常与牛膝、木瓜、续断等药同用。治水肿、小便不利，常配合茯苓皮、大腹皮、生姜皮、地骨等药同用…
桑寄生,又名广寄生、苦楝寄生、桃树寄生、松寄生、寓木等。,桑寄生味苦、甘;性平。入心、肝、肾足厥阴经 。,补肝肾;强筋骨;祛风湿;主腰膝酸痛;筋骨痿弱;肢体偏枯;风湿痹痛;头错目眩;胎动不安，崩漏下血。风湿痹痛，腰膝酸软，筋骨无力，崩漏经多，妊娠漏血，胎动不安;高血压。补气温中，治阴虚，壮阳道，利骨节，通经水，补血和血，安胎定痛，降压。,用于生槐树者，主治大肠下血、肠风带血、痔漏。生桑树者，治筋骨疼痛，走筋络，风寒湿痹。生花椒树者，治脾胃寒，呕吐等…
狗脊,别名金毛狗脊、金毛狗、金狗脊、金毛狮子、猴毛头、黄狗头、百枝、狗青、强膂、扶盖、扶筋、苟脊、毛狗儿、金丝毛、金扶筋、金猫咪、老猴毛,本品呈不规则的长块状，长10～30cm，直径2～10cm。表面深棕色，残留金黄色绒毛;上面有数个红棕色的木质叶柄，下面残存黑色细根。质坚硬，不易折断。无臭，味淡、微涩。质脆，易折断，有粉性。熟狗脊片呈黑棕色，质坚硬。,"补肝肾，强腰脊，祛风湿。用于腰膝酸软，下肢无力，风湿痹痛。主治风湿痹痛，腰膝酸软，下肢无力，尿频，遗尿，白带过多。 
外敷金疮止血。",肾虚有热，小便不利或短涩黄赤，口苦舌干者慎服…
千年健,一包针、千颗针、千年见、丝棱线，除去杂质，洗净，润透，切片，晒干。,：本品呈圆柱形，稍弯曲，有的略扁，长15～40cm，直径0。8～1。5cm。表面黄棕色至红棕色，粗糙，可见多数扭曲的纵沟纹、圆形根痕及黄色针状纤维束。,祛风湿，壮筋骨，止痛，消肿。治风湿痹痛，肢节酸痛，筋骨痿软，胃痛，痈疽疮肿。用于风湿痹痛、腰膝冷痛、下肢拘挛麻木。本品能祛风湿，强盘骨。以本品与钻地风、虎骨、牛膝、枸杞子等浸酒服。,用于风湿痹痛、腰酸脚软、手足拘挛麻痹等症，常与桑寄生、虎骨、牛膝等配合应用…
雪莲花,藏语称恰果苏巴，又名雪莲、雪荷花、大拇花、大木花,雪莲花味甘，微苦，性温;归肝、脾、肾三经。,阳痿，月经不调，闭经，痛经，红崩，白带，胃溃疡，胃寒，胃痛，痔疮，支气管炎，心脏病，鼻出血，蛇咬伤，雪肓，牙痛，风湿，类风湿性关节炎，肩周炎，老年性腰腿痛，乳腺癌，皮肤癌，白血病，何金氏病，痛风，抗菌，抗癌，抗肿瘤，降压，美容祛斑等。,用于痛经活血、妇女小腹疼痛、月经不调、产后血晕身痛;阳痿，早泄，肾虚遗精;风湿性关节炎、肩周炎、肺寒咳嗽、寒胃等…
鹿衔草,别名鹿含草、鹿蹄草、破血丹。,干燥全草，茎紫褐色，稍具棱，并有皱纹，无毛，微有光泽。叶柄长，扁平而中央凹下，两边呈膜质状，常弯曲，无毛。叶片皱缩，稍破碎，上面紫红色，少有呈棕绿色者，光滑，下面紫红色，无毛，叶脉微突;纸质，易碎。,祛风湿，强筋骨，止血。用于风湿痹痛，腰膝无力，月经过多，久咳劳嗽。,在药用方面的新用途，主要在心血管方面;在食品工业中的新用途，主要在抑菌防腐方面;在食品工业中的新用途，主要在抑菌防腐方面…
虎骨,中药名，即虎的骨骼。甘、辛，温。归肝、肾经。本品有整架和零骨之分，整架虎骨稍带肌肉和结缔组织，并富油性。以个大、体重、坚实、黄白色、无残肉者为佳。个小、体较轻、灰白色、带残肉者质次。如用毒药杀死，其骨发黑者，不可入药。追风定痛，健骨，镇惊。治历节风痛，四肢拘挛，腰脚不随，惊悸癫痫，痔瘘脱肛。祛风通络，强筋健骨。用于风湿痹痛，脚膝酸软。全年皆可捕捉，冬春两季较多。捕得后剥去皮肉，留下四脚爪上的皮毛和爪，以保持完整，并便于与其他兽类的骨胳区别。再剔净残存筋肉，阴干…,,,
徐长卿,别名寮刁竹、逍遥竹、遥竹逍、瑶山竹、了刁竹、对节莲、竹叶细辛、铜锣草、一枝香、英雄草、鬼督邮、石下长卿、别仙踪、料刁竹、钓鱼竿、一枝箭、料吊、土细辛、九头狮子草、铃柴胡等。,性温，味辛。归胃经、肝经。,有镇静、镇痛作用；另外，徐长卿可减慢正常动物的心率，还有降低血清总胆固醇和β-脂蛋白的作用；除此之外，徐长卿还可以抑菌、抗炎。,主治胃痛、牙痛、风湿疼痛、经期腹痛、慢性气管炎、腹水、水肿、痢疾、肠炎、跌打损伤、湿疹、荨麻疹、毒蛇咬伤…
独一味,别名巴拉努努、吉布孜、麦朵昌巴、哈努巴拉、札江温保、哈吾巴拉、达干木、达折合巴、野秦艽、大巴、打布巴。独一味药性：苦，微寒。有小毒。,"多年生草本。叶呈莲座状，无茎。轮伞花序密集排列成头状或穗状花序;花冠淡紫色、紫红色或粉红褐色。花期7-8月。 
耐寒、耐干旱瘠薄。产西藏大部，常生于海拔3900-5100m的高山碎石滩、河滩地或石质草甸。",无瘀滞及孕妇勿服。,活血化瘀；消肿止痛。主跌打；筋骨疼痛；关节肿痛；痛经；崩漏。对免疫功能的作用，镇痛作用，止血作用，抗菌作用，毒性…
闹羊花,别名：黄杜鹃、三钱三、毛老虎、八厘麻。,花：辛，温；有大毒。归肝经。根：辛，温。有毒。果：苦，温。有大毒。,花：祛风除湿，散瘀定痛。用于风湿痹痛，跌打损伤，皮肤顽癣。外用治癣，煎水含漱治龋齿痛。根：祛风止咳，散瘀止痛。用于风湿痹痛，跌打损伤，神经痛，慢性支气管炎；外用治肛门瘘管，杀灭钉螺。果：搜风止痛，止咳平喘。用于跌打损伤，风湿关节痛。茎、叶：杀蝇蛆，孑孓，钉螺。,治风湿或类风湿性关节炎、腰腿痛、腰间盘突出症、各种神经痛、慢性支气管炎、跌打损伤、疥癣、龋齿疼痛…
两面针,入地金牛、红心刺刁根、红倒钩簕、两背针。,苦、辛，平;有小毒。归肝、胃经。,"行气止痛，活血散瘀，通络祛风。用于跌打损伤，风湿痹痛，胃痛、牙痛，毒蛇咬伤。外用治汤火烫伤。氯化两面针碱是两面针制剂的主要有效成分,具有抗炎、镇痛、抗肿瘤、心血管系统等方面的作用，抗真菌，对钙调素的作用，还有强心、降血压等药理作用。",分布于广东、广西、福建、湖南、云南、台湾。生山野。叶和果皮可提芳香油;种子油供制肥皂用;根、茎、叶入药。能散瘀活络、祛风解毒…
草乌,草乌又名断肠草，具有较强的镇痛作用，用之不当，极易引起中毒。,性热，味辛。,搜风胜湿，散寒止痛，开痰，消肿。,风寒湿痹，中风瘫痪，破伤风，头风，脘腹冷痛。…
八角枫,别名华瓜木、白龙须、木八角、橙木。落叶小乔木或灌木，高4—5m，叶互生，形状不一。主要分布于中国南部广大地区;亚洲东部和东南部亦产，生于山野、灌丛和杂林中，村边路旁也常见。,性寒、药味辛、有毒。,祛风除湿，舒筋活络，散淤止痛。,根和皮药效最好，根名白龙须，茎名白龙条。能祛风除湿、舒筋活络、散瘀止痛，用于风湿痹痛、四肢麻木、跌打损伤;叶用于跌打骨折，外刀伤出血;花用于头风痛及胸腹胀满…
石楠叶,为蔷薇科植物石楠的叶。全年可采收，晒干。别名：石眼树叶、老少年叶、凿树、石纲,本品呈长椭圆形或长倒卵形，长8～16厘米或过之，宽3～6厘米或过之，顶端短尖，基部近圆形或宽楔形，边缘有细密尖锐的锯齿。,：治风湿痹痛，腰膝酸软，阳痿，遗精，头风痛，风疹。治咳嗽痰喘,石楠所含的熊果酸有明显的安定和降温作用，并有镇痛、抗炎及抗癌作用，对革兰氏阳性菌、阴性菌和酵母菌有抑制作用；煎剂对蛙心有兴奋作用；乙醇浸出液能抑制蛙心，收缩兔耳血管，降低犬血压…
松叶,松叶为松科松属的针叶，具有祛风燥湿、杀虫止痒、活血安神的功效。,味苦，性温。,、降低血压、调节血脂、延缓衰老。,抗菌消炎、关节炎、高血压、抵抗力低下、心脑血管病患者等。…
月见草,月见草又叫晚樱草、待霄草、山芝麻，是本世纪发现的最重要的营养药物。,味甘、苦，性温。,有筋骨酸软、活血通络、息风平肝、消肿敛疮的功效。,用于胸痹心痛、中风偏瘫、虚风内动、小儿多动、风湿麻痛、腹痛泄泻、痛经、狐惑、疮疡、湿疹。…
