中药名,药用部位,药材性状,性味归经,功效与作用,临床应用,药理研究,主要成分|化学成分,使用禁忌,药方
['禹余粮'],['氢氧化物类矿物褐铁矿Limonite的矿石。'],['不规则的斜方块状，常呈中空或结实的结核状、钟乳状。表面红棕色、灰棕色或橙黄色，多凹凸不平或附有黄色粉末。有刀削痕。质重而坚硬，不易打碎，断面粗糙，有深棕色与淡棕色相间的层纹。具土气，味淡，嚼之无砂粒感。'],['性微寒，味甘、涩。归胃经、大肠经。'],['涩肠止泻、收敛止血。属收涩药下属分类的敛肺涩肠药。'],['用量10～15克，煎服；外用适量，研末撒于患处或调敷。用治久泻久痢、便血、脱肛、妇女崩漏带下。有实邪者不宜用。'],['生品有明显缩短凝血时间及出血时间作用，而煅品则出现延长凝血时间及出血时间；生品、煅品、醋淬品水煎液均能抑制胃肠蠕动。'],['主含碱式氧化铁及含水的三氧化二铁。有时含铜、铅、锌、钴、镍、金等元素。'],['暴病实邪不宜使用。孕妇慎用。'],['①治冷劳，大肠转泄不止。禹余粮120克(火烧令赤，于米醋内淬，如此七遍后，捣研如面)，乌头30克(冷水浸一宿，去皮、脐，焙干，捣罗为末)。上药相和，用醋煮面糊和为丸，如绿豆大。每服食前，以温水下五丸。(《圣济总录》神效太乙丹)②治老人多滑泄气虚者，久不止：禹余粮120克(盐泥数层封固，炭火煅半日)，白术240克，甘草30克，补骨脂90克，俱用酒拌炒，研为末，和入禹余粮末内。每服9克，早晨参汤或米汤调下。或用饴糖作丸，亦可。(《方脉正宗》)③治妇人带下：白下：禹余粮30克，干姜等分；赤下：禹余粮30克，干姜15克。禹余粮用醋淬，捣研细为末。空心温酒调下6克。(《胜金方》)④治妇人少腹痛，面青或黄或赤或黑，不能喘息：禹余粮，为末。每服6克，米饮调下，日二三服，极效。(《卫生易简方》)⑤治五劳七伤，气胀饱满，黄病四肢无力，女子赤白带，干血劳症，久疟痞块：禹余粮二斤半，好醋八斤，同煮醋干为度。(《秘传大麻疯方》)⑥灭瘢痕：禹余粮、半夏等分。末之，以鸡子黄和。先以新布拭瘢令赤，以涂之，勿见风，日二。(《千金要方》)最近更新时间：2018-07-15']
['钟乳石'],['碳酸盐类矿物方解石族方解石Stalactitum的矿石。'],['石钟乳状集合体，略呈圆锥形或圆柱形。表面白色、灰白色或棕黄色，粗糙，凹凸不平，有瘤状突起，土灰色、灰白色或棕黄色。体重，质坚硬，易砸碎，断面较平整，白色至浅灰白色，对光观察具闪星状的亮光，近中心常有一圆孔，圆孑L周围具多数浅橙黄色同心环层。无臭，味微咸。'],['性温，味甘。归肺经、肾经、胃经。'],['温肺、助阳、平喘、制酸、通乳。属补虚药下属分类的补阳药。'],['用量3~9克，煎服。用治寒痰咳喘、阳虚冷喘、腰酸冷痛、胃痛泛酸、产后乳汁不通。'],['钟乳石在胃中能中和过多的胃酸，至肠道吸收后能增加血中的钙离子，对交感神经有兴奋作用。'],['钟乳石主含碳酸钙。尚含铁、铜、钾、锌、锰等微量元素。'],['阴虚火旺肺热咳嗽者忌服。'],['①治肺气虚，久嗽，皮毛枯槁，唾血腥臭，或喘不已：钟乳粉(煅炼熟)、桑白皮(蜜炙)、麦门冬(去心)、紫苏各1.5克。姜三片，枣一枚。水一钟，煎六分，食后服。(《外科理例》钟乳粉散)②治寒嗽不止：钟乳粉、人参、阿胶(炒)。上三味等分为末。用糯米饮调服。(《叶氏录验方》钟乳散)③治乳汁不通：钟乳石9克，王不留行、天花粉各12克，漏芦、黄芪各15克，水煎服。(《青岛中草药手册》)④治大肠冷滑不止：钟乳粉30克，肉豆蔻(煨)15克。为末，煮枣肉丸梧桐子大。每服七十丸，空心米饮下。(《济生方》)⑤治溃疡病，胃酸过多：钟乳石研细，每服1.8克，每日3次，饭前温开水送服。(《全国中草药汇编》)最近更新时间：2018-07-15']
['炉甘石'],['碳酸盐类矿物方解石族菱锌矿Smithsonite的矿石。'],[],['性平，味甘。归肝经、脾经。'],['解毒、明目退翳、收湿止痒、敛疮。属拔毒生肌药。'],['仅可外用，使用时研成细粉，适量调敷患处或点眼。用治目赤翳障、目缘赤烂、翳膜胬肉、溃疡不敛、脓水淋漓、湿疮、皮肤瘙痒。'],['用于治疗皮肤炎症或表面创伤，既可部分溶解、吸牧创面的分泌液而收敛，又能驱杀局部葡萄球菌和限制其繁殖，有较好的消炎止痛作用。'],['主含碳酸锌，此外尚含有多量的铁、铝、钙、镁、钠、硅，少量的铅、钛、锰等。'],['忌内服。'],['①治目暴赤肿：炉甘石(火煅)、风化硝等分。为末。新水化一粟点之。(《纲目》引《御药院方》)②治诸般翳膜：炉甘石、青矾、朴硝等分。为末。沸汤化开，温洗。日三次。(《纲目》引《宜明论方》)③治风眼流泪烂弦：炉甘石60克，以黄连30克煎水，入童尿半盏，再熬，下朴硝30克，又熬，成，以火煅石，淬七次，洗净，为末，入密陀僧末30克，研匀，收点之。(《纲目》引《卫生易简方》)④治风泪不止：炉甘石(制煅，飞细)3克，海螵蛸1.5克，梅花片少许，共研极细。点出泪窍处。(《审视\u3000瑶函》收泪散)⑤治下疳阴疮：炉甘石(火煅，醋淬五次)30克，孩儿茶9克。为末，麻油调敷。(《纲目》引《通妙真人方》)⑥治阴汗湿痒：炉甘石绿者0.3克，真蚌粉、黄连、五倍子各0.15克。上细末掺，先以蜂房、大腹皮煎汤温洗。(《仁斋直指方论》阴汗湿痒方)⑦治诸疮久不敛：炉甘石(烧)45克，龙骨15克。上为细末，每用干掺患处，上用膏药贴。(《御药院方》平肌散)⑧治口唇干裂破成疮：炉甘石6克(火煅)，文蛤30克，黄柏30克，苍术15克。除炉甘石外，三味同炒赤色。共研细末，入片脑0.9克再研，用蜡油调敷唇上。(《古今医鉴》)最近更新时间：2018-07-15']
['花蕊石'],['变质岩类岩石蛇纹大理岩Ophicalite的石块。'],['粒状或致密块状集合体，呈不规则的块状，具棱角，但不锋利。表面白色或淡灰白色，其中夹有点状或条状的蛇纹石，呈浅绿色或淡黄色，习称“彩晕”，对光观察有闪星样光泽。体重，质硬，不易破碎。气微，味淡。'],['性平，味酸、涩。归肝经。'],['化瘀止血。属止血药下属分类的化瘀止血药。'],['用量4.5～9克，多研末服；外用适量。用治咯血，吐血，外伤出血，跌扑伤痛。'],['尚含含水硅酸镁和少量铁、铝及微量锌、锰、铜、钴、镍、铬、铅等20多种元素。其20%混悬液给小鼠灌胃对回苏灵诱发的惊厥有明显抗惊厥作用;并有凝血和止血作用。'],['主含碳酸钙。'],['凡无瘀滞及孕妇忌服。'],['①治咯血，兼治吐衄，理瘀血，及二便下血：花蕊石(煅存性)9克，三七6克，血余(煅存性)3克。共研细。分两次，开水送服。(《衷中参西录》化血丹)②治金刃箭镞伤中，及打扑伤损，猫狗咬伤，内损血入脏腑，妇人产后败血不尽，血迷血晕，恶血奔心，胎死腹中，胎衣不下：花蕊石(捣为粗末)30克，硫黄(上色明净者，捣为粗末)120克。上二味相拌令匀，固济，瓦罐内煅，取出细研，瓷盒内盛。外伤掺伤处，内损用童便或酒调服3克。(《局方》花蕊石散)③治诸疮出血不止，并久不生肌：花蕊石、龙骨、黄丹、没药各15克，黄药子22.5克，寒水石(煅)45克。上为末。一切金刃伤，以药敷之，绢帛扎定，止痛不作脓，干贴生肌定痛。一方有白及、乳香、轻粉。(《疡科选粹》立应散)④治多年障翳：花蕊石(水飞，焙)、防风、川芎、甘菊花、白附子、牛蒡子各30克，甘草(炙)15克。为末。每服1.5克，腊茶下。(《卫生家宝方》)⑤治脚缝出水：好黄丹入花蕊石末，掺之。(《谈野翁试验方》)⑥治气心风，即是痰迷心窍，发狂乱作：花蕊石(煅)，黄酒淬一次，为末。每服3克，黄酒送下。(《鲁府禁方》)最近更新时间：2018-07-15']
['阳起石'],['硅酸盐类角闪石族矿物透闪石Tremolite及其异种透闪石石棉的矿石。'],['长柱状、针状、纤维状集合体，呈不规则块状、扁长条块状或短柱状，大小不一。灰白色、浅灰白色或淡绿色，常夹有青灰色、白色或与浅黄色夹杂成纵向相间的纹理，具丝绢样光泽。体较重，质较硬脆，有的略疏松。可折断，碎断面不整齐，纵面呈纤维状或细柱状，微具丝样光泽。气无，味淡。'],['性温，味咸。归肾经。'],['温肾壮阳。属补虚药下属分类的补阳药。'],['用量3～5克，煎服，或入丸、散；外用适量，研末调敷。用治肾阳虚衰、腰膝冷痹、男子阳痿遗精、寒疝腹痛、女子宫冷不孕、崩漏，�Y瘕。阴虚火旺者忌用；不宜久服。'],['阳起石所含之矿物质，有能兴奋生殖功能的作用。'],['阳起石主含碱式硅酸镁钙，并含少量锰、铝、钛、铬、镍等杂质。'],['阴虚火旺者禁服，不宜久服。'],['①治劳伤虚损，下经衰竭，肾气不固，精溺遗失，脏腑自利，手足厥冷，或脉理如丝，形肉消脱，或恶闻食气，声嘶失音：阳起石(火煅通红)、附子(炮，去皮脐)、钟乳粉各等分。上为细末，和匀，用糯米糊为丸，如梧桐子大。每服二十丸至三十丸，米饭送下，食前服。忌豉汁、羊血。(《局方》三建丹)②治肾脏虚损，阳气萎弱：阳起石(酒煮半日)30克，白矾灰30克，钟乳粉30克，硫黄30克，龙脑30克，伏火硇砂30克，伏火砒霜15克。上药研如粉，用软粳米饭和为丸，如梧桐子大，每于食前温酒送服十丸，每日两次。(《圣惠方》阳起石丸)③治阴痿，阴汗：阳起石(煅，为末)，每服6克，盐酒下。(《普济方》)④治妇人子脏虚冷，劳伤过度，风寒结搏，久不受胎，遂致绝子不产：阳起石(酒浸半日，细研)60克，吴茱萸(汤洗七遍，焙，微炒)0.9克，熟地黄30克，牛膝(去苗，酒浸，焙)、干姜(炮)、白术各0.9克。上为细末，炼蜜和捣三百杵，丸如梧桐子大。每服二十丸至三十丸，温酒或温米饮下，空心食前，日二服。若觉有妊即住服。(《局方》阳起石丸)⑤治冲任不交，虚寒之极，崩中不止，变生他证：阳起石(火煅红，别研令极细)60克，鹿茸(去毛，醋炙)30克。上为细末，醋煎艾汁，打糯米糊和为丸，如梧桐子大。每服百丸，食前、空心米饮下。(《严氏济生方》阳起石丸)⑥治丹毒：阳起石(烧，研末)，新水调涂肿处。(《儒门事亲》阳起石散)最近更新时间：2018-07-15']
['自然铜'],['硫化物类矿物黄铁矿Pyrite的矿石。'],[' 多呈方块状，大小不一，边长0.2～2.5厘米。表面亮黄色，有金属光泽，有的表面棕褐色，无金属光泽，具棕黑色或墨绿色细条纹及砂眼。立方体相邻晶面上 条纹相互垂直。条痕绿黑色或棕红色。体重，质坚硬或稍脆，易砸碎，断面黄白色，有金属光泽或棕褐色，可见银白色亮星。无臭，无味。'],['性平，味辛。归肝经。'],['散瘀、接骨、止痛。属活血化瘀药下属分类的活血止痛药。'],['用量3～9克，多入丸、散，若煎服，宜先煎；外用适量。用治跌扑肿痛，筋骨折伤。'],['口服含有自然铜的接骨丹，对骨折愈合有促进作用。在地方性甲状腺肿病地区的井水中加入自然铜，可起到预防作用。自然铜在试管中对多种病原性真菌均有不同程度的抗真菌作用。'],['自然铜主含二硫化铁。亦有铜、镍、钡等多种金属混入。'],['阴虚火旺，血虚无瘀者忌服。'],[' ①治打扑伤：自然铜(研极细，水飞过)同当归、没药各1.5克。以酒调频服，仍以干摩痛处。(《本草衍义》)②治跌扑骨折：自然铜(煅通红，醋淬七次，放湿土上月余用)、乳香，没药、当归身、羌活等分。为散，每服6克，醇酒调，日再服。(《张氏医通》自然铜散)③治心痛：自然铜火煅，醋内淬九次，为末。每痛，醋调一字下。(《卫生易简方》)④治项下气瘿：自然铜贮水瓮中，逐日饮食。皆用此水，其瘿自消，或火烧烟气，久久吸之亦可。(《直指方》)⑤治一切恶疮及火烧汤烫：自然铜、密陀僧各30克(并煅研)，甘草、黄柏各60克(并为末)。上四味，一处研细，收密器中，水调涂或干敷。(《圣济总录》自然铜散)⑥治杖疮：自然铜(醋淬七次)15克，乳香、没药各9克，茴香12克，当归15克。上为细末。每服15克，温酒调下。(《证治准绳》乳香散)⑦治暑湿瘫痪，四肢不能动：自然铜(烧红，酒浸一夜)、川乌头(炮)、五灵脂、苍术(酒浸)各30克，当归(酒浸)6克。为末，酒糊丸，梧桐子大。每服七丸，酒下，觉四肢麻木即止。(《纲口》引《陆氏积德堂方》)最近更新时间：2018-07-15']
['朱砂'],['硫化物类矿物辰砂族辰砂Cinnabar的矿石。'],['粒状或块状集合体，呈颗粒状或块片状。鲜红色或暗红色，有的带有铅灰的青色。条痕红色至褐红色，具光泽，触之不染手。体重，片状者质脆，易破碎，粉末状者有闪烁光泽。气微，味无。'],['性微寒，味甘，有毒。归心经。'],['清心镇惊、安神解毒。属安神药下属分类的重镇安神药。'],['0.1～0.5克，多入丸、散，不宜人煎剂，外用适量。用治心悸易惊、失眠多梦、癫痫发狂、小儿惊风、视物昏花、口疮、喉痹、疮疡肿毒。'],['朱砂混悬液小鼠灌胃具有镇静、抗惊厥作用;雌鼠口服朱砂后可抑制生育，且胎儿汞含量高于对照组，故妊娠期应禁服朱砂。'],['朱砂主含硫化汞，并含钙、钡、硅、铅、锌、铜、砷等多种无机元素。'],['不宜大量服用，也不宜少量久服;肝肾功能不全者禁服，入药忌用火煅。'],[' ①治痔瘘疽疮：朱砂(制研)、麝香、当门子(别研)、蛇皮(五月五日熬)。上三味等分研，先以盐汤洗拭干，于疮上敷少许蜜，以散敷之。(《外台》引《广济方》)②治咽喉肿痛，咽物烦闷：丹砂0.3克(研，水飞)，芒硝45克(研)。上二味再同研匀。每用一字，时时吹入喉中。(《圣济总录》丹砂散)③治癫狂、心风、心气不足：朱砂、胆南星各30克，白附子15克。上为细末，猪心血泡蒸饼为丸，梧桐子大。每服十五丸。(《古今医统》神归舍丹)④治小儿鹅口疮：朱砂、白枯矾各15克，牙硝15克。共为细末。搽舌上。(《片玉心书》保命散)⑤治中风口噤，痰厥，不省人事：辰砂、白矾等分，三伏内装入猪胆内，透风处阴干。每服一块，凉水研化灌下。(《万病回春》)⑥治心虚遗精：猪心一个，批片相连，以飞过朱砂末掺入，线缚，白水煮熟食之。(《唐瑶经验方》)⑦治远年风赤眼肿痛：朱砂、青盐、石胆各0.3克。上件药，用醋浆水一小盏，于瓷器中浸，日中曝之，候其药着于瓷器四畔。干刮取如粟米大。夜卧时着眼两眦，不过三四度瘥。(《圣惠方》)⑧治面上粉刺：朱砂30克、麝香、牛黄各15克，雄黄0.9克。上细研令匀，以面脂和为膏。匀敷面上，避风经宿，粉刺自落。(《普济方》红膏)最近更新时间：2018-07-15']
['芒硝'],[],['棱柱状、长方形或不规则结晶，两端不整齐，大小不一。无色透明，表面有直棱，暴露空气中则表面渐风化而覆盖一层白色粉末。具玻璃样光泽。质脆，易碎，条痕白色。断口不整齐。无臭，味苦、咸。'],['性寒，味咸、苦。归胃经、大肠经。'],['泻热通便、润燥软坚、清火消肿。属泻下药下属分类的攻下药。'],['用量6～12克，一般不入煎剂，待汤剂煎得后，溶入汤剂中服用；外用适量。用治实热便秘、大便燥结、积滞腹痛、肠痈肿痛、乳痈、痔疮肿痛。'],['芒硝为渗透性泻下药，口服后在肠中形成高渗盐溶液状态，促使肠道蠕动而致泻。以芒硝为主的方剂有显著的抗炎、抗菌及溶解胆结石作用。'],['芒硝主含含水硫酸钠，并常夹杂微量氯化钠、硫酸钙和硫酸镁等杂质。'],['不宜与三棱同用，孕妇禁用。'],[' ①治眼有翳：芒硝30克。置铜器中，急火上炼之，放冷后，以生绢细罗，点眼角，每夜欲卧时一度点。(《孙真人食忌》)②治乳蛾：芒硝4.5克，胆矾2.4克，雄黄2.4克，明矾2.4克。俱研细，和匀，吹入喉中。(《医学广笔记》)③治皮下瘀血肿，静脉炎，乳腺炎及回乳：取芒硝适量，用凉水搅拌均匀，敷于患处(以能敷满患处，厚度约0.25厘米为宜)，外用白布裹之，药干燥时可掸之以凉水，务使经常保持湿润，每日换药1次。[《中医杂志》1983，(7)：39]④治火丹毒：水调芒硝涂之。(《梅师集验方》)⑤治痔疮肿痛：芒硝30克(或加马齿苋60克)。水煎熏洗。(《全国中草药汇编》)⑥治漆性皮炎：取芒硝20～100克放入容器内，以适量开水冲搅溶化，用干净毛巾浸湿熏洗患部，每日3～4次。[《河南中医》1987，(3)：48]⑦治小儿鹅口：细研芒硝于舌上掺之，日三五度。(《简要济众方》)⑧治小便不通：芒硝3克研细，以龙眼肉包之，细嚼咽下，立愈。(《香祖笔记》)最近更新时间：2018-07-15']
['白矾'],['硫酸盐类明矾石族矿物明矾石Alunite经加工精制而成的结晶。'],['不规则块状或粒状，无色或淡黄白色，透明或半透明。表面略平滑或凹凸不平，具细密纵棱，有玻璃样光泽，常披有白色细粉。质硬而脆，易砸碎，断面显玻璃样光泽。断口不平坦。气微，味酸，微甘而极涩。'],['性寒，味涩、酸。有小毒。归肺经、脾经、肝经、大肠经。'],['祛痰燥湿、解毒杀虫、止血止泻、解毒杀虫、燥湿止痒。属清热药下属分类的清热燥湿药。'],['用量1~3克，研末服，或入丸、散；外用适量，研末撒，或吹喉，或调敷，或化水洗漱。用治痰饮中风、癫痫、喉痹、疥疮湿疮、痈疽肿毒、水火烫伤、口舌生疮、烂弦风眼、耵耳流脓、鼻中息肉、痔疮、崩漏、衄血、外伤出血、久泻久痢、带下阴痒、脱肛、子宫下垂、便血、湿疹、疥癣。'],['白矾具有抑制病原微生物的作用，如抑制革兰阳性菌、革兰阴性菌、真菌;抗阴道滴虫;具有收敛作用。'],['白矾主含含水硫酸铝钾。本品对金黄色葡萄球菌、草绿色链球菌、溶血性链球菌、变异链球菌、肺炎双球菌、脑膜炎双球菌、变形杆菌、大肠杆菌、绿脓杆菌、炭疽杆菌、福氏及志贺氏痢疾杆菌、伤寒杆菌、副伤寒杆菌、白喉杆菌、破伤风杆菌、淋病双球菌等有明显抑制作用，对白色念珠菌、表皮癣菌、毛霉菌等均有一定抑制作用。'],['白矾内服过量易致呕吐，体虚胃弱者慎服。'],['①治疗肿恶疮：白矾(生用)、黄丹各等分。上各另研，临用时各抄少许和匀，三棱针刺疮见血，待血尽上药，膏药盖之。(《卫生宝鉴》二仙散)②治癫狂因忧郁而得，痰涎阻塞包络心窍者：白矾90克，川郁金210克。二药共为末，糊丸梧桐子大。每服五六十丸，温汤下。(《本事方》白金丸)③治急喉痹：白矾9克，巴豆二个(去壳，作六瓣)。将矾于铫内，慢火熬化为水，置巴豆其内，候干，去巴豆。取矾研为末。每用少许吹入喉中。(《玉机微义》白矾散)④治湿疹、皮炎(亚急性期)：五月艾、百部、明矶、毛麝香各15克，煎水外洗。(《中药临床应用》五百明洗剂)⑤治黄水疮：枯白矾、熟松香、黄丹，三味等分，研极细末，真芝麻油调涂患处。(《本草原始》)⑥治小儿因剪脐，伤外风，致脐疮久不干：白矾(煅)、龙骨(煅)等分。上研为细末敷之，少少用。如无两味，但得一味亦可。(《小儿卫生总微论方》)⑦治小儿耳疮及头疮，口边肥疮，蜗疮：白矾(烧灰)30克，蛇床子30克。上药同细研为散，干掺于疮上。(《圣惠方》白矾散)⑧治粉刺：枯矾30克，生硫黄6克，白附子6克。上共为末，唾津调搽，临晚上药，次早洗去。(《万病回春》)最近更新时间：2018-07-15']
['石膏'],['硫酸盐类矿物硬石膏族石膏Gypsum的矿石。'],['长块状或不规则块状，大小不一。全体类白色，常有夹层，内藏有青灰色或灰黄色片状杂质。体重，质软，易纵向断裂；断面具纤维状纹理，并显绢丝样光泽。气无，味淡。'],['性大寒，味甘、辛。归肺经、胃经。'],['清热降火、除烦止渴。属清热药下属分类的清热泻火药。'],['用量15～60克，先煎。用治外感热病、高热烦渴、肺热喘咳、胃火亢盛、头痛、牙痛。'],['石膏具有解热、解渴的作用，有调节免疫系统的作用;可抑制旺盛内热所致垂体、肾上腺、颌下腺、前列腺、胰腺、睾丸功能亢进;使脾和胸腺功能亢进。小剂量使股动脉血流量一时性减少，对呼吸、血压无明显影响;大剂量则呼吸抑制，血压下降，减少冠状动脉血流量;对离体小肠和子宫，小剂量使振幅加大，大剂量则紧张性降低，振幅减少;缩短凝血时间，抑制胆汁排泄。'],['石膏主含含水硫酸钙，尚夹有黏土、有机物和硫化物等杂质。另含微量铁及镁。'],['脾胃虚寒及血虚、阴虚发热者忌服。'],['①治小儿身热不除：石膏30克，青黛3克。上为末，用糕糊为丸，如圆眼核大。每服一丸，用灯心汤化开。(《普济方》青丸子)②治小儿喘嗽：用石膏火内飞过为末，蜜调1.5克服。(《卫生易简方》)③治痰热而喘，痰涌如泉：寒水石、石膏各等分。上为细末。煎人参汤，调下9克，食后服。(《保命集》双玉散)④治流行性腮腺炎：生石膏、黄柏各等量。研粉，用水或醋调成糊状，摊于纱布上，厚约0.5厘米。敷于患处，每日1～2次。[《陕西新医药》1977，(5)：35]⑤治小儿伤热吐泻黄色：石膏、寒水石各15克，甘草(生)3克。上同为末。每服1.5克，食后温汤调下。(《小儿药证直诀》玉露散)⑥治胃热牙龈浮，肾热齿蛀，肿胀疼痛：石膏30克，细辛9克。煎汤含漱，其痛自瘥。(《医级》二辛煎)⑦治头痛：川芎、石膏、白芷各等分，上为细末。每服12克，热茶清调下。(《赤水玄珠》石膏散)⑧治湿疹：煅石膏60克，白及30克，密陀僧21克，轻粉15克，枯矾9克。共研极细末，用香油或凡士林调成50%软膏涂患处。如有脓水渗出者，可用药粉干撒，每日3～5次。用药时忌用温水或肥皂水洗涤。(《全国中草药汇编》)最近更新时间：2018-07-15']
['紫河车'],[],['圆形或碟状椭圆形，直径9～15厘米，厚薄不一。黄色或黄棕色，一面凹凸不平，有不规则沟纹；另一面较平滑，常附有残余的脐带，其四周散布细血管。质硬脆，有腥气。'],['性温，味甘、咸。归心经、肺经、肾经。'],['温肾补精、养血益气。属补虚药下属分类的补气药。'],['用量2～3克，研末吞服，或入丸剂。用治虚劳赢瘦、骨蒸盗汗、咳嗽气喘、食少气短、阳痿遗精、不孕少乳。'],['紫河车有雌激素和孕激素样作用、抗感染，还可增强抵抗力、促进凝血。其煎液灌胃，可提高小鼠T淋巴细胞比率、淋巴细胞数量及胸腺指数，使胸腺髓质区域扩大，导致胸腺退化;还能对抗强的松引起的免疫抑制作用。'],['紫河车含蛋白质、多肽、磷脂等。还含有多种由胎盘合成的激素：促性腺激素A、促性腺激素B、催乳激素、促甲状腺激素、催产素样物质，多种甾体激素和雌酮、雌二醇、雌三醇、孕甾酮、四氢皮质甾酮、皮质醇、皮质酮、雄甾酮、人绒毛膜促性腺激素、促肾上腺皮质激素等，以及胎盘乳原、多种氨基酸、酶类、含氮多糖体等。'],['脾虚湿困食少者慎服，表邪未解及内有实邪者禁服。'],['①治劳瘵虚损，骨蒸等症：紫河车(洗净，杵烂)一具，白茯苓15克，人参30克，干山药60克。上为末，面糊和入紫河车，加三味，丸梧桐子大。每服三五十丸，空心米饮下。嗽甚，五味子汤下。(《妇人良方》河车丸)②治老人久病喘息，咳嗽，吐少量清稀痰，动则喘甚，张口抬肩，心悸少寐，虚赢消瘦，舌淡，两寸尺脉弱：胎盘(取新鲜者，清水漂净污血，切块)一具，杏仁(去皮、尖)15克，百合(渍一宿，当白沫出，去其水)30克，胡桃仁(净者)30克。上四味。加水四碗，熟炖至两碗入盐酱等调味品，分两次食之，早、晚各服一次。(《养老奉亲书》炖胎盘方)③治久癫失志，气虚血弱：紫河车洗净，烂煮食之。(《纲目》引《刘氏经验方》)④治乳汁不足：紫河车一个，去膜洗净，慢火炒焦，研末，每日晚饭后服1.5～3克。(《吉林中草药》)⑤治目赤及翳：紫河车暴干，烧末，敷目眦中。(《千金要方》)最近更新时间：2018-07-15']
['麝香'],['鹿科动物林麝Moschus berezovskii Flerov、马麝Moschus sifanicus Przewalski或原麝Moschus mlschiferus Linnaeus成熟雄体香囊中的干燥分泌物。'],['毛壳麝香呈类球形或扁球形。开口面的皮革质，棕褐色，密生白或灰棕色短毛，从两侧围绕中心囊孔排列。另一面为棕褐色略带紫色皮膜。剖开内含颗粒状、粉末状麝香仁。麝香仁呈颗粒状者称“当门子”，紫黑色，油润光亮。气香浓烈而特异，味微辣、微苦带咸。'],['性温，味辛。归心经、脾经。'],['开窍醒神、活血通经、消肿止痛。属开窍药。'],['用量0.03～0.1克，多入丸、散，外用适量。用治热病神昏、中风痰厥、气郁暴厥、中恶昏迷、经闭、�Y瘕、难产死胎、心腹暴痛、痈肿瘰疬、咽喉肿痛、跌扑损伤、痹痛麻木。'],['麝香有兴奋中枢神经和苏醒作用，可兴奋呼吸、加速心搏、升高血压;能增加肾上腺素对受体的作用，并有对儿茶酚胺的增加作用;对大鼠、家兔、豚鼠的妊娠离体子宫均呈明显兴奋作用，而对非妊娠离体子宫多呈抑制作用;此外，还有强心、抗炎及抑制血管通透性等作用。'],['麝香含麝香酮，并含麝吡啶、11种雄甾烷衍生物，尚含胆甾醇类、脂肪、蛋白质、蜡及无机盐。'],['虚脱证禁用。本品无论内服或外用均能堕胎，故孕妇禁用。'],['①治中风不醒：麝香6克，研末，入清油60克，和匀灌之。(《济生方》)②治痰迷心窍：麝香0.3克，月石、牙皂、明矾、雄精各3克。上共研匀，密贮，每服1.5克。(《疡科遗编》)③治胸痹：麝香(研)30克，牛黄(研)15克，犀角(镑)0.3克。上三味，捣研为散。每服6克，温酒调下，空心，日午临卧各一。(《圣济总录》麝香散)④治跌打气闭：牙皂、北细辛、冰片、麝香等分。为末，吹鼻。(《医钞类编》吹药方)⑤治闪气伤胁肋疼痛：麝香6克，雄黄1.5克。共为细末，入药瓶内。每遇闪气者，将药点在眼潭内。(《伤科补要》闪气散)⑥治牙痛：麝香大豆许，巴豆1粒，细辛末15克。上药同研令细，以枣瓤和丸，如粟米大。以新绵裹一丸，于痛处咬之，有涎即吐出，有蛀孔即纳一丸。(《圣惠方》麝香丸)最近更新时间：2018-07-15']
['鳖甲'],['鳖科动物鳖Trionyx sinensis Weigmann的背甲。'],['椭圆形或卵圆形，背面隆起。外表面黑褐色或墨绿色，有细网纹及灰白色斑点，中间有1条纵棱，两侧各有左右对称的横凹纹8条，外皮脱落后，可见锯齿状嵌接缝。内表面类白色，中间有一条脊椎，两侧各有肋骨8条伸出边缘。质坚硬。气微腥，味微咸。'],['性微寒，味咸。归肝经、肾经。'],['滋阴潜阳、软坚散结、退热除蒸。属补虚药下属分类的补阴药。'],['用量9～24克，捣碎先煎；外用适量，研末撒或调敷。用治阴虚发热、劳热骨蒸、虚风内动、经闭，�Y瘕。'],['鳖甲有补血、抗肝纤维化、抗癌作用，并可增强实验动物免疫力。'],['鳖甲含动物胶、角蛋白、骨胶原以及维生素D等。尚含17种人体必需氨基酸及碳酸钙、磷酸钙等。'],['脾胃虚寒、食少便溏及孕妇禁服。'],['①治久患咳嗽肺虚成劳瘵，及吐血，咯血等证：鳖甲(醋炙)、阿胶(炒)各30克，鹿角霜10克，甘草15克。上为末。每服9克，水一盏，韭白一茎长三寸，煎八分，食后服。(《古今医统》)②治久患劳疟瘴等：鳖甲90克，酥炙令黄，为末。临发时温酒调下6克。(《圣惠方》)③治癖病：鳖甲、诃黎勒皮、干姜等分。研末为丸。空心下三十丸，再服。(《药性论》)④治小儿痫：鳖甲炙令黄，捣为末。取3克，乳服。亦可蜜丸如小豆大服。(《子母秘录》)⑤治慢性肝炎，肝脾肿大，转氨酶偏高：鳖甲30克，丹参、垂盆草各15克，鳖甲先煎60分钟，后下其他药，煎水服。每日服1剂，每剂药煎2次，上午、下午各服1次。(《补益药治病与健身》最近更新时间：2018-07-15']
