名称,简介,药性,功效,适应症
火龙果皮,火龙果皮是火龙果的红色外皮，花青素含量较高。,性凉，味甘、酸。,富含花青素，能够增强血管弹性，保护动脉血管内壁，降低血压。,酸味适中、醇厚清甜，而且具有通血管和通肠道的功效，适合糖尿病患者食用。…
黑玛瑙,黑玛瑙是自然界中非常常见的一种玛瑙，也是一种胶体矿物，在矿物学中，它属于玉髓类。,味辛，性寒，无毒。,可改善内分泌，加强血液循环，让气色变好，消除性方面的障碍，避免性无能与不孕产生。,预防便秘，帮助排出毒素，对肝病、风湿、神经痛、静脉曲张等都有舒缓的功用。…
茅草根,,味甘，性寒,凉血，止血，清热，利尿。,热病烦渴，吐血，衄血，肺热喘急，胃热哕逆，淋病，小便不利，水肿，黄疸。…
三叶青,三叶青，正名：三叶崖爬藤，全草均可入药，以地下块根和果实的药用效果最好。,性平、味微苦。,具有清热解毒、理气散结、祛风化痰、活血止痛等功效。,主治毒蛇咬伤、扁桃体炎、淋巴结结核、跌打损伤、小儿高热惊厥等疾病。…
辣木籽,,辣木籽是一种极限植物之母，是原产于自然条件极其恶劣的非洲辣木树的种子。,辛、微温、无毒。,降低血糖、改善睡眠、清肠及促进新陈代谢功能。
一口钟,一口钟是一种药用植物，是我国传统民间中草药，以全草入药，但临床多用其果实。,味辛、苦，性微温，小毒。,具有补脾健胃、降脂降压、舒筋活血、通络利湿等功效。,主治胃酸、胃寒、胃抽搐、胃部胀痛、消化不良引起的各种胃痛、胃粘膜受损、胃溃疡等。
雪莲菌,雪莲菌又称藏灵菇 ，是产自西藏林芝地区的一种天然酸奶发酵菌。,味甘酸，性平。,有降低胆固醇、调整血压、防止癌细胞的扩散，调整身体、消除疲劳的功效。,适用于阴虚内热引起的上火、形体消瘦、下肢肥胖症、皮肤枯燥无光、顽固痤疮等。…
阴沉木,阴沉木又称乌龙木、乌木、沉木、东方神木等，系古时沉于水土之中的木材。,味甘、咸，性平，无毒。,解毒，亦治霍乱吐利，祛风除湿。,痛风石、痛风、痛风性关节炎、痛风结节。…
黄花梨,黄花梨为豆科植物，药用部分称为花梨格或降香木，主要指其树干和根部的心材部分。,味辛，性温。,有着舒筋活血、降血压、降血脂、止咳镇痛的药理的功效。,主治风湿、腰痛、吐血、心胃气痛、高血压等症。…
千日红,别名百日红、火球花，花色艳丽有光泽，花干后而不凋，经久不变，所以得名千日红。,性平，味甘。,：止咳祛痰、定喘、平肝明目。,：支气管哮喘，急、慢性支气管炎，百日咳，肺结核咯血等症。…
蓖麻子,有消肿拔毒，泻下通滞的作用，用于痈疽肿毒，喉痹，大便燥结等症状。,味甘辛，性平，有毒。,消肿拔毒;泻下导滞;通络利窍。,用于痈疽肿毒、喉痹、瘰疬、大便燥结。…
冬凌草,冬凌草又名冰凌草，具有消炎止痛、健胃活血之效。,味苦、甘，性微寒。,清热毒、活血止痛、抑菌、抗肿瘤,咽喉肿痛、扁桃体炎、感冒头痛、气管炎、慢性肝炎、关节风湿痛、蛇虫咬伤。…
白桦茸,白桦茸，别名桦褐孔菌，是一种生长于白桦树上的药用真菌。,性温，味微苦。,对多种肿瘤细胞有明显的抑制作用，可以防止癌细胞转移、复发，增强免疫能力。,对肝炎、胃炎、十二指肠溃疡、肾炎有明显的治疗作用。并对呕吐、腹泻、胃肠功能紊乱有治疗作用。…
灰树花,灰树花俗称“舞菇”，是食、药兼用蕈菌，夏秋间常野生于栗树周围。,味甘，性平，无毒。,能预防贫血、坏血病、白癜风，防止动脉硬化和脑血栓的发生。,适用于癌症、免疫力低下、肝病、糖尿病、高血压、动脉硬化、脑血栓、肥胖、水肿、脚气病、小便不利等症。…
崖柏,崖柏为乔木或灌木，常成金字塔状，具薄的鳞片状外树皮和纤维状内树皮。,味苦、涩;性寒。,净化空气、杀灭细菌和病毒，具有抗炎消肿。,：主血热妄行之吐血;衄血;便血;尿血;崩漏;痢疾;慢性支气管炎;百日咳。…
当参,当参，桔梗科多年生草本，桔梗主要生长在我国的南部地区，根圆柱形，内有菊花心。,味微甜，性温。,有使红细胞增加，升高血糖，促进凝血，降低血压，提高免疫机能的作用。,多用于脾胃虚弱、胃呆纳少、倦怠无力、久病体虚、泄泻及烦渴贪 饮等症。…
甜叶菊,甜叶菊为菊科、甜叶菊属多年生草本植物。原产于南美巴拉圭和马西交界的高山草地。,味甘，性凉。,具有软化血管、镇痛、减肥养颜、养阴生津、帮助消化，促进胰腺、脾胃功能。,用于消渴、糖尿病、高血压及肥胖症。…
蛤蟆草,蛤蟆草，中药名。为紫草科植物斑种草。分布于辽宁、甘肃、河南、江苏等地。,味微苦，性凉。,具有利湿消肿，解毒止痒之功效。常用于湿疹，痔疮，肛门肿痛。,治咳血，吐血，尿血，崩漏，腹水，白浊，咽喉肿痛，痈肿，痔疮。…
灸甘草,：炙甘草，系豆科植物，是用蜜烘制的甘草。表面红棕色或灰棕色，微有光泽，切面黄色至深黄色。,味甘，性平。,具有补脾和胃，益气复脉的功效。,适用于脾胃虚弱、倦怠乏力、心动悸、脉结代等症。…
白花菜,白花菜一年生直立分枝草本。无刺。种子碾粉功似芥末，供药用。全草入药。,味苦辛，性温，微毒。,具有祛风散寒，活血止痛，解毒消肿的功效。,用于风湿关节痛、跌打损伤、痔疮、带下病、疟疾、痢疾。…
红姑娘,红姑娘学名酸浆、挂金灯、灯笼草等，以果实供食用。原产于中国，南北均有野生资源分布。,味酸、苦，性寒。,能清热解毒、利咽化痰，还可降暑明目。,治上气咳嗽风热、明目、付小儿内辟、咽喉肿痛、嗓子发炎等多种疾病。…
山芋,山芋，又称地瓜、红薯、番薯、红苕等，为旋花科一年生植物，是一种药食兼用的健康食品。,味甘，性平。,有补中和血、益气生津、宽肠胃、通便秘的功效。,主治脾虚水肿、疮疡肿毒、肠燥便秘。…
核桃分心木,分心木，中药名。为胡桃科植物胡桃果核内的木质隔膜。我国南北各地均有栽培。,味苦、涩，性平。,具有涩精缩尿，止血止带，止泻痢之功效。,用于遗精滑泄，尿频遗尿，崩漏，带下，泄泻，痢疾。…
千斤拔,千斤拔，别称：蔓千斤拔、吊马桩、吊马墩等。在中国云南、四川、贵州、湖北等地分布。,味甘、涩，性平。,有祛风除湿、舒筋活络、强筋壮骨、消炎止痛等作用。,治风湿骨痛、腰肌劳损、偏瘫，及慢性气管炎、乳腺炎、小儿麻痹后遗症、毒蛇咬伤等症。…
金虫草,金虫草也叫蛹虫草、蛹草或虫草子实体等。主要的化学成分药理，药效与野生冬虫夏草极为相似。,味甘，性温。,具有降血糖、抗肿瘤、降血脂，增强免疫力，增强性功能、防止衰老、延年益寿的功效。,治咳嗽、气喘、肺气虚、肺气肿、矽肺、尘肺、烟肺、自汗盗汗、腰膝酸软、头昏头晕等症。…
麸炒枳壳,麸炒枳壳为芸香科植物酸橙及其栽培变种的干燥未成熟果实。,味苦、辛、酸，性温。,有健脾开胃、调五脏、下气、止呕逆、消痰的功效。,用于胸胁气滞、胀满疼痛、食积不化、痰饮内停、胃下垂、脱肛、子官脱垂等症。…
苦碟子,苦碟子别名苦菜、小苦麦菜，生于山地及荒野，为田间杂草。分布于中国北部、东部和南部。,味苦、辛，性平。,具有清热解毒、消肿排脓、凉血止血的功效。,主治肠痈、肺脓疡、肺热咳嗽、肠炎、痢疾、胆囊炎、盆腔炎、疮疖肿毒、跌打捞员伤等症。…
葛根,为豆科植物野葛，其味甘凉可口,性凉，味甘、辛。入脾、胃经。,解表退热，生津，透疹，升阳止泻。用于外感发热头痛、高血压颈项强痛、口渴、消渴、麻疹不透、热痢、泄泻。对高血压、高血脂、高血糖和心脑血管疾病有一定疗效。,老少皆宜：高血压、高血脂、高血糖及偏头痛等心脑血管病患者、更年期妇女、易上火人群(包括孕妇和婴儿)、常期饮酒者、女性滋容养颜，中老年人日常饮食调理等…
灯盏花,灯盏花是菊科植物短葶飞蓬的干燥全草，又名灯盏细辛、东菊，主要分布于我国西南地区。,性寒，味微苦。,具有微寒解毒、祛风除湿、活血化瘀、通经活络、消炎止痛的功效。,主要用于心脑血管系统疾病外，在糖尿病、肾病、颈性眩晕、老年性疾病的治疗上也有较好的疗效。…
野西瓜,野西瓜又叫老鼠瓜、勾刺槌果藤、抗旱草。为锦葵种植物野西瓜苗的根或全草。,味甘，性寒。,有清热解毒、祛风除湿、止咳、利尿的作用。,用于风湿痹痛、感冒咳嗽、泄泻痢疾，还用于治疗水火烫伤、疮毒。…
猕猴桃,也称奇异果，狐狸桃、藤梨、羊桃、木子、毛木果、麻藤果、杨汤梨等。,果：酸、甘，寒;根、根皮：苦、涩，寒。,猕猴桃含有丰富的矿物质，包括丰富的钙、磷、铁，还含有胡萝卜素和多种维生素，对保持人体健康具有重要的作用。果：调中理气，生津润燥，解热除烦。可生食，或去皮后和蜂蜜煎汤服。根、根皮：清热解毒，活血消肿，祛风利湿。,果：用于消化不良，食欲不振，呕吐，烧烫伤;根、根皮：用于风湿性关节炎，跌打损伤，丝虫病，肝炎，痢疾，淋巴结结核，痈疖肿毒，癌症…
一口盅,一口盅，又有名为：金钟菩提，是蓝桉的干燥成熟果实，为中国传统民间中草药。,味微苦，性平。,具有补脾健胃、降脂降压、通络祛风利湿等功效。,治疗上呼吸道感染、咽喉炎、支气管炎、肺炎;外用治疗烧烫伤、蜂窝组织炎。…
百香果,又名鸡蛋果，是西番莲科西番莲属的草质藤本植物，长约6米；茎具细条纹，无毛。,性温，味苦，无毒。,除风；除湿；活血；止痛。主感冒头痛；鼻塞流涕；风湿关节痛；痛经；神经痛；失眼；下痢；骨折。消化系统疾病患者慎服。,食用可以增加胃部饱腹感，减少余热量的摄入，还可以吸附胆固醇和胆汁之类有机分子，抑制人体对脂肪的吸收。长期食用有利于降低体内脂肪，塑造健康优美体态…
腊梅花,腊梅花，亦称蜡梅，一名黄梅。因花色似蜡，又值农历腊月开放，故而得名。,味甘、微苦，性凉，小毒。,具有解暑生津，理气止痛，顺气止咳，散寒解毒的功效。,可治疗心烦口渴、气郁胸闷，跌打、腰痛、风湿麻木、风寒感冒，刀伤出血等症。…
柠檬,柠檬是一种富含维生素C的营养水果，一般人都将之作为美容食品。,酸。,经常喝柠檬水有抗衰老的作用；喝柠檬水还可以起到预防心血管疾病的作用；柠檬水具有能缓解钙离子促进血液凝固的作用；喝柠檬水具有清新口气的功效；经常喝柠檬水还具有开胃消食、生津止渴的功效。,牙科医师表示，民众如果想喝柠檬水减肥，切记多刷牙，免得柠檬汁酸性物质残留在牙齿，到时候变成全口蛀牙，可得不偿失。柠檬水属酸性，不宜多喝…
松针,：为松科松属植物中的西伯利亚红松、黑松、油松、红松、华山松、云南松、思茅松、马尾松等的针叶。,：苦、涩，温。,：祛风活血，明目，安神，解毒，止痒。,：用于流行性感冒，风湿关节痛，跌打肿痛，夜盲症，高血压病，神经衰弱;外用治冻疮。…
参麦,参麦益气固脱，养阴生津，生脉。,味甘，性凉。,提高肿瘤病人的免疫功能、减少化疗药物所引起的毒副反应,气阴两虚型之休克、冠心病、病毒性心肌炎、慢性肺心病、粒细胞减少症。…
黑枸杞,黑果枸杞，茄科、枸杞属多棘刺灌木。,性平味甘，入肝、肾经。,用于治疗心热病、心脏病、降低胆固醇、兴奋大脑神经、增强免疫功能、防治癌症、抗衰老、美容养颜、月经不调、停经等且药效显著。民间作滋补强壮补肾，降压药用。,黑枸杞含蛋白质、枸杞多糖、氨基酸、维生素、矿物质、微量元素等多种营养成分，比一般红枸杞更珍贵更有药用价值，黑枸杞最适合吃的是体质虚弱、抗衰老和抵抗力差的人…
阿胶浆,阿胶浆是以传统配方，以阿胶、山楂为主要原料，经科学配料、合理加工而出的产品。,味甘，性平。,能够补血养颜滋阴调经，改善睡眠，提高免疫力，增强肌肤弹性，有效改善黑眼圈、更年期症状。,用于气血两虚，头晕目眩，心悸失眠，食欲不振及白细胞减少症和贫血。…
车厘子,"车厘子就是英语单词cherry(樱桃)的音译，它在广东及香港被直译做""车厘子""又名楔荆桃、含桃、朱樱、乐桃、表桃、梅桃、荆桃、崖蜜等。",性温、味甜。,抗贫血、防治麻疹、祛风胜湿、杀虫、收涩止痛、养颜驻容、美白祛斑。,果实营养丰富，含铁量高，具有促进血红蛋白再生，对贫血患者有一定的补益作用。经常食用还能防癌，特别是那些因工作紧张而神经衰弱的人士…
草珊瑚,草珊瑚，俗称满山香、接骨木等。其形态秀丽、四季馨香，具有极高的药用、食用及观赏价值。,味辛，性平。,能清热解毒、祛风活血、消肿止痛、抗菌消炎。,主治流行性感冒、流行性乙型脑炎、肺炎、阑尾炎、盆腔炎、跌打损伤、风湿关节痛、闭经、创口感染、菌痢等。…
逍遥丸,妇科疾病常用的中成药。,本品为黄棕色至棕色的水丸，或为黑棕色的水丸;味甜。,疏肝健脾，养血调经。用于肝郁脾虚所致的郁闷不舒、胸胁胀痛、头晕目眩、食欲减退、月经不调。,1.忌生冷及油腻难消化的食物。2.服药期间要保持情绪乐观。3.有高血压、心脏病、肝病、糖尿病、肾病等慢性病严重者应在医师指导下服用。4.服药3天症状无缓解，应去医院就诊。5.对本品过敏者禁用，过敏体质者慎用。本品性状发生改变时禁止使用…
炮山甲,炮山甲为鲮鲤科动物鲮鲤的鳞片，经炮制而成。,味咸，性微寒。,具有活血散结、通经下乳、消痈溃坚的功效。,用于血瘀经闭、症瘕、风湿痹痛、乳汁不下、痈肿、瘰疬等症。…
乌鸡白凤丸,中成药名。,本品为黑褐色至黑色的水蜜丸、小蜜丸或大蜜丸;味甜、微苦。,方中主药乌鸡性味甘平，主阴虚发热，虚劳羸弱;鹿角胶性味干咸，善助阴中之阳;人参、黄芪、山药性味甘温而平，重在益气健脾;当归、白芍、熟地黄、川芎(即四物汤)补血养血活血;麦冬、生地、制鳖甲、银柴胡、丹参性味甘咸寒，有滋阴退热，清凉散瘀之效;鹿角霜、桑螵蛸、煅牡蛎、芡实性味咸甘平，既能宁神定志，又能收敛。,补气养血，调经止带。用于气血两虚，身体瘦弱，腰膝酸软，月经不调，崩漏带下…
荞麦面,荞麦面由荞麦制成，由于营养丰富，食用方便快捷，是陕北地区受欢迎的大众食品。,味甘，性寒。,具有降低血脂和血清胆固醇的作用，对高血压和心脏病有重要的防治作用。,适宜于腹泻、小便浑浊、食欲不振、肠胃积滞、慢性泄泻及有出黄汗和夏季痧症、糖尿病。…
红糖姜水,由红糖、姜为主要食材做成的一道菜品，属于家常饮品,1.老姜切片;2.将老姜冷水下锅，慢慢熬;3.加入几块红糖，喜欢甜的可以多放几块，加红糖就是为了减轻姜的辣味;4.姜水熬的有点变黄了就放红糖;5.大功告成。,对妇女月经顺畅有帮助，可让身体温暖，增加能量，活络气血，加快血液循环，月经也会排得较为顺畅。除了饮用，红糖水也能外敷，同样具有排毒滋润的功效。红糖水也可以加入白木耳、枸杞、红枣或是红豆一起煮，有利水利尿的功效。,一般人群均可。尤适宜月经不调、产后妇女;年老体弱、大病初愈者…
山参,山参是在野生环境自然生长的人参，分布于辽宁东部、吉林东半部和黑龙江东部。,味甘、微苦，性平。,生津止渴、生精壮阳、生血补血、养颜美容、醒神开窍、宁神异智、提高大脑思维能力。,适用于调整血压、恢复心脏功能、神经衰弱及身体虚弱等症。
岩白菜,岩白菜，又名：呆白菜、矮白菜、岩壁菜，虎耳草科，岩白菜属草本植物。,性平，味甘。,有祛痰镇咳、收敛止血、止泻、舒筋活络的效果。,治肝脾虚弱，劳伤吐血，内伤咯血，肺病咳喘，妇女白带及男子淋浊。…
燕麦片,是燕麦粒轧制而成，呈扁平状，直径约相当于黄豆粒，形状完整。,新鲜的麦片可放入密封袋内，置于阴凉干燥处保存即可。如果是开封了的燕麦片，需要连同包装放入密封容器内，盖上容器盖，再置于通风、干燥处保存即可。,燕麦可以有效地降低人体中的胆固醇，经常食用，对心脑血管病起到一定的预防作用。经常食用燕麦对糖尿病患者也有非常好的降糖、减肥的功效。燕麦粥有通大便的作用，很多老年人大便干，容易导致脑血管意外，燕麦能解便秘之忧。,一般人群均可食用。尤适宜便秘、糖尿病、脂肪肝、高血压、高血脂、动脉硬化患者…
羊蛋,通常指羊的睾丸，通常从宰杀的公羊体中取得，或骟掉的公羊生殖器的一部分。,味甘、咸，性温。,它有很高的食疗价值，具有滋补壮阳，补肾益气，强身壮体的效果。,适用于治疗肾虚腰膝冷痛、阳痿遗尿、尿频，同时为抗病强身、延年益寿的理想补品。…
鱼肝油,狭义的鱼肝油由海鱼类肝脏炼制的油脂。广义的鱼肝油还包括鲸、海豹等海兽的肝油。,鱼肝油常用来防治维生素A和维生素D缺乏症。也可促进新陈代谢，提升免疫力，抗辐射抗癌，清理血管，促进脂肪代谢。,鱼肝油是防止和治疗人软骨病、夜盲症、眼干燥症、肺结核和儿童期不可缺少的物质。同时，鱼肝油中还含有一定数量的维生素D1和一定量的维生素B1、B2。在日常生活中，适当地吃鱼肝油对人的身体有好处。,尤适宜孕产妇、幼儿、儿童、少晒太阳者、过敏性鼻炎患者…
淮山,淮山又名淮山药，为薯蓣科多年生草本植物薯蓣的块根。分布于河南、福建、山东、河北等地。,味甘，性平。,有益气养阴、补脾肺肾、固精止带的功效。,用于脾虚食少、久泻不止、肺虚喘咳、肾虚遗精、带下、尿频、虚热消渴。…
谷维素,系阿魏酸与植物甾醇的结合酯类，可从米糠油，胚芽油等谷物油脂中提取。,白色或微黄色粉末，无臭，难溶于水，能溶于乙醇，氯仿等。,主要作用于间脑的植物神经系统与分泌中枢，从而改善和调节植物神经功能失调、内分泌平衡障碍及精神失调等症状，此外还具有抗氧化、抗衰老等多种生理作用。,一般用于周期性精神病、妇女更年期综合征、月经前期紧张症、脑震荡后遗症、血管性头痛、植物神经功能失调及各种神经官能症等…
雪燕,雪燕为珍贵的植物木髓分泌物，因泡发后晶莹剔透与燕窝较像，故取名雪燕。,味甘苦，性平，无毒。,具有减肥排脂、补水保湿、紧实肌肤、润肠通便、增强免疫、抑制癌症、促进儿童大脑发育等功效。,适用于肌肤干燥、便秘、癌症、免疫力低下等症。…
蓝莓,起源于北美，因果实呈蓝色，故称为蓝莓。,果实中含有丰富的营养成分，具有防止脑神经老化、保护视力、强心、抗癌、软化血管、增强人机体免疫等功能，营养成分高。富含花青素，具有活化视网膜功效，可以强化视力，防止眼球疲劳。,主能有效降低胆固醇，防止动脉粥样硬化，促进心血管健康;有增强心脏功能、预防癌症和心脏病的功效，能防止脑神经衰老、增强脑力;可以强化视力，减轻眼球疲劳。此外，蓝莓还可以治疗一般的伤风感冒、咽喉疼痛以及腹泻等…,
薏仁米,薏仁米，俗称“薏苡 ”，是薏苡仁的种子，由于它富有营养，因此是老幼皆宜的食品。,性凉，味甘淡。,具有利水渗湿、健脾胃、清肺热、止泄泻、祛风湿、强筋骨、补正气、利肠胃等作用。,适用于皮肤粗糙暗沉、脚气水肿、小便不利、癌瘤初期。…
石榴石,石榴石晶体与石榴籽的形状、颜色十分相似，故名“石榴石”，颜色好净度高的石榴子石可以成为宝石。不同种类的石榴石有很多不同的颜色，包括红、橙、黄、绿、蓝、紫、棕、黑、粉红及透明。,改善血液，恢复体力，再生能力，增添亲和力 。,1、轻拿轻放，避免受到碰撞与摩擦。2、避免高温，避免和酸、碱溶液接触。3、镶嵌类首饰须经常检查，避免宝石脱落。4、做家务或劳动时尽量避免佩戴。5、用温水和软毛刷清洁…,
白瓜子,白瓜子是黑龙江及内蒙古出口的土特产品，片大、仁足、色白。,性平，味甘。,有杀虫和治疗前列腺疾病，以及高性功能，提高性欲的食疗作用。,适宜老人、儿童绦虫病和腹痛胀满等症，对蛲虫病、绦虫病、钩虫病等患者均有明显的效果。…
蛋白粉,一般是采用提纯的大豆蛋白、酪蛋白、乳清蛋白、豌豆蛋白或上述几种蛋白的组合，构成的粉剂，其用途是为缺乏蛋白质的人补充蛋白质。,无色粉末,微溶于水，不溶于乙醇、乙醚及氯仿。,蛋白质摄入过多，不但是一种浪费，而且对人体健康也是有危害的，因为蛋白质在体内的分解产物聚积会影响正常的肝肾功能和免疫力低下，其中动物性蛋白质摄入过多还会诱发心脏病…
白蔻仁,白蔻仁又称白豆蔻，豆蔻。为姜科多年生草本植物白豆蔻的果实。,性味辛，性温。,有理气宽中、燥寒湿、解酒毒、温中止呕、开胃消食之功效。,用于湿阻中焦、不思饮食、湿温初起、胸闷不饥、寒湿呕逆胸腹胀痛、食积不消。…
夏威夷果,别名：昆士兰栗、澳洲胡桃、夏威夷果、昆士兰果，是一种原产于澳洲的树生坚果。,澳洲坚果营养丰富，含油量百分之70，尤其以富含不饱和脂肪酸为特点，以油酸和棕榈酸为主，光壳种澳洲坚果种仁的不饱和脂肪酸与饱和脂肪酸的比值为6.2，粗壳种为4.8；还含有丰富的钙，磷，铁，维生素B1、B2和人体必需的8种氨基酸。,动脉粥样硬化、心血管疾病、糖尿病、肿瘤、癌症、风湿性关节炎、皮肤、抗衰老。,一般人群均可食用…
柏树叶,又名柏木叶、柏叶、香柏叶等，为柏科植物柏木的枝叶。,苦、涩，温。,柏树发出的芳香气体具有清热解毒、燥湿杀虫的作用。,治吐血，血痢，痔疮，烫伤。…
纳豆,纳豆一般指豆豉。豆豉是中国汉族特色发酵豆制品调味料，按加工原料分为黑豆豉和黄豆豉，按口味可分为咸豆豉和淡豆豉。,性平，味咸。归肺、胃经。,具有和胃、除烦、祛寒的功效，并且对减少血中胆固醇、降低血压也有一定帮助。而且豆豉多会入药使用，因炮制不同，功效作用也不同。,豆豉性味平和，诸无所忌。
包菜,包菜学名结球甘蓝，结球甘蓝是十字花科、芸薹属的植物，为甘蓝的变种。,性平，味甘。,可补骨髓、润脏腑、益心力、壮筋骨、利脏器、祛结气、清热止痛。,主治睡眠不佳、多梦易睡、耳目不聪、关节屈伸不利、胃脘疼痛等病症。…
玛卡,主要出产于南美洲安第斯山脉和中国云南丽江，是一种十字花科植物。叶子椭圆，根茎形似小圆萝卜，可食用，是一种纯天然食品，营养成份丰富。,含独有的玛咖酰胺和玛咖烯对平衡人体荷尔蒙分泌有显著的效果。玛咖有抗疲劳，补充体力，改善睡眠，抗更年期，活跃生育，增强记忆等功效。而且玛咖是男女都适用的，对女性的更年期综合症也有很好的调节作用。,改善性功能、养气、提神、改善睡眠、增强大脑营养、提高睡眠、调整血压平衡作用…,
扁桃仁,扁桃仁一般指巴旦木，出产自世界各地、广受欢迎的一种坚果。,味苦甘，性平。,有注肺、解饥、散寒、止咳去痰、驱风、止泻之性能。,治气管炎、哮喘、还可治胃肠炎和酸咸中毒以及高血压、神经衰弱、皮肤过敏、气管炎、小儿佝偻等疾病。…
苦荞茶,,,,
炒菜菔子,炒莱菔子，中药名。为十字花科植物萝的干燥成熟种子经炒制而成。,味辛、甘，性平。,有消食除胀，降气化痰、散风寒、止内痛的功效。,用于饮食停滞、脘腹胀痛、大便秘结、积滞泻痢、痰壅喘咳等症。…
芋头,又称芋、芋艿，通常食用的为小芋头。,性平，味甘、辛，有小毒。,有开胃生津、消炎镇痛、补气益肾等功效。,特别适合身体虚弱者食用，可治少食乏力、胃痛、痕疡结核、久痢便血、痈毒、慢性肾炎等病症，芋头所含的矿物质中，氟的含量较高，具有洁齿防龋、保护牙齿的作用，内含多种微量元素，能增强人体的免疫功能，可作为防治癌瘤的常用药膳主食。在癌症手术或术后放疗、化疗及其康复的过程中，有较好的辅助作用…
虫草,虫草一般指冬虫夏草，是我国民间惯用的一种名贵滋补药材，可入药，也可食用，是上乘的佳肴。,，味甘。,可以增强机体的免疫力，滋补肺肾，对肺癌、肝癌等有明显的抑制作用。,对肺虚久咳、气喘、肺结核咯血、盗汗、肾虚腰膝酸痛、阳痿遗精、神经衰弱及化疗、放疗后的红细胞下降都有疗效。…
慈菇,多年生草本植物。,味甘，性寒。,主治诸多疮肿，小儿丹毒，产后血瘀。,适宜贫血、营养不良性水肿、脚气病、神经炎患者等。…
玫瑰纯露,,又称玫瑰水精油，是将新采摘的玫瑰鲜花，用盐搅拌封住香味后放进蒸馏罐，进行油水分离后制成。,温和、性平。,具有补充水分、保湿、快速消炎、抗过敏、止痒、延缓衰老等作用。
葱头,二年生草本植物，具有杀菌、促进消化、降血压降血脂、防癌。,性温，味辛甘。,可用于降低血压、提神醒脑、缓解压力、预防感冒。,主治创伤、溃疡、阴道滴虫病、便秘。…
