名称,简介,药性,功效,适应症
旋覆花,别名金沸草、六月菊、鼓子花、滴滴金、小黄花子、金钱花、驴儿菜、金福花、金佛花、蕧、盗庚、盛椹、戴椹、飞天蕊、野油花、夏菊、金钱菊、艾菊、迭罗黄、满天星、黄熟花、水葵花、金盏花、复花、小黄花、猫耳朵花、驴耳朵花。,味苦、辛、咸、微温。归肺、胃、大肠经。,旋复花黄酮对组胺引起的豚鼠支气管痉挛性哮喘有明显的保护作用，对组胺引起的豚鼠离体气管痉挛亦有对抗作用，还有抗菌、杀虫的作用。,降气，消痰，行水，止呕。用于风寒咳嗽，痰饮蓄结，胸膈痞满，喘咳痰多，呕吐噫气，心下痞硬…
白前,别名芫花叶白前、石蓝、嗽药、水竹消、溪瓢羹、消结草，直立矮灌木，高达50厘米，茎具二列柔毛，叶无毛，长圆形或长圆状披针形。生长于海拔100-300米的江边河岸及沙石间，也有在路边丘陵地区，在中国江南、西南分布广泛。,辛、苦，微温。归肺经。,泻肺降气，下痰止嗽，咳血。,主治肺实喘满，咳嗽多痰，胸满喘急，胃脘疼痛。该品性微温而不燥烈，长于祛痰，降肺气以平咳喘，无论属寒属热，外感内伤，新嗽久咳均可用之…
猫爪草,猫爪草为毛莨科植物小毛莨的块根，因其块根肉质，数个簇生，近纺锤形，外皮黄褐色，形似猫爪而得名。,甘、辛，微温。 归肝、肺经。,养阴药。具有抗结核菌及其他细菌、抗肿瘤、体外抗白血病细胞和抗急性炎症作用。能化痰散结，解毒消肿，是一种比较常见的中药材。除小毛茛以块根入药外，大多数以全草入药，一般用作引赤发泡、敷穴位，可治疗多种疾病，也能杀虫。,主治瘰疬痰核，疔疮，虫蛇咬伤，偏头痛，疟疾，牙痛。肺结核，淋巴结结核，淋巴结炎，咽喉炎…
川贝母,别名贝母、川贝,苦、甘，微寒。归肺、心经。,清热润肺，化痰止咳。用于肺热燥咳，干咳少痰，阴虚劳嗽，咯痰带血。,脾胃虚寒及有湿痰者不宜。
浙贝母,百合科植物浙贝母的鳞茎，别名浙贝、大贝、象贝。生于湿润的山脊、山坡、沟边及村边草丛中，多分布浙江、江苏、安徽、湖南等地。清热化痰，散结解毒。治风热咳嗽，肺痈喉痹，瘰疬，疮疡肿毒。5～6月采挖，洗净泥土，大小分开，大者摘去心芽，分作2片，呈元宝状，称元宝贝，小者称珠贝。分别置擦笼内，擦去外皮，加石灰拌匀，经过一夜，使石灰渗入，晒干或烘干…,,,
瓜蒌,别名天撤、苦瓜、山金匏、药瓜皮。,性寒，味甘，微苦。归肺、胃、大肠经。,有解热止渴、利尿、镇咳祛痰等作用，清热涤痰，宽胸散结，润燥滑肠。,用于肺热咳嗽，痰浊黄稠，胸痹心痛，结胸痞满，乳痈，肺痈，肠痈肿痛，大便秘结。
竹茹,别名竹皮、青竹茹、淡竹皮茹、淡竹茹、麻巴、竹二青、竹子青。,甘，微寒。归肺、胃经。,清热化痰、除烦止呕、安胎凉血。有增加尿中氯化物量的作用；此外，还有增高血糖作用；竹茹粉在平皿上对白色葡萄球菌、枯草杆菌、大肠杆菌及伤寒杆蓖等有较强的抗菌作用。,肺热咳嗽；烦热惊悸；胃热呕呃；妊娠恶阻；胎动不安；吐血；衄血；尿血；崩漏…
竹沥,别名竹汁、淡竹沥、竹油。,甘苦，寒。入心、胃经。,1.镇咳作用：能明显延长小鼠氨水刺激；2.祛痰作用：30ml/kg慈竹沥均有明显的祛痰作用，在5-30ml/kg剂量范围内，量效关系不明显；3.平喘作用：慈竹沥10ml/kg灌胃，每日2次，连续3天能明显降低百分之0.5；磷酸组胺喷雾所致的豚鼠Ⅳ级哮喘发生率，延长哮喘潜伏期，作用强于淡竹沥。,能治疗中风痰迷，肺热痰壅，惊风，癫痫，破伤风，痰热咳嗽，痰黄粘稠…
天竺黄,本品为禾本科植物青皮竹或华思劳竹等杆内的分泌液干燥后的块状物。秋、冬二季采收。别名：天竹黄、竹黄,甘，寒。,清热豁痰，凉心定惊。用于热病神昏，中风痰迷，小儿痰热惊痫、抽搐、夜啼。,抑菌实验：对常见化脓性球菌和肠道致病菌均有较强的抑制作用。灰指甲、鹅掌风等皮肤病患者忌服天竺黄；孕妇禁用天竺黄；服药期间忌食萝卜、酸辣…
前胡,本品为伞形科植物白花前胡或紫花前胡的干燥根。冬季至次春茎叶枯萎或未抽花茎时采挖，除去须根，洗净，晒干或低温干燥。,苦、辛，微寒。,疏散风热；降气化痰。主外感风热；肺热痰郁；咳喘痰多；痰黄稠粘；嗳逆食少；胸膈满闷。用于风热咳嗽痰多，痰热喘满，咯痰黄稠。,前胡不可施诸气虚血少之病；凡阴虚火炽，煎熬真阴，凝结为痰而发咳喘；真气虚而气不归元，以致胸胁逆满；头痛不因于痰，而因于阴血虚；内热心烦，外现寒热而非外感者，禁用前胡…
桔梗,又称包袱花、铃铛花、僧帽花。桔梗科桔梗属植物。,桔梗的干燥根部，味苦、辛，性微温。入肺经。,祛痰，开宣肺气，祛痰排脓;利咽，外感咳嗽，咽喉肿痛;排脓，肺痈吐脓，胸满胁痛;利五脏、补气血、降血糖，抑制胃液分泌，抗炎，抗溃疡，镇静、镇痛和解热;扩张血管、降压，治老年慢性支气管炎，治疗急性腰扭伤，治牙疳臭烂，治喉痹及毒气等。,用于胸胁痛如刀刺，惊恐悸气;五脏肠胃，补血气;主肺热气促嗽逆，祛痰排脓，除腹中冷痛;疗咽喉痛，利肺气，治鼻塞…
胖大海,胖大海又名南子、大洞果、胡大海、大发、通大海。,胖大海味甘、性凉，入肺、大肠经，双子叶植物纲。,清热润肺，利咽解毒，润肠通便;清肺化痰，利咽开音，肺热声哑，干咳无痰，咽喉干痛;泻下，润肠通便，通利大便，热结便闭，大便出血，头痛目赤;咳嗽、咯痰，痰色黄、质黏;外感引起的咽喉肿痛，急性扁桃体炎，降压，利尿，镇痛等。,用于肺热声哑，咽喉疼痛，咳嗽，燥热便秘;用于肺热声哑、咽喉疼痛、热结便秘以及用嗓过度等引发的声音嘶哑等症…
苦杏仁,杏核仁、杏子、木落子、苦杏仁、杏梅仁、杏、甜梅。,温、苦、肺经、大肠经。,祛痰止咳，平喘，润肠。治外感咳嗽，喘满，喉痹，抗炎，镇痛，肠燥便秘。,杏仁苦温宣肺，润肠通便、仅适宜于风邪、肠燥等实证之患。凡阴亏、郁火者，则不宜单味药长期内服。如肺结核、支气管炎、慢性肠炎、干咳无痰等症禁忌单味药久服…
紫苏子,别名苏子、黑苏子、野麻子、铁苏子、任子。,辛，温。归肺、脾经。,可增强学习记忆功能，其有效成分是紫苏子油，能促进小鼠学习记忆功能；另外还有降血脂作用；有降血压作用；有抑制血小板聚集作用；有防腐、抗氧化作用，可用于食品和药物的长期贮存；还具有抗癌作用和抑菌作用。,降气消痰，平喘，润肠。用于痰壅气逆，咳嗽气喘，肠燥便秘。解表散寒，行气和胃。用于风寒感冒，咳嗽气喘，妊娠呕吐，胎动不安。又可解鱼蟹中毒…
百部,别名百条根、百部草、闹虱药、药虱药、嗽药、野天门冬、百奶、九丛根、九虫根、一窝虎、九十九条根、山百根、牛虱鬼、百部根、白并、玉箫、箭杆。,甘、苦，微温。归肺经。,体外试验时百部(品种未鉴定)煎剂及对叶百部酒精浸液对多种致病菌如肺炎球菌、乙型溶血型链球菌、脑膜炎球菌、金黄色葡萄球菌，伤寒杆菌、副伤寒杆菌、大肠杆菌、变形杆菌，白喉杆菌等都有不同程度的抑菌作用。,润肺下气止咳，杀虫。用于新久咳嗽，肺痨咳嗽，百日咳；外用于头虱，体虱，蛲虫病，阴部骚痒。蜜百部润肺止咳。用于阴虚劳嗽…
紫菀,别名 青苑、紫倩、小辫等。,辛、苦，温。入肺经。,温肺，下气，消痰，止咳。治风寒咳嗽气喘，虚劳咳吐脓血，喉痹，小便不利。,紫菀气温而不热，质润而不燥，故对咳嗽之症，不论外感或内伤，寒嗽或热咳，皆可配用，为化痰止咳要药。治咳嗽气逆、咯痰不爽，可与白前、桔梗、甘草等配伍;治肺虚久咳、痰中带血，常与款冬花、川贝、麦冬、阿胶等品同用…
款冬花,冬花、款花、看灯花、艾冬花、九九花。以河南产量最大。以花蕾朵大饱满、干燥、色泽鲜艳紫红、无花梗及泥土者为佳,味微苦略辛，性平，入肺经。,润肺下气，化痰止嗽。治咳逆喘息，喉痹，诸惊痫，寒热邪气，涕唾稠粘，治肺痿肺痈吐脓。,对呼吸系统的作用具止咳，祛痰并略有平喘作用。款冬花叶可以制剂治疗气管炎、咽炎及支气管哮喘…
马兜铃,别名水马香果、蛇参果、三角草、秋木香罐，中文名因其成熟果实如挂于马颈下的响铃而得。,味苦，微寒。,止咳、平喘、祛痰、抗炎、抗菌、降压作用。,清肺降气，止咳平喘，清肠消痔。
枇杷叶,又名巴叶、芦桔叶，有清肺止咳，和胃利尿，止渴的功效。全年均可采收，晒干，刷去毛，切丝生用或蜜炙用，枇杷叶药性为苦，微寒。归肺，胃经。,清肺止咳，和胃降逆，止渴。主肺热痰嗽；阴虚劳嗽；咳血；衄血；胃热呕哕。,治疗慢性气管炎，止咳作用强，祛痰作用差；对单纯型气管炎较好，对哮喘则无效。,肺寒咳嗽及胃寒呕吐者禁服…
桑白皮,桑根白皮，桑皮，桑根皮，白桑皮；桑白皮药性为甘，寒。归肺经。,泻肺平喘，利尿消肿。去肺中水气，唾血，热渴，水肿，腹满胪胀，利水道，去寸白，可以缝金疮。药理作用有降压、利尿、镇静镇痛、抗炎、抗菌、抑制血小板聚集、降糖等作用。,主治肺热咳嗽，喘逆痰多，甚或咯血者，面目浮肿，小便不利之水肿实证，降血压。,肺虚无火，小便多及风寒咳嗽忌服…
葶苈子,别名大适、大室、蕇蒿、丁历。,辛、苦、寒，归肺经、膀胱经。,有强心作用：播娘蒿、北美独行菜及独行莱的干燥种子之醇提取物，均表观强心作用，对在位娃心可使之停止于收缩期，在位兔、猫心，猫心肺装置，猫心电图等研究，均使心收缩加强，心率减慢，心传导阻滞，对衰竭的心脏可增加输出量，降低静脉压。另外，葶苈子还有利尿作用。,泻肺平喘，行水消肿。用于痰涎壅肺、喘咳痰多、胸胁胀满、不得平卧、胸腹水肿、小便不利…
白果,又名银杏、公孙树子、鸭脚子、灵眼、佛指甲、佛指柑。,"白果味甘、苦、涩，性平,有毒;归入肺、肾经 。",白果功效治哮喘，痰嗽，白浊，遗精，淋病，遗尿，小便频数高血压，止白带，咳锹发热;心脑血管，呼吸系统，皮肤病，牙痛等疾病，还有清热扰菌，温肺益气，扩张血管，增加血流量，降低血清胆固醇;定痰喘，去皱纹，防衰老，润音喉，健身美容，延年益寿。,常用于咳喘气逆，痰多之症，无论偏寒，偏热;除湿用治白浊带下，小便频数、遗尿;治疗喘咳痰多，能消痰定喘;治疗肺结核…
矮地茶,别名不出林、叶底珠、叶下红、千年不大、地茶、紫金牛。它是南方地区民间草药，为紫金牛科植物紫金牛的干燥全株。多自采自用，少数地区的贸易市场和草药商店有少量出售。,性平，味辛、微苦。归肺、肝经。,化痰止咳，利湿，活血。,用于咳嗽、痰中带血、慢性支气管炎、抗病毒、肺结核、结核性胸膜炎、湿热黄疸、急性黄疸型肝炎、跌扑损伤…
洋金花,茄科野生直立木质草本植物，又名曼陀罗、羊惊花、山茄花、风茄花、枫茄花等。味辛；性温；有毒。归肺；肝经。分为大花（白花）曼陀罗、红花曼陀罗、紫花曼陀罗等种类。曼陀罗花主要成份为莨菪碱、东莨菪碱及少量阿托品，而起麻醉作用的主要成份是东莨菪碱。平喘止咳；麻醉止痛；解痉止搐。用于哮喘咳嗽；脘腹冷痛；风湿痹痛；癫痫；惊风；外科麻醉。《中国药典》：外感及痰热咳喘、青光眼、高血压患者禁用…,,,
华山参,本品为茄科植物漏斗泡囊草（华山参）的干燥根。本品呈长圆锥形或圆柱形，略弯曲，有的有分枝，长10～20cm，直径1～2.5cm。表面棕褐色，有黄白色横长皮孔、须根痕及纵皱纹，上部有环纹。顶端常有1至数个根茎，其上有茎痕及疣状突起。质硬，断面类白色或黄白色，皮部狭窄，木部宽广，可见细密的放射状纹理。具烟草气，味微苦，稍麻舌。平喘止咳，安神镇惊。用于寒痰喘咳，心悸失眠易惊。不宜多服，以免中毒。青光眼患者禁用。孕妇及前列腺重度肥大者慎用…,,,
罗汉果,又称拉汗果、罗晃子、茶山子、红毛果。,性凉，味甘。归肺、大肠经。,常饮罗汉果茶，可防多种疾病，现代医学证明，罗汉果对支气管炎、高血压等疾病有显著疗效，还是起到防治冠心病、血管硬化、肥胖症的作用。营养价值高，有清热解暑、化痰止咳、凉血舒骨、清肺润肠和生津止渴等功效;可治急慢性气管炎、咽喉炎、支气管哮喘、百日咳、胃热、便秘、急性扁桃体炎等症，糖尿病患者亦宜服用。,清热润肺，止咳，利咽，滑肠通便。用于肺火燥咳，咽痛失音，肠燥便秘…
满山红,别名东北满山红、迎山红、靠山红、山崩子,辛、苦，温。,杜鹃枝繁叶茂，绮丽多姿，萌发力强，耐修剪，根桩奇特，是优良的盆景材料。园林中最宜在林缘、溪边、池畔及岩石旁成丛成片栽植，也可于疏林下散植，是花篱的良好材料，可经修剪培育成各种形态。在花季中绽放时即使杜鹃总是给人热闹而喧腾的感觉，而不是花季时，深绿色的叶片也很适合栽种在庭园中做为矮墙或屏障。,叶：止咳，祛痰。用于急、慢性支气管炎，咳嗽。根：止痢。用于肠炎痢疾…
胡颓子叶,别名蒲颓叶，为胡颓子科植物胡颓子的叶片，植物形态详胡颓子条。蒲颓叶治喘咳方，出《中藏经》，甚者亦效。云有人患喘三十年，服之顿愈。甚者服药后，胸上生小瘾疹作痒，则瘥也。虚甚加人参等分，名清肺散。大抵皆取其酸涩，收敛肺气耗散之功耳。治咳嗽气喘，咳血，痈疽，外伤出血。①《中藏经》：治喘嗽上气。②《纲目》：肺虚短气。内服：煎汤，3～5钱(鲜者0.8～1两)；或研末。外用：捣敷或研末调敷…,,,
蔊菜,十字花科蔊菜属植物，别名野菜子、铁菜子、野油菜、干油菜、山芥菜、地豇豆,野生于荒地、路旁及田园中。南北各地均有分布，多见于陕西、甘肃、江苏、浙江、福建、湖北、广东、广西等地。,清热，利尿，活血，通经。治感冒，热咳，咽痛，麻疹不易透发，风湿关节炎，黄疸，水肿，疔肿，经闭，跌打损伤。,内服：煎汤，10-30g，鲜品加倍;或捣绞汁服。外用：适量，捣敷…
海藻,海产藻类，通常固著于海底或某种固体结构上，是基础细胞所构成的单株或一长串的简单植物。,常见的褐藻包括大型褐藻、马尾藻和墨角藻属;常见的红藻包括掌状红皮藻、紫菜、石花菜属、角叉菜属。,海藻性味咸寒，具有清热、软坚散结的功效，多用于退烧、治咳，以及治疗气喘、痔疮、流鼻涕、肠胃不适及泌尿疾病等。,1、尤其适合缺碘者;2、适宜淋巴结、甲状腺肿大者、高血压、高血脂、动脉硬化患者、减肥者、癌症患者;3、脾胃虚寒者忌食用…
昆布,黑菜、鹅掌菜、五掌菜。,咸，寒。归肝、胃、肾经。,软坚散结，消痰，利水。用于瘿瘤，瘰疬，睾丸肿痛，痰饮水肿，去面肿，去恶疮鼠瘘。,卷曲皱缩成不规则团状。全体呈黑色，较薄。用水浸软则膨胀呈扁平的叶状，长宽约为16～26cm，厚约1.6mm;两侧呈羽状深裂，裂片呈长舌状，边缘有小齿或全缘。质柔滑…
黄药子,别名黄独子、金钱吊蛋、黄金山药块茎的横切片呈类圆形或圆形，直径3～10cm，厚0.3～1.5cm。外皮较薄，棕黑色，有皱折，具多数短小的细根及黄白色或棕黄色微突起的须根痕。切面淡黄色至黄棕色，平滑或呈颗粒状凹凸不平。质脆，折断面颗粒状。气微，味苦。清热解毒，凉血清瘿。用于咽喉肿痛、痈肿疮毒、蛇虫咬伤、甲状腺肿、吐血、咯血。常规剂量服用黄药子制剂后，也会出现口干，有食欲不振、恶心、腹痛等消化道反应。服用过量可引起口、舌、喉等处烧灼痛…,,,
海蛤壳,为帘蛤科动物青蛤等几种海蛤的贝壳。4～10月间捕捉。获得后去肉，洗净晒干。别名：海蛤、蛤壳,咸，平。,清热，利水，化痰，软坚。治热痰喘嗽，水肿，淋病，瘿、瘤，积聚，血结胸痛，血痢，痔疮，崩漏，带下。气虚有寒、中阳不运者慎用。,本品用于肺热引起的痰热喘嗽、胸痞胁痛以及由痰核所引起的瘿瘤、瘰疬等，并有利水消肿、制酸止痛作用，又可用于腹水、浮肿、胃痛吐酸等证…
海浮石,药材分海浮石和海石花两类。海浮石全年可采，自海中捞出，拣净晒干。别名：浮石、浮海石、浮水石、海石花,咸、寒。,清肺化痰，软坚散结。用于肺热咳嗽，痰稠色黄，咯血，支气管炎，淋巴结结核。,本品体轻上浮，长于清肺化痰，又能软坚散结，治肺热胶痰是其所长，并治瘰疬痰核。研末或水飞点眼用。虚寒咳嗽忌服…
瓦楞子,别名蚶子壳、毛蛤、瓦垅、蚶壳、瓦垄子、魁蛤壳、花蚬壳、瓦垄蛤皮、血蛤皮、瓦屋子、毛蚶皮。,味咸、性平；归脾经、肝经。,味咸软坚，消顽痰，散郁结。治瘿瘤、痰核，常与海藻，昆布等同用。治痰火凝结之瘰疬，常配贝母、夏枯草、连翘等，以消痰清火散结。用于症瘕痞块。瓦楞子既可化瘀散结，又能消痰软坚，适宜于气滞血瘀及痰积所致的症瘕痞块，可单用。,治肝脾肿大及消化道肿瘤等。用于胃痛泛酸、大便秘结、久病瘀滞者…
礞石,为变质岩类岩石绿泥石片岩或云母片岩的石块或碎粒。,咸，平。归胃经、肺经、肝经。,用于实热顽痰诸证。青礞石质重性坠，味咸软坚，长于下气坠痰，且可平肝定惊，凡实热痰积，内结不化，壅塞胶固所致的咳喘气逆痰稠、癫狂、惊痫等证，见大便秘结，苔黄厚而腻，脉滑有力者，可用该品为主，辅以泻火通便降逆之大黄、黄芩、沉香等，使实热下泄，痰积通利，而诸证自除，若痰热化风引起的小儿急惊风，见高热惊厥、痰壅气促，可用该品研末，同薄荷叶、蜂蜜调服，以攻消痰积，平肝镇惊。,治顽痰癖积，宿食症瘕，癫狂惊痫，咳嗽喘急，痰涎上壅…
猴枣,猴枣为猴科动物猕猴等内脏的结石，别名猴子枣、羊肠枣、猴丹、申枣椭圆形，略似小枣，大者如鸡蛋，小者如黄豆，一般如莲子大。表面青铜色或绿黑色，平滑而有光泽。质地硬而脆，击之易碎，端面灰黄色，有层次，中央有核。气微香，味微苦涩，嚼之有砂性。以个大、色深、质脆者为佳。消痰镇惊，清热解毒。治痰热喘嗽，小儿惊痫，瘰疬痰核。1、分布于广东、海南、广西等地和长江流域大部，青藏高原及山西、河南、河北等地亦有零星分布；2、分布于西南及江西、福建、湖南、广东、广西、西藏等地…,,,
冬瓜子,即冬瓜的种子，又称冬瓜仁，为葫芦科植物，冬瓜的种子晒干而成。,性凉，味甘。,具有清肺化痰、消痛排脓、利湿的功效，还有很好的保健、抗衰老的作用。,中医临床用来治疗痰热咳嗽、肺痈、肠痈、白浊、带下、水肿、脚气等症。…
川贝,又称松贝母、乌花贝母。为百合科植物。,川贝味苦、甘、凉，入肺经。取其地下鳞茎用药。,清热润肺，化痰止咳，平喘虚劳咳嗽、吐痰咯血、心胸郁街、肺痿、肺痈、喉痹、乳痈。清热散结、润肺;降压，抗菌，前列腺肥大，婴幼儿消化不良，肝硬化腹水，慢性扁桃体炎，腺样体肥大，乳腺癌;中风窍闭，惊痫等;注：脾胃虚寒及湿痰者应忌用。,"用于热症咳嗽，如风热咳嗽、燥热咳嗽、肺火咳嗽;艾滋病患者的综合征，阴虚外感发热,宜养阴清热,治宜宣肺化痰,益气软坚…"
桑树根,,味甘，性寒,降血糖、抗艾滋病病毒、防脱发、利尿、泻肺平喘。,肺热咳喘、痰多、水肿、脚气、小便不利、惊痫、筋骨痛
金耳,金耳为真菌植物门真菌，又称黄木耳、茂若色尔布(藏语)、金黄银耳、黄耳、脑耳。,性温中带寒，味甘。,能化痰、止咳、定喘、调气、平肝肠、美容养颜。,主治肺热、痰多、感冒咳嗽、气喘、高血压等。…
