名称,简介,药性,功效,适应症
红薯,又名红玉、甘薯、番薯、番芋、山药（河北）、地瓜（北方）、红苕、线苕、白薯、金薯、甜薯、朱薯、枕薯、番葛、白芋、茴芋地瓜、红皮番薯、萌番薯。,红薯块根具有活性成分，有抗癌、保护心脏、预防肺气肿、糖尿病、减肥、美容等功效，有“长寿食品”美誉。另外，块根常除供食用外，还可以制糖和酿酒、制酒精，也可制取淀粉、提取果胶等，制取的淀粉可以制作粉条和粉皮，可以制作美味的菜肴。,甘，平。入脾、肾二经,补中和血；益气生津；宽肠胃；通便秘。主脾虚水肿；大便秘结…
枸杞,：为茄科植物宁夏枸杞的干燥成熟果实。夏、秋二季果实呈红色时采收，热风烘干，除去果梗。或晾至皮皱后，晒干，除去果梗。,：甘，平。,：滋补肝肾，益精明目。,：用于虚劳精亏，腰膝酸痛，眩晕耳鸣，内热消渴，血虚萎黄，目昏不明。
红芪,：为豆科植物多序岩黄芪的干燥根。秋季挖根，堆起发热，以使糖化，然后去掉茎基须根，晒至柔软，手搓再晒，直至全干。,：甘，温。,：补气固表，利尿托毒，排脓，敛疮生肌。,：用于气虚乏力，食少便溏，中气下陷，久泻脱肛，便血崩漏，表虚自汗，气虚水肿，痈疽难溃，血虚萎黄，内热消渴，慢性肾炎蛋白尿，糖尿病。
海参,海参，属海参纲，是生活在海边至8000米的海洋棘皮动物，距今已有六亿多年的历史，海参以海底藻类和浮游生物为食。,性微寒，味甘、咸。,延续衰老，消除疲劳，提高免疫力，增强抵抗疾病的能力、海洋伟哥，补血调经、治伤抗炎、护肝保血管、益智健脑、助产催乳、消除肿瘤、抗癌护心脏、善骨质疏松、促进生长发育。,气血不足、营养不良、病后产后体虚、肾阳不足、阳痿遗精、小便频数、等病症患者以及癌症病人放疗，化疗，手术后与年老体弱的人适宜食用…
桂圆,又称龙眼、荔枝奴、亚荔枝、燕卵；寿命最长可达400多年。与荔枝、香蕉、菠萝（凤梨）同为华南四大珍果。,甘淡、平。,抗衰抗辐射、安神定志、养血安胎、抗菌，抑制癌细胞、降脂护心，延缓衰老、提高免疫力、消滞健脾、养颜护肤、益气补血，增强记忆。,龙眼属湿热食物，多食易滞气。适宜神经性或贫血性或思虑过度所引起的心跳心慌、头晕失眠者食用；适宜大脑神经衰弱、健忘和记忆力低下者食用；适宜年老气血不足、营养不良引起的贫血患者食用…
薏米,又叫薏苡仁、苡仁、六谷子，营养价值很高，被誉为“世界禾本科植物之王”。,性凉，味甘、淡，入脾、肺、肾经。,清热利湿，除风湿，利小便，益肺排脓，健脾胃，强筋骨。,主治风湿身痛，湿热脚气，湿热筋急拘挛，湿痹，水肿，小便淋沥，肺萎肺痈，咳吐脓血，喉痹痈肿，肠痈热淋，扁平疣。上述功效是指生薏米煮汤服食之而言，若用于健脾益胃，利肠胃，治脾虚泄泻，则需炒熟应用。孕妇及津枯便秘者忌用，滑精、小便多者不宜食用…
高丽参,：为五加科植物人参的干燥根。,：甘、微苦，平。,：大补元气，复脉固脱，补脾益肺，生津，安神。,：用于体虚欲脱，肢冷脉微，脾虚食少，肺虚喘咳，津伤口渴，内热消渴，久病虚羸，惊悸失眠，阳痿宫冷;心力衰竭，心原性休克。
红枣,别名干枣、美枣，良枣。,甘，温。入脾、胃经。,补脾胃;益气血;安心神;调营卫;和药性。主脾胃虚弱;气血不足;食少便溏;倦怠乏力;心悸失眠;妇人脏躁;营卫不和。用于脾虚泄泻，心悸，失眠，盗汗，血小板减少性紫癜。,生于海拔1700m以下的山区、丘陵或平原，全国各地广为栽培，栽培品种甚多。全国大部分地区有产，主产于新疆、山西、河北、河南、山东、四川、贵州等地…
地参,又称地环，植物名，名贵的中草药，且具有提神醒脑、开胃化食、补肝肾两虚、强腰膝筋骨之效。,味苦，性寒。,强身健体、润肠通便、养颜美容、帮助消化、脂降压。,高血压，糖尿病，心脑血管疾病、肥胖症。…
野生灵芝,野生灵芝是野外自然生长的灵芝，其最有药效的是生长于深山树林里的“林中灵”灵芝。,味甘、苦，性平。,主耳聋，利关节，保神益精，坚筋骨，好颜色，久服轻身不老延年。,对阳痿、遗精、腰膝酸痛、肾功能下降、体弱多病、神疲乏力、失眠、神经衰弱、更年期综合症、尿急尿频、内分泌失调有显著疗效。…
西洋参,别名西洋人参，西参，洋参，佛兰参,甘、微苦，凉。归心、肺、肾经。,西洋参具有滋阴补气，宁神益智及清热生津，降火消暑的双重功效。具有补气养阴、泻火除烦、养胃生津之功能。补而不燥是西洋参的特别之处。能增强机体免疫功能；有抗利尿及止血作用。,主要用于气阴两虚而实火内盛者及肺肾阴虚火旺者。用于气虚津亏，体倦乏力，口渴咽干；阴虚火旺，烦热咳嗽，或痰中带血肺热燥咳、气虚懒言、四肢倦怠、烦躁易怒、热病后伤阴津液亏损等…
党参,别名防风党参、黄参、防党参、上党参,性平，味甘、微酸。归脾、肺经。,具有补中益气，健脾益肺。用于脾肺虚弱，气短心悸，食少便溏，虚喘咳嗽，内热消渴等功效。所含皂苷、菊糖、微量生物碱、淀粉等对人体多脏器有不同程度的强壮作用，能提高人体的适应性。有抗溃疡，能增加肠张力、调节胃运动的作用。,适用于各种气虚不足者，常与黄芪、白术、山药等配伍应用；如血虚萎黄及慢性出血疾患引起的气血两亏的病症…
太子参,别名 孩儿参、童参、双批七、四叶参、米参,味甘、微苦，平。归脾、肺经。体润性和,太子参具有补益脾肺，益气生津的功效。既能益气，又可养阴生津，且药力平和，为一味清补之品，适用于脾肺亏虚、气阴不足、气津不足诸症。太子参对淋巴细胞有明显的刺激作用。,肺虚咳嗽，脾虚食少，心悸，怔忡，水肿，消渴，精神疲乏。用于脾气虚弱、胃阴不足的食少倦怠。用于气虚津伤的肺虚燥咳及心悸不眠、虚热汗多。治气虚肺燥咳嗽，气阴两虚的心悸不眠、多汗…
黄芪,别名 棉芪，黄耆，独椹，蜀脂，百本，百药,甘，微温。归肺、脾、肝、肾经。,黄芪有益气固表、敛汗固脱、托疮生肌、利水消肿之功效。炙黄芪益气补中，生用固表托疮。有增强机体免疫功能、保肝、利尿、抗衰老、抗应激、降压和较广泛的抗菌作用。,用于治疗气虚乏力，中气下陷，久泻脱肛，便血崩漏，表虚自汗，痈疽难溃，久溃不敛，血虚萎黄，内热消渴，慢性肾炎，蛋白尿，糖尿病等。表实邪盛，气滞湿阻，阴虚阳亢者，均须禁服…
白术,别名 桴蓟，于术，冬白术，淅术，杨桴,味苦；甘；性温。归脾；胃经。,白术具有健脾益气，燥湿利水，止汗，安胎的功效。健脾益气;燥湿利尿;止汗;安胎，补脾，益胃，燥湿，和中，安胎。脾胃气虚，不思饮食，倦怠无力，慢性腹泻，消化吸收功能低下者宜食。,用于脾虚食少，腹胀泄泻，痰饮眩悸，水肿，自汗，胎动不安。治脾胃气弱，不思饮食，倦怠少气，虚胀，泄泻，痰饮，水肿，黄疸，湿痹，小便不利，头晕，自汗，胎气不安…
山药,别名 薯蓣，三角、怀山药、淮山药、药蛋、土薯,味甘、性平，不燥不腻，入肺、脾、肾经;,“益肾气，健脾胃，止泄痢，化痰涎，润皮”。具有健脾补肺、益胃补肾、固肾益精、聪耳明目、助五脏、强筋骨、长志安神、延年益寿的功效。可主食，可蔬菜，亦可甜点。,主治脾胃虚弱、倦怠无力、食欲不振、久泄久痢、肺气虚燥、痰喘咳嗽、肾气亏耗、腰膝酸软、下肢痿弱、消渴尿频、带下白浊、皮肤赤肿、肥胖等病症。用于妇女脾虚带下;肾虚遗精等…
白扁豆,别名 藊豆、白藊豆、南扁豆、沿篱豆、蛾眉豆,甘，微温。归脾、胃经,有健脾养胃，解暑化湿，补虚止泻的功效，止泄痢，消暑，暖脾胃.能补气以健脾，兼能化湿，药性温和，补而不滞;能健脾化湿以和中，性虽偏温，但无温燥助热伤津之弊。,用于脾胃虚弱，食欲不振，大便糖泻，暑湿吐泻.胸闷腹胀。炒扁豆健脾化湿。用于脾虚泄泻，白带过多。主治泄泻、呕吐、暑湿内蕴、脘腹胀痛、赤白带下等病，又能解酒毒…
甘草,别名甜草根、红甘草、粉甘草。,味甘，性平，无毒。归十二经。,甘草补脾益气，止咳润肺，缓急解毒，调和百药。生用主治咽喉肿痛，痛疽疮疡，胃肠道溃疡以及解药毒、食物中毒等;蜜炙主治脾胃功能减退，大便溏薄，乏力发热以及咳嗽、心悸等。,用于心气虚，心悸怔忡，脉结代，以及脾胃气虚，倦怠乏力等。坚筋骨，长肌肉，倍气力，解毒，久服轻身延年。生用泻火热，熟用散表寒，去咽痛，除邪热，缓正气，养阴血，补脾胃，润肺…
大枣,别名红枣、干枣、枣子，起源于中国。,甘，温。归脾、胃经。,"具有补虚益气、养血安神、健脾和胃等功效,能增强肌力、消除疲劳、扩张血管、增加心肌收缩力、改善心肌营养的作用。有补充钙质，防治遗精，防腹泻等作用。有较强的抑癌、抗过敏作用。",对脾胃虚弱、气血不足、倦怠无力、失眠、急慢性肝炎、肝硬化、贫血、过敏性紫癜等症有较好疗效。用于中气不足，体倦无力，食少便溏；血虚瘘黄、消瘦，或妇女脏燥，精神不安…
刺五加,别名刺拐棒、坎拐棒子、一百针、老虎潦、五加参、俄国参、西伯利亚人参。落叶灌木，主要分布于亚洲东北部，西伯利亚一带。其根部和根状茎可入药。,味苦、辛，性温。入心经、脾经、肾经。,益气健脾，补肾安神。,用于风湿痹痛、腰膝酸痛，肝肾不足、腰膝酸痛、脚膝痿弱无力、小儿行迟，水肿、小便不利，黄褐斑，辅助治疗心律失常，低血压，足跟痛，治疗神经衰弱…
绞股蓝,又名七叶胆、小苦药、公罗锅底、落地生、遍地生根等。,绞股蓝味苦、微甘，性凉;归肺、脾、肾经。,高血压，高血脂，冠心病，糖尿病，哮喘，传染性肝炎，偏头痛，抗衰美容，抗癌，肝癌，肺癌，子宫癌，皮肤癌，抗过敏，健身强力，调脂减肥，肥胖，护心保脉，补脑安神，促消化，白发，失眠，十二指肠溃疡，乙型肝炎，肝硬化，内分泌失调，亚健康等。,用于高血脂，高血压，高血糖;老年性白发、狐臭、美润皮肤;抑制多种癌细胞;镇静、抗紧张、抗溃疡、抗疲劳、增进食欲等…
红景天,又名蔷薇红景天，扫罗玛布尔(藏名)，多年生草本。,红景天味甘、苦，性平;归肺、心经。,抗压，抗疲劳，抗癌，抗炎，糖尿病，润肺，补肾，强心，理气养血，清肺，止咳退烧，止痛，肺炎，气管炎，胸闷，肺热，瘟病，四肢肿胀，妇女白带，中风偏瘫，烧伤烫伤，改善睡眠、生血活血、抗脑缺氧，抗氧化，肺炎，哮喘，肺癌，高血糖，增强运动耐力等,用于咳血、肺炎咳嗽、妇女白带，气虚血瘀，胸痹心痛，中风偏瘫，倦怠气喘;外用跌打损伤和烧烫伤;解热退烧、滋补元气等…
沙棘,沙棘是植物和其果实的统称。别名醋柳果、醋刺柳、酸刺、黑刺、醋柳、沙枣、达尔、大尔卜兴、酸刺子、酸柳柳、其察日嘎纳、黄酸刺、酸刺刺,味酸，涩，性温,止咳化痰药，健胃消食药，活血散瘀药。现代医学研究，沙棘可降低胆固醇，缓解心绞痛发作，还有防治冠状动脉粥样硬化性心脏病的作用。,沙棘的根、茎、叶、花、果，特别是沙棘果实含有丰富的营养物质和生物活性物质，可以广泛应用于食品、医药、轻工等国民经济的许多领域…
饴糖,米、大麦、小麦、粟或玉蜀黍等粮食经发酵糖化制成的糖类食品，又名麦芽糖，胶饴，软糖，糖稀。饴糖有软、硬之分，软者为黄褐色浓稠液体，粘性很大；硬者系软饴糖经搅拌，混入空气后凝固而成，为多孔之黄白色糖饼。味甘，药用以秋饴糖为佳。缓中，补虚，生津，润燥。治劳倦伤脾，里急腹痛，肺燥咳嗽，吐血，口渴，咽痛，便秘。湿热内郁，中满吐逆忌服。①《品汇精要》：中满不宜用，呕家勿用。②《纲目》：秘结、牙露、赤目、疳病者，切宜忌之…,,,
蜂蜜,别名蜂糖、蜜糖、石蜜、石始、食蜜、蜜、白蜜、白沙蜜、沙蜜、石饴。,味甘，性平。,补中，保肝，润燥，止痛，灭菌，解毒，润肠通便等。能改进血液的成分，推进心脑和血管功用，常服用对于心血管患者很有好处；能医治中度的肌肤损伤，特别是烫伤；失眠的人在每天睡觉前口服1汤匙蜂蜜有助睡眠。,常服蜂蜜对于心脏病、高血压、肺病、眼病、肝脏病、痢疾、便秘、贫血、神经系统疾病、胃和十二指肠溃疡病等都有良好的辅助医疗作用。外用还可以治疗烫伤、滋润皮肤和防治冻伤…
雄蚕蛾,雄蚕蛾身体白色，翅无飞行能力。触角双栉状。体内含有丰富的活性物质，雄性激素含量丰富，对增强人体免疫力和性功能效果显著。,性咸，温。归肝、肾经。,原蚕蛾配黄芪，可增强补肾壮阳的疗效，用治肾虚阳痿。原蚕蛾配益智仁：原蚕蛾既补肾阳，又涩肾精。益智仁的功效与作用温肾缩尿固精。两药相伍，共奏补肾涩精止遗，用治遗精早泄，遗尿，带下等。,补肾壮阳，涩精，止血，解毒消肿。主治阳痿，遗精，白浊，血淋，金疮出血，咽喉肿痛，口舌生疮…
蕨麻,原名人参果，是蔷薇科，根含鞣料，可提制栲胶，并可入药,味甘，性温。,有补气血、健脾胃、生津止渴、利湿的作用。,可用于病后贫血，营养不良，脾虚腹泻，风湿痹痛等症状。
鹿茸,梅花鹿或马鹿的雄鹿未骨化而带茸毛的幼角。,甘、咸，温。归肾、肝经。,壮肾阳，补精髓，强筋骨，调冲任，托疮毒。化瘀生肌，鹿茸有行血、化瘀、消肿、解毒和生肌的作用。常用于治疗外科疮疡及伤科跌打损伤等多种疾病。用于肾虚、耳聋、阳痿、宫冷不孕等症。,服用本品宜从小量开始，缓缓增加，不宜骤用大量，以免阳升风动，头晕目赤，或助火动血，而致鼻衄。凡阴虚阳亢，血分有热，胃火盛或肺有痰热，以及外感热病者，均应忌服…
紫河车,人出生时所脱掉的胎盘，经过加工干燥而成,味甘、咸、温，入肺、心、肾经,有补肾益精，益气养血之功。能促进乳腺、子宫、阴道、睾丸的发育，对甲状腺也有促进作用，对肺结核、支气管哮喘、贫血等亦有良效，研末口服或灌肠可预防麻疹或减轻症状。,中医认为，胎盘性温，阴虚患者不宜单用：有实邪者也不宜食用，否则会火上加油。故应经医生辨证后，在其指导下正规加工，科学食用。是人组织生物制剂，目前属于限制或待淘汰的药材…
淫羊藿,又称仙灵脾、黄连祖、鲫鱼风、羊藿叶、肺经草等。,淫羊藿味辛、甘，性温;归肝，肾经;补肾祛风药。,促进性功能，补肾壮阳，肾虚，阳痿、遗精，早泄、腰膝痿软、肢冷畏寒，尿频失楚;风湿痹病，寒湿痹痛，四肢拘挛麻木，小儿麻痹症，神经衰弱，更年期高血压，骨质疏松;慢性气管炎，镇咳、祛痰、平喘;提高免疫力，保护心血管，促新陈代谢;降低血液粘稠度。,淫羊藿有雄性激素样的作用。它先促进精液分泌，使精囊充满精液后，反过来又能刺激感觉神经，从而激发性欲而致阴茎勃起…
巴戟天,别名 鸡肠风、鸡眼藤、黑藤钻、三角藤,辛、甘，微温。肝;肾经,补肾助阳;祛风除湿;强筋壮骨。主治阳痿遗精、宫冷不孕、月经不调、少腹冷痛、风湿痹痛、筋骨痿软。肾虚阳痿;遗精早泄;小便不禁;宫冷不孕;风寒湿痹;腰膝酸软;风湿肢气。,巴戟天与淫羊霍二者性味相近，均可补肾阳、强筋骨，祛风除湿。然淫羊霍辛、温之性较强，其辛散壮阳之力较峻，且温中寓燥，二药有一缓，一峻，一润、一燥之不同…
仙茅,本品为石蒜科植物仙茅的干燥根茎。秋、冬二季采挖，除去根头和须根，洗净，干燥。别名：独茅根、茅爪子、婆罗门参、独脚仙茅、蟋龙草、风苔草、天棕、山棕、土白芍、平肝薯、盘棕、山兰花、仙茅参、千年棕、山棕皮、尖刀草,辛，热；有毒。,温肾阳壮；祛除寒湿。主阳萎精冷；小便失禁；脘腹冷痛；腰膝酸痛；筋骨软弱；下肢拘挛；更年期综合征,凡阴虚火旺者忌服…
杜仲,别名丝楝树皮、丝棉皮、棉树皮、胶树。,甘微辛，温。归肝、肾经。,具补肝肾、强筋骨、降血压、安胎等诸多功效。防止肌肉骨骼老化，平衡血压，分解体内胆固醇，恢复血管弹性，利尿清热，广谱抗菌，兴奋中枢神经，提高白血球数量，增强免疫力等功效。,治腰脊酸疼，足膝痿弱，小便余沥，阴下湿痒，胎漏欲堕，胎动不安，高血压。用于肝肾不足，腰膝酸痛，下肢痿软，阳痿萎尿频;肝肾虚弱，妊娠下血，胎动不安，或习惯性流产;高血压病…
续断,别名川续断、和尚头、山萝卜、龙豆、属折、接骨、南草、接骨草、川断、鼓锤草、川萝卜根、马蓟、黑老鸦头、小续断。,味苦、辛；性微温。归肝、肾经。,阳痿不举，遗精遗尿。该品甘温助阳，辛温散寒，用治肾阳不足，下元虚冷，阳痿不举，遗精滑泄，遗尿尿频等症。崩漏下血，胎动不安。该品补益肝肾，调理冲任，有固本安胎之功。,用于腰背酸痛、肢节痿痹、跌扑创伤、损筋折骨、胎动漏红、血崩、遗精、带下、痈疽疮肿…
肉苁蓉,别名大芸(淡大芸)、寸芸、苁蓉。,甘、咸，温。归肾、大肠经。,补肾阳，益精血，润肠通便。有降低血压、抗动脉粥样硬化作用，有一定抗衰老作用，能促进小鼠唾液分泌，能提高小肠推进度，缩短通便时间，能明显抑制大肠对水分的吸收。,用于肾虚阳痿，遗精早泄及腰膝冷痛，筋骨痉弱。治肾虚阳痿、遗精、早泄等症，配熟地黄、菟丝子、山萸肉等，治腰膝冷痛、筋骨痿弱，配续断、补骨脂等。用于肠燥便秘…
锁阳,别名地毛球、锈铁棒、锁严子。,味甘，温。入肝、肾经。,有补肾润肠、治阳痿，尿血等功效。可平肝补肾、益精养血、润肠通便，治疗气血不足造成的不孕症，还可强筋健骨、补充钙质。增强免疫功能;清除自由基，抗血小板聚集的作用。,治阳痿，尿血，血枯便秘，腰膝痿弱。用于肾阳不足、精血虚亏、阳痿、不孕、腰膝酸软;肠燥便秘。适用于免疫力低下、尿频便秘、失眠脱发、哮喘、痿弱早泄等多种慢性疾病患者…
补骨脂,别名 破故纸、和兰苋、胡韭子、婆固脂、补骨鸱、黑故子、胡故子、吉固子。,辛，温。归脾、胃、肺经。,补肾助阳。治肾虚冷泻，遗尿，滑精，小便频数，阳痿，腰膝冷痛，虚寒喘嗽。,阴虚火旺者忌服。凡病阴虚火动，梦遗，尿血，小便短涩及目亦口苦舌干，大便燥结，内热作渴，火升目赤，易饥嘈杂，湿热成痿，以致骨乏无力者，皆不宜服。阴虚下陷，内热烦渴，眩晕气虚，怀孕心胞热，二便结者禁用…
益智仁,别名益智仁、益智子果实椭圆形，两端略尖，长1.2～2cm，直径1～1.3cm；表面棕色或灰棕色，有纵向凹凸不平的突起棱线13～20条。果实薄而较韧，与种子团紧贴。种子团被隔膜分为3瓣，每瓣有种子6～11粒。种子呈不规则的扁圆形，略有钝棱，直径约3mm，表面灰褐色或灰黄色，外被淡棕色膜质的假种皮。以干燥成熟果实或种子入药。有温脾、暖肾、固气、涩精之功效。主治寒性胃痛、脾虚吐泻、遗尿、尿频、遗精等症。阴虚火旺或因热而患遗滑崩带者忌服…,,,
菟丝子,别名豆寄生、无根草、黄丝、金黄丝子。,气味辛，甘，平，无毒。入肝、肾二经。,具有补肾益精、养肝明目、固胎止泄的功效。适用于肝肾不足的腰膝筋骨酸痛，腿脚软弱无力、阳痿遗精、呓语、小便频数、尿有余沥、头晕眼花、耳鸣耳聋以及带下、习惯性流产等症。,内服：煎汤，6-15g;或入丸、散。外用：适量，炒研调敷。肾家乡火，强阳不痿者忌之，大便燥结者亦忌之。孕妇、血崩、阳强、便结、肾脏有火、阴虚火动，六者禁用…
沙苑子,本品为豆科植物扁茎黄芪的干燥成熟种子。秋末冬初果实成熟尚未开裂时采割植株，晒干，打下种子，除去杂质，晒干。别名：潼蒺藜、蔓黄芪、夏黄草、沙苑蒺藜。,甘，温。,补肝，益肾，明目，固精。治肝肾不足，腰膝酸痛，目昏，遗精早泄，小便频数，遗尿，尿血，白带。,沙苑子性温，有强阳作用，故阴虚火旺及强阳易举者不宜服。有肾阳虚而致性冷淡、阳萎、早泄、失眠、梦遗诸症病人，服用沙苑子，可改善肾阳虚症状…
蛤蚧,本品为壁虎科动物蛤蚧的干燥体。全年均可捕捉，除去内脏，拭净，用竹片撑开，使全体扁平顺直，低温干燥。别名：对蛤蚧、蛤蚧于、仙蟾,咸，平。,补肺益肾，纳气定喘，助阳益精。用于虚喘气促，劳嗽咳血，阳萎遗精。,蛤蚧的乙醇提取物，可延长正常雌小鼠的动情期，对去卵巢鼠则可出现动情期，并使子宫及卵巢重量增加。外感风寒喘嗽忌服…
核桃仁,核桃仁是核桃的种仁，香脆可口，是我国人民的传统食品之一。别名胡桃仁、胡桃肉、核桃。,胡桃科植物胡桃的干燥成熟种子。秋季果实成熟时采收，除去肉质果皮，晒干，再除去核壳及木质隔膜。,核桃仁性味甘平、温润，具有补肾养血、润肺定喘、润肠通便的作用。,多破碎，为不规则的块状，有皱曲的沟槽，大小不一；完整者类球形，直径2～3cm。质脆，富油性。无臭，味甘；种皮味涩、微苦…
冬虫夏草,是一种特殊的虫和真菌共生的生物体。,味甘，性平。名贵滋补中药材。,补虚损，益精气，止咳化痰。能补肾壮阳，补肺平喘，止血化痰，有调节免疫系统功能、抗肿瘤、抗疲劳等多种功效。有抗癌、滋补、免疫调节、抗菌、镇静催眠等功效。,治痰饮喘嗽，虚喘，痨嗽，咯血，自汗盗汗，阳痿遗精，腰膝酸痛，病后久虚不复，用于肾虚阳痿，遗精，头昏耳鸣;肺虚或肺肾两虚，喘咳短气，或咳血;体虚自汗，畏风…
葫芦巴,别名苦豆、香草，来源为豆科植物胡芦巴的种子。种子略呈斜方形，长3-5mm，宽2-3mm，厚约2mm。表面黄棕色或红棕色，微有灰色短毛，两侧各有一深斜沟，两沟相接处为种脐。质坚硬。气香，味微苦。补肾阳，祛寒湿。治寒疝，腹胁胀满，寒湿脚气，肾虚腰酸。一年生草本，高20-80cm，全株有香气。茎直立，多丛生，被疏毛。三出复叶互生；小叶长卵形或卵状披针形，长1-3.5cm，宽O.5-1.5cm，两边均生疏柔毛；叶柄长，托叶与叶柄连合…,,,
当归,别名干归、马尾当归、秦哪、马尾归、云归。,味甘;辛;苦;性温。归肝;心;脾经。,有补血、活血、调经止痛、润燥滑肠的功效。,血虚诸证;月经不调;经闭;痛经;症瘕结聚;崩漏;虚寒腹痛;痿痹;肌肤麻木;肠燥便难;赤痢后重;痈疽疮疡;跌扑损伤。用于血虚，面色萎黄，眩晕心悸;血虚，或兼有瘀滞的月经不调、经闭、痛经;虚寒性腹痛、冠心病心绞痛、风湿痹痛、跌打损伤等痛证;肠燥便秘;久咳气喘。内服：煎汤，6-12克;或入丸、散;或浸酒;或敷膏…
熟地黄,又名熟地。为地黄的块根经加工炮制而成。,味甘;性温;归肝;肾经。,熟地黄具有补肾中元气的功效，熟地黄所含的地黄多糖具有明显的免疫抑瘤活性，还有显著的强心、利尿、保肝、降血糖、抗增生、抗渗出、抗炎、抗真菌、抗放射等作用。,主要用于血虎萎黄;眩晕心悸;月经不调;崩不止;肝肾阴亏;潮热盗汗;遗精阳痿;不育不孕;腰膝酸软;耳鸣耳聋;头目昏花;须发早白;消渴;便秘;肾虚喘促等证…
白芍,别名花子、白芍药、金芍药、杭芍、大白芍。,苦酸，凉。入肝、脾经。,抗菌止痛，疏肝理气、柔肝养血、缓中止痛、平肝敛阴。养血柔肝，缓中止痛，敛阴收汗。治胸腹胁肋疼痛，泻痢腹痛，自汗盗汗，阴虚发热，月经不调，崩漏，带下。还有调节免疫、抗炎等作用。,治胸腹胁肋疼痛，泻痢腹痛，自汗盗汗，阴虚发热，月经不调，崩漏，带下。常用于肝胃不和所致的胸胁胀痛、脘腹疼痛，月经不调、经行腹痛、崩漏，以及自汗、盗汗，头痛、眩晕等病症…
