药材名称,药材类别,药材基原,药材别名,性味归经,功能主治
艾纳香根,中药,为菊科植物艾纳香的根。Blumea balsamifera (L.)DC。秋季采挖，切片晒干。,大风艾根,味辛；性温。,祛风活血；利水消肿。主风湿关节痛；消化不良；泄泻；水肿；血瘀痛经；跌打肿痛
艾实,中药,为菊科植物艾的果实。Artemisia argyi Levl .et Vant。9-10月，果实成熟后采收。,艾子,味苦；辛；性温。,温肾壮阳。主肾虚腰酸；阳虚内寒
矮陀陀,中药,为楝科植物云南地黄连的全株。Munronia delavayi Franch。全年可采，洗净，切段，鲜用或晒干。,小地黄连;小独根;思茅地黄连;千年矮。,甘；微苦；凉。,活血止痛；清热解毒。主跌打瘀痛；风湿关节痛；咽喉炎；痈肿疔疮
矮卫矛,中药,为卫矛科植物矮卫矛的根、皮。Euonymus nanus Bieb。秋后采收，洗净，切片，或剥皮晒干。,参考原文,辛；苦；性微温。,祛风散寒；除湿通络。主治风寒湿痹；关节肿痛；肢体麻木
矮杨梅果,中药,为杨梅科植物云南杨梅的果实。Myrica nana Cheval。夏季果实将成熟时采摘，鲜用。,杨梅果;滇杨梅;酸杨梅,酸；涩；性凉。,涩肠止泻；敛肺止咳。主泄泻；痢疾；便血；咳嗽
矮杨梅皮,中药,为杨梅科植物云南杨梅的根皮、茎皮或根。Myrica nana Cheval。春、夏季采收，剥取根皮和茎皮，鲜用或晒干。,参考原文,酸；涩；性凉。,涩肠止泻；收敛止血；通络止痛。主痢疾；泄泻；脱肛；崩漏；消化道出血；风湿疼痛；跌打伤痛；外伤出血；黄水疮；疥癣；水火烫伤
矮叶书带蕨,中药,为书带蕨科植物矮叶书带蕨的全草。Vittaria modesta Hand.-Mazz.[V.nana Ching]。全年均可采收，洗净，鲜用或晒干。,参考原文,苦；涩；平。归肝、肾二经,舒筋活络；接骨止痛。主跌打损伤；骨折
矮子常山,中药,为马鞭草科植物小叶石梓的根。Gmelina delauayana P.Dop[G.montana W.W.Smith]。秋后采根，洗净，切片，晒干。,木质山海螺,味辛；性温。,行气；消积，截疟。主食积气滞；脘腹胀痛；久疟
菴闾,中药,为菊科植物菴闾的全草。Artemisia Keiskeana Miq。8-9月割取全草，晒干或鲜用。,参考原文,味辛；苦；性温。,行瘀通经；祛湿。主妇女血瘀经闭；跌打瘀肿；风湿痹痛
菴闾子,中药,为菊科植物菴闾的果实。Artemisia keiskeana Miq。冬季采收，除去杂质，晒干。,参考原文,味辛；苦；性温。,活血散瘀；祛风除湿。主妇女血瘀经闭；产后瘀滞腹痛；跌打损伤；风湿痹痛
鹌鹑,中药,为雉科动物鹌鹑的肉或去羽毛及骨脏的全体。Coturnix coturnix(Linnaeus)。宰杀后除去羽毛及内脏，鲜用，或取肉鲜用。,鹑;鹩;罗鹑;赤喉鹑;红面鹌鹑,味甘；性平。归大肠；心；肝；脾；肺；肾经,益中气；止泄痢；壮筋骨。主脾虚泻痢；小儿疳积；风湿痹证；咳嗽
昂天莲,中药,为梧桐科植物昂天莲的根。Ambroma augusta（L.）L.f.［Theobroma augusta L.；Abroma fastuosa Jacq.］。秋、冬季挖取根部，洗去泥沙，切片，鲜用或晒干。,鬼棉花;仰天盅;水麻;假芙蓉。,微苦；辛；平。,通经活血；消肿止痛。主月经不调；疮疡疖肿；跌打损伤
安徽刺黄柏,中药,为小檗科植物安徽小檗的茎枝。Berberis anhweiensis Ahrendt。秋季采收茎枝，去叶，洗净，晒干。,黄柏;刺黄柏;三颗针,味苦；性寒。归肝；胃；大肠经,清热燥湿；泻火解毒。主湿热痢疾；泄泻；黄疸；淋浊；带下；疮疡；咽喉肿痛；目赤肿痛
暗鳞鳞毛蕨,中药,为鳞鳞毛蕨科植物暗鳞鳞毛蕨的根茎。Dryopteris cycadina (Franch.et Sav.)C.Chr.[Aspidium cycadinum Franch.et Sav.;D.atrata(Wall.)Ching]。全年均可采挖，除去叶及杂质，洗净，鲜用或晒干。,参考原文,苦；寒。归肝、肾、大肠三经,凉血止血；驱虫。主功能性子宫出血；蛔虫病
安龙香科科,中药,为唇形科植物安龙香科科的全草。Tercrium anlungense C.Y.Wu et S.Chow。秋季采收，洗净，晒干。,野苏子,味辛；微苦；性微温。,理气健胃。主消化不良；脘腹胀满
桉树果,中药,为桃金娘科植物蓝桉的果实。Eucalyptus globulus Labill。夏季或冬季果实成熟时采收，晒干。,洋草果;楠桉果;桉果,味辛；苦；性微温；小毒。,理气；健胃；栽疟；止痒。主食积；腹胀；疟疾；皮炎；癣疮
安胎药,中药,为酢浆草科植物无柄感应草的全草。Biophytum sessile（Buch.Ham.）K.Kunth。夏、秋季节采集，晒干。,骨筋草;吓唬草。,涩；温；有小毒。归脾；肾经,温脾安胎；益气升提。主胎动不安；脾脏肿大；内脏出血；脱肛；子宫脱垂
凹裂毛麝香,中药,"为玄参科植物凹裂毛麝香的全草。Adenosma re-tusilobum Tsoong et Chin。夏、秋季采收,切段晒干或鲜用。",毛麝香;山薄荷,味辛；性微温。,散瘀止痛。主跌打损伤
凹朴皮,中药,为木兰科植物鹅掌楸和北美鹅掌楸的树皮。1．Liriodendron chinensis（Hemsl.）Sarg．2．Liriodendron tulipifera L。夏、秋采收，晒干。,马桂木皮,辛；性温。,祛风除湿;散寒止咳。主风湿痹痛;风寒咳嗽
凹瓦韦,中药,为水龙骨科植物棕鳞瓦韦的全草。Lepisorus scolopendrius（Ham.ex D.Don）Mehra et Bir［L.excavatus Bory var.scolopendrium（Don）Ching］。夏、秋季采收，洗净，晒干。,藏瓦韦,微甘；微苦；微寒。,清热利湿。主腹泻
阿魏侧耳,中药,为白蘑科真菌阿魏侧耳的子实体。Fructificatio Pleuroti Ferulae。采收子实体，除去杂质，晒干。,参考原文,苦；辛；性温。归脾；胃经,行气；消积；杀虫。主胃痛；食积；虫积
阿月浑子,中药;维吾尔药,为漆树科植物阿月浑子的果实。Pistacia vera L。7-8月采收成熟的果实，晒干备用。,胡棒子;无名子;疋西他;比思的《回回药方三十六卷》;福斯土克《药物之园》;皮斯台（维吾尔药名）,辛；温。,温肾；暖脾。主肾虚腰冷；阳痿；脾虚冷痢
阿育魏实,中药;维吾尔药,为伞形科植物阿育魏的果实。Trachyspermum ammi(L.) Sprague。6月果实成熟时采收，除去杂质，晒干。,曩花;可木你《回回药方三十六卷》;开木尼木鲁克《拜地依药书》;那尼华;艾吉瓦引《药物之园》;居维那（维吾尔药名）;难花,味辛；苦；性温。,散寒止痛；利湿解毒。主脘腹冷痛；消化不良；呕恶；泄泻；寒疝；痛经；尿路结石；疮疖肿毒
巴巴花,中药,为锦葵科植物圆锥苘麻的全株。Abutilon peniculatum Hand.Mazz。秋季采收，洗净，切段，鲜用或晒干。,土黄花;巴巴叶;土黄芪;磨盘草。,淡；平。,清热解毒。主感冒发热；腮腺炎；甲状腺肿大；神经衰弱；小便不利；疮疖；脚癣和耳鸣
八宝茶,中药,为卫矛科植物八宝茶的带翅枝。Euonymus przewalskii Maxim。夏、秋季采收，切段晒干。,甘青卫矛。,苦；辛；微寒。归肝经,祛瘀调经；通络止痛。主有经不调；产后瘀阴腹痛；跌打肿痛；半身不遂
巴旦杏仁,中药,为蔷薇科植物扁桃的种子。Amygdalus persica L.[prunus persica(L.)Batsch.]。果实成熟后时收，除去果肉及核壳，取种仁，晒干。,八担仁;巴达杏仁;叭哒杏仁;巴旦杏;偏桃;婆淡树;偏核桃;匾桃;忽鹿麻;京杏。,味苦、甘，小毒。归心、肝、大肠经,活血化瘀，润肠通便。主痛经，血滞经闭，产后瘀滞腹痛，跌打损伤，瘀血肿痛，肺痛，肠痛，肠燥便秘
巴东岩白菜,中药,"为玄参科植物呆白菜的全草。Triaenophora rupestris（Hemsl.）solereder[Rehmannia rupestris Hemsl.]。夏、秋季采收,晒干。",岩白菜;石白菜,味甘；性凉。,补肾；明目；调经。主目昏多泪；肾虚腰痛；月经不调
巴豆壳,中药,为大戟科植物巴豆CrotontigliumL.的种皮。Croton tiglium L。8-9月采收种子时，剥取种皮，鲜用或晒干用。,巴豆皮。,辛；温。归肠经,温中消积，解毒杀虫。主泄泻；痢疾；腹部胀痛；瘰疬痰核
巴豆树根,中药,为大戟科植物巴豆CrotontigliumL.的树根。Croton tiglium L。全年均可采，洗净，切片，晒干。,大叶双眼龙根;挡蛇剑;独行千里。,辛；温；有毒。归心；肝；肾经,温中散寒；祛风镇痛；杀虫解毒。主胃痛；寒湿痹痛；牙痛；外伤肿痛；痈疽疔疮；毒蛇咬伤
巴豆叶,中药,为大戟科植物巴豆CrotontigliumL.的叶。Croton tiglium L。随采随用，或采后晒干用。,双眼龙叶;大叶双眼龙叶。,辛；温；有毒。归三焦；大肠经,祛风活血；杀虫解毒。主疟疾；痹证；跌打损伤；缠腰火丹；疮癣；蛇伤
巴豆油,中药,为大戟科植物巴豆CrotontigliumL.种仁的脂肪油。Croton tiglium L。取巴豆种仁，研烂，压取油。,参考原文,辛；热；有毒。归心；大肠经,通关开窍；峻下寒积。主厥证；喉痹；寒积腹痛
拔毒草,中药,为唇形科植物大籽筋骨草的全草。Ajuga macrosperma Wall. Ex Benth。2-3月花开时采收，洗净，晒干或鲜用。,筋骨草;散血草,味苦；辛；性寒。,清热凉血；散瘀止痛。主肺热咳嗽；吐血；衄血；赤痢；淋痛；风湿痹痛；跌打肿痛
拔毒散,中药,为锦葵科植物拔毒散的枝叶。Sida szechuensis Matsuda。秋季采收，鲜用或晒干。,王不留行;小尼马庄柯;巴掌叶;小拔毒;尼马庄柯;妈妈多;肯麻头;小迷马桩;白背黄花稔;小黄药;迷马桩棵;小克麻;小路边站。,苦；寒。归肺；肝经,下乳；活血；利湿；解毒。主乳汁不下；乳痈；痈肿；小便淋涩；泄泻；痢疾；闭经；跌打骨折
八股绳,中药,为石杉科植物有柄马尾衫的全草。Phlegmariurus hamiltonii（Spreng.)Love et Love var.petiolatus(Clarke)Ching。全年均可采收，晒干或鲜用。,参考原文,,活血通络；利湿消肿。主跌打损伤；腰痛；水肿
白八角莲,中药,为小檗科植物贵州八角莲的根及根茎。,血丝金盆;鬼臼;九臼,味甘；苦；性平。,滋阴补肾；清肺润燥；解毒消肿。主劳伤筋骨痛；阳萎；胃痛；无名肿毒；刀枪外伤
白贝,中药,为宝贝科动物货贝、环纹货贝等的壳。1.Monetaria moneta(Linnaeus)2.Monetaria annulus(Linnaeus)。夏季捕捉，除去肉，洗净，晒干。,贝子;贝齿;白海肥;海肥;白贝齿,味咸；性凉。归膀胱；肝经,清热；利尿明目退翳。主水气浮种；淋痛尿血；小便不通；眼生翳障；鼻渊脓血；下疳阴疮
白背青荚叶,中药,为山茱萸科植物白粉青荚叶的叶。Helwingia japonica (Thunb.) Dietr var. hypoleuca Hemsl. Ex Rehd。春、夏季采收，鲜用或晒干。,参考原文,味苦；性凉。,清热利湿；活血解毒。主水肿；热淋；便血；瘪肿；跌打瘀肿
白背三七,中药,为菊科植物白子菜的全草。Gynura diuaricata (L.) DC. [G. oualis DC.; G.pseudo-china (L.) DC.]。全年均可采收，鲜用或晒干。,大肥牛;枪刀药;清心菜;土生地;白仔菜药;散血姜;土田七;白血皮菜;胡豆七;胖儿草;三百棒;地滚子;磊救驾;百步还阳;石三七;树三七;大绿叶;接骨丹;玉枇杷;金丝枇杷;白东枫;厚面皮;鸡菜;白番苋;白红菜;疔拔;叉花三七;大晕病药,味辛；淡；性平。,清热凉血；活血止痛；止血。主咳嗽；疮疡；烫炎伤；跌打损伤；风湿痛；崩漏；外伤出血
白背小报春,中药,为报春花科植物白背小报春的全草。Primula hypoleuca Hand.-Mazz.[P.forbesii Franch.subsp.hypoleuca(Hand.-Mazz.)W.W.Smith et Forr.]。4月采收全草，鲜用或晒干。,参考原文,辛；微甘；性凉。,清热解毒；活血止痛。主肺热咳嗽；口舌糜烂；咽喉红肿；目赤肿痛；小便淋沥涩痛；跌打瘀肿；风湿痹痛
白萆薢,中药,为百合科植物马钱叶菝葜的根茎。Smilax lunglingensis Wang et Tang[S.siderophylla Hand.-Mazz.]。全年均可采，洗净，切片，晒干。,萆薢;刺萆薢;花萆薢;滑杆白萆薢,辛；微苦；平。,祛风湿；利小便。主风湿痹前；麻木；小便淋浊；湿热带下
百部还魂,中药,为三白草科植物裸蒴的全草或叶。Gymnotheca chinensis Decne。夏、秋季采挖，洗净，鲜用或晒干。,还魂草;狗笠耳;白折耳根;水折耳;摘耳荷;裸蕊。,苦；性温。归肝经,消食；利水；活血；解毒。主食积腹胀；痢疾；泄泻；水肿；小便不利；带下；跌打损伤；疮肠肿毒；蜈蚣咬伤
百步还阳丹,中药,为兰科植物兜被兰的带根全草。Neottianthe cucullata (L.) Schltr.[Orchis cucullata L.]。夏、秋季采收，晒干。,参考原文,甘；平。归心；肝经,活血散瘀；接骨生肌。主跌打损伤；骨折
白补药,中药,为唇形科植物硬毛地梗鼠尾草的全草。Salvia scapiformis Hance var.hirsuta Stib。夏、秋季采收，洗净，晒干【原形态】硬毛地梗鼠草一年生草本，高20-30cm。,翻天雷公,味辛；甘；性平。,补虚益损；强筋壮骨。主肺病；虚弱干瘦；头目眩晕；劳伤盘骨
白草,中药,为禾本科植物白草的根茎。Pennisetum centrasiaticum Tzvel.[Pen-nisetum ongolicum Franch.；P.flaccidumauct.Griseb.]。秋季采挖，洗净，以纸遮蔽，晒干。,倒生草;白花草,甘；寒。,清热利尿；凉血止血。主热淋；尿血；肺热咳嗽；鼻衄；胃热烦渴
白草莓,中药,为蔷薇科植物黄毛草莓的全草。Fragaria nilgerrensis Schlecht.ex Gay。春、夏季采收全草，洗净，切段，阴干或鲜用。,三匹风;野杨莓;草莓;白泡儿;白藨;白蒲草;白地莓。,甘、苦；凉。归肺；肝；肾经,清肺止咳，解毒消肿。主肺热咳嗽；百日咳；口舌生疮；疔疮；蛇咬伤，烫火伤
白侧耳,中药,为虎耳草科植物突隔梅花草的全草或根。Parnassia delavayi Franch。夏季采收。,白耳菜;叫天鸡;光板;金筶板;苍耳七;金钱灯塔草;梅花草;黄草;小白花;山慈姑;马尿花;马蹄草;紫葳草;肺心草;白折耳;水折耳,辛；苦；寒。归肺经,解毒消肿；清热解毒。主治沛结核，喉炎，腮腺炎，淋巴结炎，热毒疮肿，跌打损伤
白常山,中药,为茜草科植物玉叶金花Mussaenda pubescens Ait.f.和展枝玉叶金花Mussaenda divuricula Huteh.的根。,玉叶金花;鹅儿花,寒；苦；有毒。归肝；脾经,解热抗疟。主疟疾
百齿卫矛,中药,为卫矛科植物百齿卫矛的全株。Eounymus centidens Levl。全年均可采，洗净鲜用或切段晒干。,扶芳木;竹叶青;山杜仲。,甘；苦；微温。归肾经,祛风散寒；理气平喘；活血解毒。主风寒湿痹；腰漆疼痛；胃脘胀痛；气喘；有经不调；跌打损伤；毒蛇咬伤
白刺花,中药,为豆科植物白刺花Sophoradavidii（Franch.）的花。Sophora davidii（Franch.）。3-5月花未放足时采收，鲜用或晒干。,白花刺;苦刺花。,味苦；性凉。归肝；膀胱经,清热解暑。主暑热烦渴
白刺花叶,中药,为豆科植物白刺花Sophoradavidii（Franch.）的叶。Sophora davidii（Franch.）。夏、秋季采收嫩叶，鲜用或晒干。,苦刺枝叶。,味苦；性凉。归心；肾经,凉血；解毒；杀虫。主衄血；便血；疔疮肿毒；疥癣；烫伤；阴道滴虫
白带草,中药,为十字花科植物碎米荠及弯曲碎米荠的全草。1.Cardamine hirsuta L.2.Cardamine flexuosa With。2-5月采集，晒干或鲜用。,雀儿菜;野养菜;米花香荠菜。,甘；淡；凉。,清热利湿；安神；止血。主湿热泻痢；热淋；白带；心悸；失眠；虚火牙痛；小儿疳积；吐血；便血；疔疮
白蝶花,中药,为兰科植物龙头兰的块茎。Pecteilis susannae（L.）Rafin.[Orchis susannae L.]。秋季采收，晒干。,兔耳草;和气草;土玉竹;鸡卵参;公鸡花;对对参;白花参;双合伞;双肾草,味甘；性微温。,补肾壮阳；疏肝散寒。主肾虚腰痛；阳痿；遗精；寒疝
白豆蔻,中药;蒙药;藏药,为姜科植物白蔻和爪哇白豆蔻的成熟果实。1.Amomun kravanh Pierre ex Gagnep2.Amonum compactum Soland.ex Maton。当果实成熟时，剪下果穗，晒干或烤干。,多骨;壳蔻;白蔻;圆豆蔻;扣米;豆蔻;额拉-帕拉木;勃仁乃赛音;查干-苏格木勒（蒙药名）,味辛；性温。归肺；脾；胃经,化湿行气；温中止呕；开胃消食。主湿阻气滞；脾胃不和；脘腹胀满；不思饮食；湿温初起；胸闷不饥；胃寒呕吐；食积不消
白肚,中药,为葡萄科植物酒葡萄的全株。Vitis labrusca L。夏、秋季采收，根及茎洗净，切片，叶切碎，鲜用或晒干。,参考原文,辛；平。,活血通络。主风湿疼痛；跌打肿痛
败毒草,中药,为裸子蕨科植物耳叶金毛裸蕨的根茎或全草。Gymnopteris bipinnata Christ var.auriculata（Franch.）Ching［Gymnogramme vestita Hook.var.auriculata Franch.］。全年或夏、秋季采收，洗净，鲜用或晒干。,耳形金毛裸蕨;石龙草;阴兜药;白带药;白马风,苦；寒。,解毒；燥湿止痒。主风毒疮痒；湿疹；带下
白独活,中药,为伞形科植物白亮独活的根。Heracleum candicans Wall.ex DC。4-10月采挖，去其茎地及杂质，晒干。,独活;朱噶尔;法洛海;白羌活;藏当归;香白芷;骚独活,味辛；苦；性温。,散风止咳；除湿止痛。主感冒；咳嗽；头痛；牙痛；风湿痹痛；麻风；风湿疹
白对节子叶,中药,为山茱萸科植物（木来）木的叶。Swida macrophylla (Wall.) Sojak。春、夏季采收、晒干【原形态】落叶乔木或灌木，高4-15m。,参考原文,味苦；辛；性平。,祛风通络；疗疮止痒。主风湿痛；中风瘫痪；疮疡；风疹
白鹅膏,中药,为鸭科动物家鹅的脂肪。Anser cygnoides domestica Brisson。宰鹅时剖腹取脂肪，熬油。,白鹅脂,味甘；性凉。归心；小肠经,润皮肤；解毒肿。主皮肤皴裂；耳聋；聤耳；噎膈反胃；药物中毒；痈肿；疥癣
白垩铁线蕨,中药,为铁线蕨科植物白垩铁线蕨的全草。Adiantumgravesii Hance［A.leveillei Christ；A.gravesii Hance var.leveillei（Christ）Ching；A.greenii Ching］。夏、秋季采收，洗净，晒干。,猪鬃草,甘；凉。,利水通淋；清热解毒。主热淋；血淋；水肿；乳糜尿；乳痈；睾丸炎
白饭树根,中药,为大戟科植物白饭树Securinegavirosa（Roxb.exWilld.）Baill.的根。Securinega virosa （Roxb.ex Willd.）Baill.[Phyllanthus virosus Roxb.ex Willd.；Fluggea virosa（Roxb.ex Willd.）Baill.]。全年均可采，洗净，鲜用或晒干。,薏米蔃;鱼眼根。,苦；凉。归肺；心经,祛风湿；清湿热；化瘀止痛。主湿痹痛；湿热带下；湿疹瘙痒；跌打损伤
白粉蝶,中药,为粉蝶科动物白粉蝶成虫的全体。Pieris rapae (Linnaeus )。夏季捕捉，随用随捕，亦可捕后用线穿起置通风处。,白蝴蝶;粉蝶;菜白蝶,苦；寒。归心经,消肿止痛。主跌打损伤
白腹锦鸡,中药,为雉科动物白腹锦鸡的肉。,箐鸡肉,味甘；性温。归心；大肠经,止血；解毒。主血痔；疮疡肿毒
柏根白皮,中药,为柏科植物侧柏巳去掉栓皮的根皮。latycladus orientalis(L.)Franco[Thujaorientalis L.;Biota orientalis(L.)Endl.]。冬季采挖，洗净，趁新鲜时刮去栓皮，纵向剖开，以木槌轻击，使皮部与木心分离，剥取白皮，晒干。,柏皮;柏白皮,苦；性平。,凉血；解毒；敛疮；生发。主烫伤；灸疮；疮疡溃烂；毛发脱落。
稗根苗,中药,为禾本科植物稗的根和苗叶。Echinochloa crusgalli (L.) Beauv。夏季采收，鲜用或晒干。,水高梁;扁扁草,甘；淡；微寒。,凉血止血。主金疮；外伤出血
白桂,中药,为樟科植物滇新樟的叶、根皮或树皮。Neocinnamomum caudatum(Nees)Merr.[N.yunnanense H.Liou;N.Poilanei H.Liou]。四季均可采收，鲜用或晒干。,沙癞叶;三股筋;香味叶;羊角香;梅根;茶蚬,辛；甘；温。归肺；肝经,祛风散寒；活血祛瘀。主胃寒脘痛；腹胀；风湿痹痛；半身不遂；痛经；月经不调；风寒感冒；麻疹；跌打损伤；骨折；湿疹
白鬼笔,中药,为鬼笔科真菌白鬼笔的子实体。Phallus impudicus L. ex Pers。夏、秋季采集，去泥土杂质，洗净，鲜用或晒干。,鬼笔;鬼笔菌;竹下菌;竹菌;无裙荪,甘；淡；性温。,祛风除湿；活血止痛。主风湿痛
白桂木根,中药,为桑科植物白桂木的根。1.Artocarpus hypargyraus Hance.2.Artpcapus nitidus Trec.subsp.lingnanensis(Merr.)Jarr.[A.lingnanensis Merr.]。全年可采，洗净，切片，晒干。,将军树根,甘；淡；性温。,祛风利湿；活血通络。主风湿痹痛；头痛；产妇乳汁不足
白果根,中药,为银杏科植物银杏的根或根皮。,银杏根,甘；性温。,益气补虚。主遗精；遗尿；夜频多，白带，石淋
白果槲寄生,中药,为桑寄生科植物卵叶槲寄生的带叶茎枝。Viscum album L.var.meridianum Danser［V.albumL.subsp.meridianum(Danser)Long；V.al-bumauct.nonL.］。全年可采，扎成束，晾干。,欧寄生,甘；苦；性平。,祛风湿；强筋骨；催乳。主风湿痹痛；筋骨痿弱；腰痛腿软；产后乳汁稀少
白果叶,中药,为银杏科植物银杏的叶。Ginkgo bilobe L。秋季采，除去杂质，洗净，晒干或鲜用。,银杏叶,苦；甘；涩；性平；小毒。归心；肺；脾经,活血养心，敛肺涩肠。主胸痹心痛；喘咳痰嗽；泄泻痢疾；白带
白骨走马,中药,为楝科植物茸果鹧鸪花的根、叶、果实。Trichilia sinensis Bentv.[Heynea velutina How et T.Chen]。根，全年均可采挖，洗净，切片，晒干；叶，春夏季采，鲜用或晒干；果实，秋、冬季果实将成熟时采收，晒干。,绒果海木。,苦；平；有小毒。归肝；胃经,杀虫；燥湿；止痒；止血。主蛔虫腹痛；下肢溃疡；疥疮；湿疹瘙痒；外伤出血
白蒿,中药,为菊科植物大籽蒿的全草。Arteimiaisia sieuersiana Ehrhart ex Willd. [A.maxa DC.; A. korana Nakai; A.chrysolepis Kitag.; Ab-sinthium sieuersianun Bess.]。夏、秋间开期采收，鲜用或扎把晾干。,蘩;皤蒿;由胡;莓母;旁勃;白艾蒿;蓬蒿;大白蒿;大子蒿;臭蒿子;山艾;大头蒿;苦蒿,味苦；微甘；性凉。,清热利湿；凉血止血。主肿热咳嗽；咽喉肿痛；湿热黄疸；热痢；淋病；风湿痹痛；吐血；咯血；外伤出血；疥瘌恶疮
白蒿花,中药,为菊科植物大籽蒿的花。Artemisia sieuersiana Ehrhart ex Willd。6-8月采收，鲜用或晾干。,参考原文,味苦；性凉。,清热解毒；收湿敛疮。主痈肿疔毒；湿疮；湿疹
白鹤菌,中药,为多孔菌科真菌东方栓菌的子实体。,参考原文,微辛；性平。,祛风除湿；清肺止咳。主风湿痹痛；肺结核；支气管炎；咳嗽痰喘
白鹤灵芝,中药;傣药,为爵床科植物白鹤灵芝的枝、叶。Rhinacanthus nasutus (L.) Kurz [Justicia nasuta L.; Rhinacanthus communis Ness]。春、夏季采收，洗净，鲜用或晒干。,癣草;芽鲁哈;咪卖（傣药名）,味甘；微苦；性微寒。归肺经,清热润肺；杀虫止痒。主劳嗽；疥癣；湿疹
